uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.502	@이름9	[]
1	1	2	AH0001	1.523	1.623	님	[]
1	1	3	AH0001	1.783	2.024	어	[]
1	1	4	AH0001	2.144	2.385	저는	[]
1	1	5	AH0001	2.605	2.946	중요한	[]
1	1	6	AH0001	3.126	3.728	시험에서	[]
1	1	7	AH0001	4.209	4.49	좋은	[]
1	1	8	AH0001	4.61	4.971	성적을	[]
1	1	9	AH0001	5.051	5.492	거두거나	[]
1	1	10	AH0001	5.853	6.334	이벤트에	[]
1	1	11	AH0001	6.435	7.156	당첨되었을	[]
1	1	12	AH0001	7.257	7.417	때	[]
1	1	13	AH0001	7.598	7.898	자비를	[]
1	1	14	AH0001	7.958	8.299	베풀고	[]
1	1	15	AH0001	8.359	9.001	싶어져요.	[]
1	2	1	AH0001	9.446	9.746	시험	[]
1	2	2	AH0001	9.806	10.007	같은	[]
1	2	3	AH0001	10.067	10.487	경우는	[]
1	2	4	AH0001	10.687	10.807	저의	[]
1	2	5	AH0001	10.907	11.188	노력도	[]
1	2	6	AH0001	11.268	11.608	분명히	[]
1	2	7	AH0001	11.648	12.349	있었겠지만	[]
1	2	8	AH0001	12.909	13.21	많은	[]
1	2	9	AH0001	13.31	13.63	사람들의	[]
1	2	10	AH0001	13.73	14.211	응원과	[]
1	2	11	AH0001	14.611	14.811	어디서	[]
1	2	12	AH0001	14.871	15.252	오는지	[]
1	2	13	AH0001	15.312	15.392	알	[]
1	2	14	AH0001	15.512	15.572	수	[]
1	2	15	AH0001	15.592	15.692	없는	[]
1	2	16	AH0001	15.832	16.093	운이	[]
1	2	17	AH0001	16.173	16.633	더해져서	[]
1	2	18	AH0001	16.873	17.194	좋은	[]
1	2	19	AH0001	17.334	17.714	결과를	[]
1	2	20	AH0001	18.175	18.435	이뤄낼	[]
1	2	21	AH0001	18.515	18.575	수	[]
1	2	22	AH0001	18.595	18.735	있지	[]
1	2	23	AH0001	18.755	19.056	않았나	[]
1	2	24	AH0001	19.156	19.476	생각이	[]
1	2	25	AH0001	19.536	20.417	들어서요.	[]
2	3	1	AH0002	20.418	21.325	와	[]
2	3	2	AH0002	21.386	21.628	그렇군요.	[]
2	4	1	AH0002	21.628	21.828	자기가	[]
2	4	2	AH0002	21.889	21.949	좀	[]
2	4	3	AH0002	22.009	22.189	잘	[]
2	4	4	AH0002	22.209	22.47	됐을	[]
2	4	5	AH0002	22.65	22.971	때	[]
2	4	6	AH0002	22.991	23.011	그	[]
2	4	7	AH0002	23.151	23.532	마음을	[]
3	5	1	AH0001	23.813	24.198	나누고	[]
4	6	1	AH0002	24.38	24.622	나누고	[]
4	6	2	AH0002	24.682	25.488	싶다라는	[]
4	6	3	AH0002	25.548	26.072	거잖아요.	[]
4	7	1	AH0002	26.072	26.233	너무	[]
4	7	2	AH0002	26.333	26.554	기분이	[]
4	7	3	AH0002	26.634	27.035	좋아서	[]
4	7	4	AH0002	27.196	27.577	이분께	[]
4	7	5	AH0002	27.617	27.818	이제	[1]
4	7	6	AH0002	28.059	28.48	원가를	[]
4	7	7	AH0002	28.6	29.062	드리면	[2]
4	7	8	AH0002	29.463	29.624	또	[]
4	7	9	AH0002	29.704	30.507	상대방에게	[]
4	7	10	AH0002	30.627	30.888	자비를	[]
4	7	11	AH0002	30.948	31.149	베풀	[]
4	7	12	AH0002	31.209	31.249	것	[]
4	7	13	AH0002	31.309	31.61	같아서	[]
5	8	1	AH0001	31.811	32.244	괜찮네요.	[]
6	9	1	AH0002	32.243	32.607	선물을	[]
6	9	2	AH0002	32.627	32.728	하나	[]
6	9	3	AH0002	32.808	33.111	드리도록	[]
6	9	4	AH0002	33.172	33.798	하겠습니다.	[]
7	10	1	AH0001	33.853	34.117	갯수가	[]
7	10	2	AH0001	34.178	34.321	많은	[]
7	10	3	AH0001	34.361	34.463	걸로	[]
7	10	4	AH0001	34.524	34.768	주세요	[]
7	10	5	AH0001	34.809	34.972	나눌	[]
7	10	6	AH0001	35.053	35.094	수	[]
7	10	7	AH0001	35.114	35.216	있게	[]
8	11	1	AH0002	35.297	36.204	네	[]
8	11	2	AH0002	36.99	37.212	아	[]
8	11	3	AH0002	37.353	37.635	그러면요.	[]
8	12	1	AH0002	38.104	38.424	합리적	[]
8	12	2	AH0002	38.705	39.185	커피생활	[]
8	12	3	AH0002	39.266	39.566	제안	[3]
8	12	4	AH0002	39.906	40.828	@상호명4에서	[]
8	12	5	AH0002	41.008	41.128	드립	[]
8	12	6	AH0002	41.188	41.248	백	[]
