bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	5.965	6.65	CONTINUER	네.	[1]	[1]	[13]
2	AH0002	8.207	8.382	CONTINUER	네.	[1]	[2]	[4]
3	AH0002	20.896	21.611	CONTINUER	음. 네.	[3]	[4]	[18]
4	AH0002	26.694	26.999	CONTINUER	어.	[3]	[5]	[11]
5	AH0001	30.753	32.291	CONTINUER	와. 네.	[4]	[6]	[3]
6	AH0001	38.713	40.743	AFFIRMATIVE	오. 좋네요.	[4]	[9]	[7]
7	AH0001	41.513	41.972	CONTINUER	네.	[4]	[10]	[2]
8	AH0002	59.305	60.117	UNDERSTANDING	음.	[9]	[17]	[4]
9	AH0001	66.829	67.384	CONTINUER	예.	[12]	[20]	[10]
10	AH0001	86.356	87.711	AFFIRMATIVE	오. 맞아요.	[16]	[26]	[22]
11	AH0002	89.105	89.695	CONTINUER	예예.	[17]	[27]	[3]
12	AH0002	91.27	91.825	CONTINUER	음음.	[17]	[27]	[8]
13	AH0002	104.152	104.667	CONTINUER	어우.	[21]	[33]	[12]
14	AH0002	107.395	108.06	AFFIRMATIVE	맞아요.	[21]	[34]	[8]
15	AH0002	122.239	122.694	AFFIRMATIVE	맞아요.	[23]	[36]	[8]
16	AH0002	125.151	125.371	CONTINUER	응.	[23]	[37]	[6]
17	AH0001	128.305	128.805	AFFIRMATIVE	맞아요.	[24]	[38]	[7]
18	AH0001	134.143	135.057	AFFIRMATIVE	네. 맞아요.	[26]	[40]	[4]
19	AH0002	141.269	141.919	ASSESSMENT	오.	[27]	[41]	[14]
20	AH0002	144.113	145.233	CONTINUER	와. 네.	[27]	[42]	[2]
21	AH0001	149.755	150.215	CONTINUER	네.	[28]	[44]	[4]
22	AH0002	165.316	165.576	CONTINUER	네.	[31]	[50]	[1]
23	AH0002	169.291	169.511	CONTINUER	네.	[31]	[50]	[10]
24	AH0002	172.538	172.823	CONTINUER	어.	[31]	[50]	[17]
25	AH0001	177.445	178.212	CONTINUER	네네네.	[32]	[52]	[7]
26	AH0001	187.057	187.315	CONTINUER	네.	[36]	[57]	[4]
27	AH0002	200.201	200.416	CONTINUER	예.	[37]	[64]	[1]
28	AH0002	201.946	202.186	CONTINUER	네.	[37]	[64]	[4]
29	AH0001	214.319	214.844	CONTINUER	음.	[38]	[65]	[18]
30	AH0001	220.123	220.588	CONTINUER	네.	[38]	[66]	[5]
31	AH0002	234.804	235.009	CONTINUER	네.	[41]	[69]	[3]
32	AH0002	235.869	236.074	CONTINUER	네.	[41]	[69]	[5]
33	AH0002	237.984	238.429	CONTINUER	네.	[41]	[69]	[9]
34	AH0001	241.865	242.76	UNDERSTANDING	어.	[42]	[71]	[1]
35	AH0001	246.985	247.48	CONTINUER	음.	[42]	[71]	[10]
36	AH0001	251.08	251.715	CONTINUER	음.	[42]	[71]	[23]
37	AH0001	252.965	253.545	CONTINUER	어.	[42]	[71]	[29]
38	AH0002	263.433	263.588	CONTINUER	네.	[45]	[76]	[8]
39	AH0002	272.778	273.458	CONTINUER	음음.	[47]	[78]	[13]
40	AH0002	277.104	277.289	CONTINUER	네.	[49]	[80]	[3]
41	AH0002	282.204	283.094	UNDERSTANDING	아.	[49]	[80]	[16]
42	AH0002	284.289	284.539	CONTINUER	응.	[49]	[80]	[19]
