bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	34.294	34.609	CONTINUER	예.	[5]	[6]	[9]
2	DG0001	40.298	40.61	CONTINUER	네.	[6]	[7]	[7]
3	DG0001	48.144	48.547	CONTINUER	네.	[8]	[10]	[8]
4	DG0001	51.659	52.333	CONTINUER	아.	[8]	[11]	[5]
5	DG0001	63.335	63.84	CONTINUER	네네.	[10]	[14]	[10]
6	DG0001	69.654	69.909	CONTINUER	음.	[10]	[15]	[10]
7	DG0001	73.1	73.555	CONTINUER	네.	[10]	[15]	[17]
8	DG0001	81.705	82.105	CONTINUER	예.	[10]	[16]	[19]
9	DG0001	86.393	86.903	CONTINUER	예.	[10]	[17]	[11]
10	DG0001	91.43	91.735	CONTINUER	네.	[10]	[18]	[7]
11	DG0001	103.116	103.486	CONTINUER	예.	[12]	[21]	[8]
12	DG0001	105.626	106.376	CONTINUER	어.	[12]	[22]	[7]
13	DG0001	110.545	110.71	CONTINUER	네.	[12]	[22]	[18]
14	DG0001	117.134	118.542	ASSESSMENT	아하.	[12]	[23]	[10]
15	DG0001	119.645	120.06	CONTINUER	예.	[12]	[24]	[2]
16	DG0001	122.574	122.959	CONTINUER	네.	[12]	[24]	[9]
17	DG0001	132.305	132.98	CONTINUER	음.	[12]	[25]	[12]
18	DG0001	136.345	136.77	CONTINUER	음.	[12]	[25]	[20]
19	DG0001	140.488	140.772	CONTINUER	예.	[12]	[25]	[27]
20	DG0001	152.733	152.953	CONTINUER	네.	[14]	[28]	[10]
21	DG0001	161.136	161.617	CONTINUER	예.	[14]	[29]	[10]
