uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.421	국내	[]
1	1	2	AH0001	0.501	1.043	대표적인	[]
1	1	3	AH0001	1.203	1.825	미래학자	[]
1	1	4	AH0001	2.026	2.106	한	[]
1	1	5	AH0001	2.166	2.347	분을	[]
1	1	6	AH0001	2.407	3.931	모셨습니다.	[]
1	2	1	AH0001	4.095	4.157	정	[]
1	2	2	AH0001	4.3	4.464	교수	[]
1	2	3	AH0001	4.567	4.752	어서	[]
1	2	4	AH0001	4.772	5.039	오십쇼.	[]
2	3	1	AH0002	5.039	5.2	네	[]
2	3	2	AH0002	5.241	5.684	안녕하세요.	[]
3	4	1	AH0001	5.71	5.731	네.	[]
3	5	1	AH0001	6.798	7.319	알파고랑	[]
3	5	2	AH0001	7.379	7.88	@이름1	[]
3	5	3	AH0001	8.141	8.542	경기	[]
3	5	4	AH0001	8.562	8.582	할	[]
3	5	5	AH0001	8.742	9.003	때	[1]
3	5	6	AH0001	10.326	10.527	이길	[]
3	5	7	AH0001	10.607	11.028	거라고	[]
3	5	8	AH0001	11.128	11.709	예측했어요	[]
3	5	9	AH0001	11.83	11.93	질	[]
3	5	10	AH0001	11.99	12.23	거라고	[]
3	5	11	AH0001	12.251	12.892	예측했어요.	[]
4	6	1	AH0002	12.892	13.294	저는	[]
4	6	2	AH0002	13.414	13.775	@이름1	[]
4	6	3	AH0002	13.836	14.137	구단이	[]
4	6	4	AH0002	14.177	14.257	이길	[]
4	6	5	AH0002	14.358	14.759	거라고	[]
4	6	6	AH0002	14.9	15.161	예측을	[]
4	6	7	AH0002	15.221	15.482	했죠.	[]
5	7	1	AH0001	15.496	15.791	정말요?	[]
6	8	1	AH0002	15.895	16.447	네네네.	[]
7	9	1	AH0001	16.863	17.266	틀렸네요.	[]
7	9	2	AH0001	17.286	17.589	그러니까?	[]
8	10	1	AH0002	17.663	17.685	네.	[]
8	11	1	AH0002	17.82	18.192	그렇죠.	[]
9	12	1	AH0001	18.577	18.598	어	[]
10	13	1	AH0002	19.128	19.248	그	[]
10	13	2	AH0002	19.348	19.489	그거	[]
10	13	3	AH0002	19.629	20.069	보면서도	[]
10	13	4	AH0002	20.17	20.31	좀	[]
10	13	5	AH0002	20.39	20.61	많은	[]
10	13	6	AH0002	20.63	20.65	걸	[]
10	13	7	AH0002	20.73	20.79	좀	[]
10	13	8	AH0002	20.851	21.071	느낀	[]
10	13	9	AH0002	21.151	21.431	게요	[]
10	13	10	AH0002	22.233	22.673	주변에	[]
10	13	11	AH0002	22.793	22.894	그걸	[]
10	13	12	AH0002	22.954	23.615	예측했던	[]
10	13	13	AH0002	23.695	24.616	사람들의	[]
10	13	14	AH0002	24.796	25.137	어떤	[]
10	13	15	AH0002	25.257	25.457	내용을	[]
10	13	16	AH0002	25.537	25.638	좀	[]
10	13	17	AH0002	25.778	26.499	들어보면은	[2]
10	13	18	AH0002	27.08	27.42	바둑을	[]
10	13	19	AH0002	27.52	27.6	좀	[]
10	13	20	AH0002	27.701	27.781	둘	[]
10	13	21	AH0002	27.881	27.961	줄	[]
10	13	22	AH0002	28.021	28.201	아는	[]
10	13	23	AH0002	28.261	29.103	사람들은	[]
10	13	24	AH0002	29.283	29.363	그	[]
10	13	25	AH0002	29.563	29.744	뭐	[]
10	13	26	AH0002	29.864	30.024	자기	[]
10	13	27	AH0002	30.084	30.405	전공을	[]
10	13	28	AH0002	30.485	30.705	떠나	[]
10	13	29	AH0002	30.725	30.945	가지고	[]
10	13	30	AH0002	30.985	31.326	@이름1	[]
10	13	31	AH0002	31.346	31.366	이	[]
10	13	32	AH0002	31.386	31.586	이길	[]
10	13	33	AH0002	31.666	31.827	거라고	[]
10	13	34	AH0002	31.847	32.127	생각한	[]
10	13	35	AH0002	32.167	32.327	사람이	[]
10	13	36	AH0002	32.367	32.688	많았고	[3]
10	14	1	AH0002	33.471	33.672	그렇지	[]
10	14	2	AH0002	33.712	33.833	않은	[]
10	14	3	AH0002	33.853	33.893	사람	[]
10	14	4	AH0002	33.934	34.718	사람들이	[]
10	14	5	AH0002	34.839	35.482	알파고를	[]
10	14	6	AH0002	35.583	35.703	한	[]
10	14	7	AH0002	35.764	36.387	사람들이	[]
10	14	8	AH0002	36.387	36.447	꽤	[]
10	14	9	AH0002	36.447	37.111	있었거든요.	[]
11	15	1	AH0001	37.111	37.293	@이름2	[]
11	15	2	AH0001	37.354	37.657	교수도	[]
11	15	3	AH0001	37.738	37.92	바둑	[]
11	15	4	AH0001	38.041	38.122	좀	[]
11	15	5	AH0001	38.243	38.526	두세요?	[]
12	16	1	AH0002	38.536	39.074	조금은	[]
12	16	2	AH0002	39.199	39.24	둡니다.	[]
12	17	1	AH0002	39.27	39.852	그니까	[4]
12	17	2	AH0002	39.872	39.892	몇	[]
12	17	3	AH0002	40.073	40.133	급	[]
12	17	4	AH0002	40.193	40.414	정도는	[]
12	17	5	AH0002	40.474	41.277	되니까	[5]
12	17	6	AH0002	41.297	41.598	이제	[]
12	17	7	AH0002	41.678	41.999	그게	[]
12	17	8	AH0002	42.24	42.381	그게	[]
12	17	9	AH0002	42.461	43.063	바이러스가	[6]
12	17	10	AH0002	43.545	43.866	편견이	[]
