uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.882	수요	[]
1	1	2	AH0001	1.002	1.464	시음회	[]
1	1	3	AH0001	1.786	2.047	오늘은	[]
1	1	4	AH0001	2.188	2.65	특별한	[]
1	1	5	AH0001	2.79	3.212	게스트와	[]
1	1	6	AH0001	3.433	4.458	함께합니다	[]
1	2	1	AH0001	4.683	4.863	내가	[]
1	2	2	AH0001	4.963	5.724	그렇게	[1]
1	2	3	AH0001	5.844	6.625	멋지게	[]
1	2	4	AH0001	6.645	7.346	시음이니까	[2]
1	2	5	AH0001	7.486	7.747	시와	[]
1	2	6	AH0001	7.807	8.087	음악	[]
1	2	7	AH0001	8.107	8.427	이잖아요.	[]
1	2	8	AH0001	8.447	8.508	그런데	[]
1	2	9	AH0001	8.748	9.248	시음회	[]
1	2	10	AH0001	9.369	9.529	이게	[]
1	2	11	AH0001	9.609	9.749	무슨	[]
1	2	12	AH0001	9.809	10.43	개그입니까.	[]
2	3	1	AH0002	10.63	10.65	아	[]
2	3	2	AH0002	11.012	11.193	이게	[]
2	3	3	AH0002	11.534	11.755	이제	[]
2	3	4	AH0002	11.816	11.997	아기를	[]
2	3	5	AH0002	12.057	12.72	키우다보니까	[3]
2	3	6	AH0002	13.082	13.283	항상	[]
2	3	7	AH0002	13.303	13.464	이게	[]
2	3	8	AH0002	13.664	13.886	버릇이	[]
2	3	9	AH0002	13.946	14.267	들어가지고	[4]
2	3	10	AH0002	14.73	14.75	예	[]
3	4	1	AH0001	15.086	15.347	책도	[]
3	4	2	AH0001	15.387	15.849	웃기게	[]
3	4	3	AH0001	15.869	16.531	읽죠?	[]
4	5	1	AH0002	16.706	17.128	점잖으면	[]
4	5	2	AH0002	17.168	17.268	안	[]
4	5	3	AH0002	17.329	17.389	될	[]
4	5	4	AH0002	17.449	17.489	것	[]
4	5	5	AH0002	17.529	17.73	같은	[]
4	5	6	AH0002	17.831	17.931	그런	[]
4	5	7	AH0002	17.971	18.293	느낌이	[]
4	5	8	AH0002	18.735	19.799	들더라고요	[]
5	6	1	AH0001	19.8	20.042	이릏게	[]
5	6	2	AH0001	20.082	20.606	막	[]
5	6	3	AH0001	20.626	20.646	저	[]
5	6	4	AH0001	20.727	21.13	성우처럼	[]
5	6	5	AH0001	21.17	21.976	연기하죠	[]
5	7	1	AH0001	22.333	22.513	아우	[]
5	7	2	AH0001	22.573	23.354	반갑습니다.	[5]
5	7	3	AH0001	23.494	23.694	수요	[]
5	7	4	AH0001	23.814	24.295	시음회	[]
5	7	5	AH0001	24.475	24.735	추억이	[]
5	7	6	AH0001	24.795	25.055	담뿍	[]
5	7	7	AH0001	25.215	25.536	담긴	[]
5	7	8	AH0001	25.636	25.916	사연과	[]
5	7	9	AH0001	25.996	26.717	신청곡으로	[]
5	7	10	AH0001	27.097	27.277	그때	[]
5	7	11	AH0001	27.297	27.337	그	[]
5	7	12	AH0001	27.417	27.698	시절로	[]
5	7	13	AH0001	27.778	28.178	돌아가보는	[]
5	7	14	AH0001	28.238	28.738	시간인데요.	[]
5	7	15	AH0001	28.799	28.939	오늘	[]
5	7	16	AH0001	28.979	29.359	와주셔서	[]
5	7	17	AH0001	29.419	29.519	너무	[]
5	7	18	AH0001	29.579	30.5	감사해요	[6]
6	8	1	AH0002	30.809	31.11	예전에	[]
6	8	2	AH0002	31.171	31.372	저기	[]
6	8	3	AH0002	31.392	31.412	저	[]
6	8	4	AH0002	31.753	31.954	먼데	[]
6	8	5	AH0002	31.974	32.095	있을	[]
6	8	6	AH0002	32.155	32.396	때에는	[7]
6	8	7	AH0002	33.18	33.341	야	[]
6	8	8	AH0002	33.521	34.305	못가겠더라구요	[]
7	9	1	AH0001	34.736	35.439	뽀얀하니	[]
7	9	2	AH0001	35.54	35.62	너	[8]
7	9	3	AH0001	35.741	36.042	머리도	[]
7	9	4	AH0001	36.102	36.203	노랗게	[]
7	9	5	AH0001	36.343	36.866	그냥	[]
7	9	6	AH0001	37.147	37.649	하시고	[]
7	9	7	AH0001	37.75	38.071	멋진	[]
7	9	8	AH0001	38.151	38.453	모습으로	[]
7	9	9	AH0001	38.513	39.397	와주셨습니다	[]
7	10	1	AH0001	40.185	40.305	그	[]
7	10	2	AH0001	40.606	40.826	인제	[]
7	10	3	AH0001	40.906	41.186	오늘	[]
7	10	4	AH0001	41.367	42.087	수요시음회는	[]
7	10	5	AH0001	42.168	42.628	선생님에	[]
7	10	6	AH0001	42.688	42.848	대한	[]
7	10	7	AH0001	42.929	43.429	얘기를	[]
7	10	8	AH0001	43.489	43.97	나눠보려고	[]
7	10	9	AH0001	44.01	44.551	하는데	[9]
7	10	10	AH0001	44.571	44.931	@이름857	[]
7	10	11	AH0001	45.031	45.252	씨는	[]
7	10	12	AH0001	45.592	45.652	그	[]
7	10	13	AH0001	45.732	46.153	학창시절	[]
7	10	14	AH0001	46.213	46.353	중에	[]
7	10	15	AH0001	46.613	46.673	몇	[]
7	10	16	AH0001	46.774	46.934	학년	[]
7	10	17	AH0001	47.014	47.114	때가	[]
7	10	18	AH0001	47.154	47.274	제일	[]
7	10	19	AH0001	47.334	47.895	재밌었어요?	[]
8	11	1	AH0002	48.187	48.915	어	[]
8	11	2	AH0002	49.056	49.137	저는	[]
8	11	3	AH0002	49.157	49.238	한	[]
8	11	4	AH0002	49.319	49.339	뭐	[]
9	12	1	AH0001	49.764	50.529	언제	[]
9	12	2	AH0001	50.629	50.911	공부를	[]
9	12	3	AH0001	50.951	51.092	제일	[]
9	12	4	AH0001	51.132	51.354	열심히	[]
9	12	5	AH0001	51.374	51.917	했어요	[]
10	13	1	AH0002	52.236	52.761	중학교	[]
10	13	2	AH0002	52.781	52.801	일	[]
10	13	3	AH0002	52.963	53.185	학년	[]
10	13	4	AH0002	53.286	53.407	때	[10]
10	13	5	AH0002	53.488	53.589	제일	[]
10	13	6	AH0002	53.649	53.871	열심히	[]
10	13	7	AH0002	53.891	54.073	했던	[]
10	13	8	AH0002	54.134	54.154	것	[]
10	13	9	AH0002	54.174	54.376	같습니다	[]
11	14	1	AH0001	54.576	54.597	중	[]
11	14	2	AH0001	54.7	54.782	일	[]
11	14	3	AH0001	54.905	54.926	때	[]
12	15	1	AH0002	55.069	55.109	예.	[]
12	15	2	AH0002	55.23	55.331	중	[]
12	15	3	AH0002	55.371	55.814	일	[11]
12	15	4	AH0002	55.834	55.855	때	[]
12	15	5	AH0002	56.157	56.237	그때	[]
12	15	6	AH0002	56.338	56.539	과외를	[]
12	15	7	AH0002	56.58	57.043	했거든요.	[]
13	16	1	AH0001	58.129	58.353	과외를	[]
13	16	2	AH0001	58.414	59.168	받았어요?	[12]
13	17	1	AH0001	59.925	60.469	자신감이	[]
13	17	2	AH0001	60.529	60.61	좀	[]
13	17	3	AH0001	60.65	61.516	있었겠네요?	[]
14	18	1	AH0002	61.604	61.744	아니요.	[]
14	18	2	AH0002	61.805	62.025	그때는	[]
14	18	3	AH0002	62.066	62.306	이제	[]
14	18	4	AH0002	62.367	62.387	그	[]
14	18	5	AH0002	62.467	63.109	대학생	[]
14	18	6	AH0002	63.23	63.812	선생님이	[13]
14	18	7	AH0002	64.092	64.273	과외를	[]
14	18	8	AH0002	64.313	65.016	해주시니까	[14]
14	18	9	AH0002	65.537	65.598	그	[]
14	18	10	AH0002	65.758	66.059	얼마나	[]
14	18	11	AH0002	66.28	66.641	예쁩니까.	[]
14	19	1	AH0002	67.654	67.894	개그	[]
14	19	2	AH0002	67.934	68.495	선생님하고	[]
14	19	3	AH0002	69.517	69.818	단둘이서	[]
14	19	4	AH0002	69.858	70.118	공부를	[]
14	19	5	AH0002	70.158	70.419	한다는	[]
14	19	6	AH0002	70.459	71.1	자체만으로도	[]
15	20	1	AH0001	71.708	71.849	그	[]
15	20	2	AH0001	71.99	72.131	과외	[]
15	20	3	AH0001	72.211	72.574	선생님에	[]
15	20	4	AH0001	72.654	72.875	대한	[]
15	20	5	AH0001	73.298	73.62	추억도	[]
15	20	6	AH0001	73.701	73.801	좀	[]
15	20	7	AH0001	74.244	74.848	찐하시겠네요	[15]
16	21	1	AH0002	75.722	75.903	많이	[]
16	21	2	AH0002	75.923	76.044	있었죠	[]
16	21	3	AH0002	76.064	76.447	그러니까	[]
16	21	4	AH0002	76.507	76.547	그	[]
16	21	5	AH0002	76.668	77.111	당시	[]
16	21	6	AH0002	77.131	77.272	이제	[]
17	22	1	AH0001	77.664	77.825	거의	[]
17	22	2	AH0001	77.925	78.408	누나잖아요	[]
17	22	3	AH0001	78.448	78.769	솔직히	[]
17	22	4	AH0001	78.81	79.111	대학생	[]
