uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	1.124	이천십일	[]
1	1	2	DG0001	1.184	1.746	학년도	[]
1	1	3	DG0001	1.766	3.051	대학수학능력시험이	[]
1	1	4	DG0001	3.132	3.453	모두	[]
1	1	5	DG0001	3.513	4.356	끝났습니다.	[]
1	2	1	DG0001	4.356	5.239	칠십만	[]
1	2	2	DG0001	5.319	5.439	명이	[]
1	2	3	DG0001	5.5	5.761	넘는	[]
1	2	4	DG0001	5.841	6.523	수험생들에	[]
1	2	5	DG0001	6.663	6.864	대학	[]
1	2	6	DG0001	6.984	7.406	진로에	[]
1	2	7	DG0001	7.647	8.269	결정적인	[]
1	2	8	DG0001	8.329	8.63	영향을	[]
1	2	9	DG0001	8.71	8.971	미치는	[]
1	2	10	DG0001	9.071	9.352	시험인	[]
1	2	11	DG0001	9.412	9.733	만큼	[]
1	3	1	DG0001	10.255	10.696	그만큼	[]
1	3	2	DG0001	10.756	11.137	중요한	[]
1	3	3	DG0001	11.478	12.0	시험이고요	[]
1	3	4	DG0001	12.18	12.501	그래서	[]
1	3	5	DG0001	13.023	13.203	또	[]
1	3	6	DG0001	13.303	13.424	어	[]
1	3	7	DG0001	13.524	14.146	엄격하고	[]
1	3	8	DG0001	14.166	14.427	또	[]
1	3	9	DG0001	14.507	14.848	공정한	[]
1	3	10	DG0001	15.008	15.329	과정을	[]
1	3	11	DG0001	15.449	15.75	거치게	[]
1	3	12	DG0001	15.79	16.412	되지요.	[]
1	4	1	DG0001	16.412	17.073	이비에스	[]
1	4	2	DG0001	17.133	17.233	교육	[]
1	4	3	DG0001	17.333	17.593	초대석	[]
1	4	4	DG0001	17.893	18.193	오늘은	[]
1	4	5	DG0001	18.294	18.454	수능	[]
1	4	6	DG0001	18.554	18.794	출제	[]
1	4	7	DG0001	18.814	19.414	위원장이신	[]
1	4	8	DG0001	20.075	20.315	교수를	[]
1	4	9	DG0001	20.415	20.695	모시고	[]
1	4	10	DG0001	21.076	21.376	말씀	[]
1	4	11	DG0001	21.416	21.456	나눠	[]
1	4	12	DG0001	21.516	21.676	보는	[]
1	4	13	DG0001	21.696	21.856	시간을	[]
1	4	14	DG0001	21.916	22.157	갖도록	[]
1	4	15	DG0001	22.657	23.518	하겠습니다	[]
1	4	16	DG0001	23.538	23.758	교수님	[]
1	4	17	DG0001	23.778	23.898	안녕하십니까.	[]
1	5	1	DG0001	23.898	24.621	예	[]
1	5	2	DG0001	24.782	24.983	뭐	[]
1	5	3	DG0001	25.143	25.264	수능	[]
1	5	4	DG0001	25.344	25.605	출제	[]
1	5	5	DG0001	25.666	26.509	위원장으로서	[]
1	5	6	DG0001	26.891	27.152	고생이	[]
1	5	7	DG0001	27.212	27.855	많으셨죠.	[]
2	6	1	DG0002	27.855	27.875	예.	[]
3	7	1	DG0001	28.857	29.521	어떤	[]
3	7	2	DG0001	29.582	29.743	것이	[]
3	7	3	DG0001	29.803	30.004	가장	[]
3	7	4	DG0001	30.045	30.125	큰	[]
3	7	5	DG0001	30.186	30.628	고생이었다고	[]
3	7	6	DG0001	30.689	31.635	생각하십니까.	[]
4	8	1	DG0002	31.635	32.417	어	[]
4	8	2	DG0002	32.557	32.637	그	[]
4	8	3	DG0002	32.718	33.239	안에서	[]
4	8	4	DG0002	33.72	33.82	이	[]
4	8	5	DG0002	33.92	34.482	완전히	[]
4	8	6	DG0002	34.502	34.522	그	[]
