uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.902	아유	[]
1	1	2	AH0001	1.022	1.525	정말	[]
1	1	3	AH0001	1.706	1.887	버리고	[]
1	1	4	AH0001	1.947	2.108	싶은	[]
1	1	5	AH0001	2.148	2.469	것들이	[]
1	1	6	AH0001	2.851	2.932	참	[]
1	1	7	AH0001	3.012	3.454	많네요.	[]
1	2	1	AH0001	3.454	5.718	미니멀라이프하면	[]
1	2	2	AH0001	5.758	5.778	또	[]
1	2	3	AH0001	5.838	6.118	떠오르는	[]
1	2	4	AH0001	6.218	6.238	게	[1]
1	3	1	AH0001	7.112	7.213	뭐	[]
1	3	2	AH0001	7.314	7.798	요즘은	[]
1	3	3	AH0001	8.161	8.766	대중매체에서도	[]
1	3	4	AH0001	8.826	8.988	많이	[]
1	3	5	AH0001	9.069	9.27	반영이	[]
1	3	6	AH0001	9.331	9.432	된	[]
1	3	7	AH0001	9.472	9.532	것	[]
1	3	8	AH0001	9.573	9.956	같아요.	[]
2	4	1	AH0002	10.526	10.546	어	[]
2	4	2	AH0002	10.706	10.866	예를	[]
2	4	3	AH0002	10.927	11.267	들어서	[]
2	4	4	AH0002	11.327	11.487	얼마	[]
2	4	5	AH0002	11.527	11.868	전에	[]
2	4	6	AH0002	12.088	12.328	그	[]
2	4	7	AH0002	12.849	13.31	개봉했던	[]
2	4	8	AH0002	13.37	14.291	영화죠.	[2]
2	5	1	AH0002	14.291	14.552	리틀	[]
2	5	2	AH0002	14.673	15.114	포레스트라는	[]
2	5	3	AH0002	15.175	15.536	영화	[]
2	5	4	AH0002	15.617	15.858	혹시	[]
2	5	5	AH0002	15.938	16.46	보셨나요?	[]
3	6	1	AH0001	16.46	16.783	저는	[]
3	6	2	AH0001	16.803	16.864	이거	[]
3	6	3	AH0001	17.005	17.329	원작	[]
3	6	4	AH0001	17.47	17.713	만화를	[]
3	6	5	AH0001	17.814	17.894	되게	[]
3	6	6	AH0001	17.955	18.157	재밌게	[]
3	6	7	AH0001	18.177	18.743	봤습니다.	[]
4	7	1	AH0002	18.663	18.923	아	[]
4	7	2	AH0002	19.084	19.524	만화가	[]
4	7	3	AH0002	19.585	20.186	원작이었고	[3]
4	7	4	AH0002	20.346	20.466	저는	[]
4	7	5	AH0002	20.486	20.526	그거	[]
4	7	6	AH0002	20.646	20.927	모르고	[]
4	7	7	AH0002	20.947	21.127	이제	[]
4	7	8	AH0002	21.167	21.468	봤는데	[]
4	8	1	AH0002	21.978	22.339	@이름696	[]
4	8	2	AH0002	22.439	22.619	씨가	[]
4	8	3	AH0002	22.68	23.06	맡은	[]
4	8	4	AH0002	23.201	23.562	혜원이란	[]
4	8	5	AH0002	23.662	24.143	주인공은	[]
4	8	6	AH0002	24.163	24.183	뭐	[4]
4	8	7	AH0002	24.624	25.205	시험이든	[]
4	8	8	AH0002	25.325	25.706	연애든	[]
4	8	9	AH0002	25.827	26.187	취업이든	[]
4	8	10	AH0002	26.468	26.548	다	[]
4	8	11	AH0002	26.648	26.949	뜻대로	[]
4	8	12	AH0002	27.009	27.45	안돼서	[]
4	8	13	AH0002	27.931	27.991	그래서	[]
4	8	14	AH0002	28.272	28.613	잠깐	[]
4	8	15	AH0002	29.234	29.314	올	[]
4	8	16	AH0002	29.375	29.956	스톱하고	[5]
4	8	17	AH0002	30.397	30.718	고향에	[]
4	8	18	AH0002	30.758	31.199	내려가서	[]
4	8	19	AH0002	31.299	31.64	지내기로	[]
4	8	20	AH0002	31.68	32.722	마음먹어요.	[6]
4	9	1	AH0002	32.729	32.969	그래서	[]
4	9	2	AH0002	33.11	33.29	고향에	[]
4	9	3	AH0002	33.33	33.811	돌아갔더니	[]
4	9	4	AH0002	33.871	33.911	이제	[]
4	9	5	AH0002	33.991	34.152	오랜	[]
4	9	6	AH0002	34.252	34.532	친구들이	[]
4	9	7	AH0002	34.553	34.773	있을	[]
4	9	8	AH0002	34.893	34.953	거	[]
4	9	9	AH0002	34.993	35.314	아니에요?	[]
4	10	1	AH0002	35.315	35.415	그	[7]
4	10	2	AH0002	35.475	35.636	친구들	[]
4	10	3	AH0002	35.676	36.116	만나서	[]
4	10	4	AH0002	36.597	37.058	함께	[]
4	10	5	AH0002	37.478	37.639	그	[]
4	10	6	AH0002	37.899	38.119	직접	[]
4	10	7	AH0002	38.22	38.62	키워서	[]
4	10	8	AH0002	38.72	39.181	농작물을	[]
4	10	9	AH0002	39.261	39.802	가꾸고	[]
4	10	10	AH0002	39.822	40.183	그걸로	[]
4	10	11	AH0002	40.203	40.243	이제	[]
4	10	12	AH0002	40.303	40.323	한	[]
4	10	13	AH0002	40.543	40.603	끼	[]
4	10	14	AH0002	40.623	40.683	한	[]
4	10	15	AH0002	40.784	40.884	끼를	[]
4	10	16	AH0002	40.944	41.284	만들어	[]
4	10	17	AH0002	41.364	42.046	먹고	[]
4	10	18	AH0002	42.486	42.586	그런	[]
4	10	19	AH0002	42.647	42.867	것들을	[]
4	10	20	AH0002	42.987	44.029	사계절에	[]
4	10	21	AH0002	44.79	45.231	담는	[]
4	10	22	AH0002	45.291	45.651	아름다운	[]
4	10	23	AH0002	45.711	46.072	영환데	[]
4	11	1	AH0002	46.152	47.258	대단한	[]
4	11	2	AH0002	47.358	47.64	서사가	[]
4	11	3	AH0002	47.68	47.861	있는	[]
4	11	4	AH0002	47.921	47.981	게	[]
