bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	24.658	24.958	CONTINUER	네.	[3]	[5]	[16]
2	DG0001	35.993	36.379	CONTINUER	아.	[4]	[7]	[7]
3	DG0001	38.544	38.859	CONTINUER	네.	[4]	[7]	[14]
4	DG0001	39.919	40.509	CONTINUER	어.	[4]	[7]	[17]
5	DG0002	55.408	55.643	CONTINUER	네.	[5]	[10]	[7]
6	DG0002	58.698	59.583	AFFIRMATIVE	네. 맞습니다.	[5]	[10]	[13]
7	DG0002	81.695	82.1	CONTINUER	예.	[5]	[13]	[16]
8	DG0002	86.671	87.241	AFFIRMATIVE	그렇죠.	[5]	[14]	[10]
9	DG0002	95.949	96.284	CONTINUER	예.	[7]	[17]	[6]
10	DG0001	114.559	115.329	UNDERSTANDING	음.	[8]	[20]	[3]
11	DG0002	123.033	123.393	CONTINUER	네네.	[11]	[23]	[3]
12	DG0001	126.391	126.656	CONTINUER	네.	[12]	[24]	[5]
13	DG0001	130.277	130.422	CONTINUER	응.	[12]	[25]	[6]
14	DG0001	135.794	136.024	CONTINUER	응.	[14]	[27]	[6]
15	DG0001	144.02	144.625	CONTINUER	아.	[14]	[28]	[11]
16	DG0001	147.487	147.797	CONTINUER	음.	[14]	[29]	[5]
17	DG0001	149.832	150.067	CONTINUER	네.	[14]	[29]	[10]
18	DG0001	151.466	151.82	CONTINUER	네네.	[14]	[30]	[3]
19	DG0001	154.778	155.503	CONTINUER	아.	[14]	[31]	[4]
20	DG0001	156.516	157.651	UNDERSTANDING	음.	[14]	[32]	[1]
21	DG0002	163.466	163.596	CONTINUER	네.	[15]	[34]	[10]
22	DG0002	178.07	178.311	CONTINUER	네.	[21]	[40]	[2]
23	DG0001	186.705	186.955	CONTINUER	네.	[22]	[42]	[8]
24	DG0001	195.231	197.179	AFFIRMATIVE	네. 네. 맞아요.	[22]	[43]	[12]
25	DG0001	199.367	199.807	CONTINUER	예.	[22]	[44]	[7]
26	DG0002	221.641	222.186	AFFIRMATIVE	네. 맞습니다.	[23]	[46]	[21]
27	DG0002	229.607	229.977	CONTINUER	네.	[23]	[47]	[14]
28	DG0001	235.367	235.707	CONTINUER	네.	[24]	[49]	[6]
29	DG0001	240.462	240.832	CONTINUER	음.	[24]	[50]	[8]
30	DG0001	245.179	245.621	CONTINUER	네.	[24]	[50]	[16]
