uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.562	오늘은	[]
1	1	2	AH0001	0.582	0.944	여러분	[]
1	1	3	AH0001	1.064	1.526	얼굴만	[]
1	1	4	AH0001	1.546	1.626	봐도	[]
1	1	5	AH0001	1.686	1.807	딱	[]
1	1	6	AH0001	2.128	2.75	알아볼	[]
1	1	7	AH0001	3.011	3.453	만한	[]
1	1	8	AH0001	3.473	4.136	유명	[]
1	1	9	AH0001	4.276	4.557	스타	[]
1	1	10	AH0001	4.678	5.119	강사	[]
1	1	11	AH0001	5.179	5.862	한	[]
1	1	12	AH0001	5.902	6.103	분을	[]
1	1	13	AH0001	6.163	6.384	초대했습니다.	[]
1	2	1	AH0001	6.384	6.985	찾는	[]
1	2	2	AH0001	7.025	7.286	사람이	[]
1	2	3	AH0001	7.386	7.667	끊이질	[]
1	2	4	AH0001	7.767	8.208	않아서	[]
1	2	5	AH0001	8.428	8.729	벌써	[]
1	2	6	AH0001	8.869	9.33	오천여	[]
1	2	7	AH0001	9.55	9.67	회	[]
1	2	8	AH0001	9.711	10.091	이상	[]
1	2	9	AH0001	10.232	10.352	강연을	[]
1	2	10	AH0001	10.472	10.713	하신	[]
1	2	11	AH0001	11.013	11.454	분이에요.	[]
1	3	1	AH0001	11.454	11.935	근데	[]
1	3	2	AH0001	11.955	12.015	이	[]
1	3	3	AH0001	12.115	12.455	분의	[]
1	3	4	AH0001	12.815	13.356	주된	[]
1	3	5	AH0001	13.476	14.117	강연의	[]
1	3	6	AH0001	14.217	14.537	소재가	[]
1	3	7	AH0001	14.637	14.838	바로	[]
1	3	8	AH0001	14.998	15.639	소통	[]
1	3	9	AH0001	15.939	16.359	문제인데	[]
1	3	10	AH0001	16.58	16.66	정작	[]
1	3	11	AH0001	16.7	16.82	본인은	[]
1	3	12	AH0001	16.84	17.06	어렸을	[]
1	3	13	AH0001	17.16	18.181	때부터	[]
1	3	14	AH0001	18.201	19.683	소통을	[]
1	3	15	AH0001	20.524	21.225	전혀	[]
1	3	16	AH0001	21.265	21.385	못하던	[]
1	3	17	AH0001	21.405	21.525	사람이었다.	[]
1	4	1	AH0001	21.525	22.499	이렇게	[]
1	4	2	AH0001	22.702	22.905	고백을	[]
1	4	3	AH0001	22.966	23.027	합니다.	[]
1	5	1	AH0001	23.027	23.589	게다가	[]
1	5	2	AH0001	23.65	24.011	요즘은	[]
1	5	3	AH0001	24.333	24.513	새롭게	[]
1	5	4	AH0001	24.734	24.815	또	[]
1	5	5	AH0001	24.875	25.176	영화	[]
1	5	6	AH0001	25.297	25.457	배우의	[]
1	5	7	AH0001	25.658	26.06	꿈까지	[]
1	5	8	AH0001	26.08	26.341	꾸고	[]
1	5	9	AH0001	26.421	26.964	계시다고	[]
1	5	10	AH0001	27.024	27.526	하는데요.	[]
1	6	1	AH0001	27.526	28.075	어서	[]
1	6	2	AH0001	28.177	28.441	오십시오	[]
2	7	1	AH0002	28.441	28.988	안녕하세요.	[]
3	8	1	AH0001	28.988	30.291	네	[]
3	8	2	AH0001	30.331	30.432	네	[]
3	8	3	AH0001	30.472	31.134	요즘도	[]
3	8	4	AH0001	31.214	31.414	계속	[]
3	8	5	AH0001	31.494	31.936	그렇게	[]
3	8	6	AH0001	32.076	32.357	강연	[]
3	8	7	AH0001	32.597	33.059	요청이	[]
3	8	8	AH0001	33.439	33.78	이어지죠?	[]
4	9	1	AH0002	34.021	36.013	네	[]
4	9	2	AH0002	36.093	36.153	뭐	[]
4	9	3	AH0002	36.174	36.254	감사하게	[]
4	10	1	AH0002	36.849	37.793	그	[]
4	10	2	AH0002	38.175	38.938	강연을	[]
4	10	3	AH0002	38.958	39.199	이제	[]
4	10	4	AH0002	39.561	39.842	전에는	[]
4	10	5	AH0002	40.003	40.827	기업에서만	[]
4	10	6	AH0002	40.927	41.329	했었는데요.	[1]
4	11	1	AH0002	41.578	41.779	이제	[]
4	11	2	AH0002	41.799	41.839	그게	[]
4	11	3	AH0002	42.04	42.342	아마	[]
4	11	4	AH0002	42.503	43.368	방송하고	[]
4	11	5	AH0002	43.388	43.448	나서	[2]
4	12	1	AH0002	43.987	45.111	뭐	[]
4	12	2	AH0002	45.351	45.432	이렇게	[]
4	12	3	AH0002	45.492	45.592	조금	[]
4	12	4	AH0002	45.692	46.254	민간단체나	[]
4	12	5	AH0002	46.515	46.836	뭐	[]
4	12	6	AH0002	46.936	47.157	지자체	[]
4	12	7	AH0002	47.177	47.639	이렇게	[]
4	12	8	AH0002	47.699	47.94	좀	[]
4	12	9	AH0002	48.341	49.204	확장된	[]
4	12	10	AH0002	49.224	49.244	것	[]
4	12	11	AH0002	49.264	49.324	같애요.	[]
5	13	1	AH0001	49.324	50.293	네	[]
5	13	2	AH0001	50.495	50.576	몇	[]
5	13	3	AH0001	50.657	50.738	년	[]
5	13	4	AH0001	50.798	51.263	되셨죠?	[]
5	14	1	AH0001	51.263	51.724	강연을	[]
5	14	2	AH0001	52.225	52.446	처음	[]
5	14	3	AH0001	52.586	52.787	강연을	[]
5	14	4	AH0001	52.887	53.007	처음	[]
5	14	5	AH0001	53.067	53.268	하신	[]
5	14	6	AH0001	53.328	53.508	게	[]
5	14	7	AH0001	53.528	53.809	언제예요?	[]
6	15	1	AH0002	53.809	55.015	한	[]
6	15	2	AH0002	55.035	56.382	이천이	[]
6	15	3	AH0002	56.462	56.583	년	[]
6	15	4	AH0002	57.045	57.125	정도에	[]
6	15	5	AH0002	57.387	57.567	처음	[]
7	16	1	AH0001	57.688	58.403	이천이	[]
7	16	2	AH0001	58.526	58.546	년	[]
8	17	1	AH0002	58.546	59.035	네	[]
8	17	2	AH0002	59.076	59.137	하게	[]
8	17	3	AH0002	59.157	59.259	됐습니다.	[]
9	18	1	AH0001	59.259	59.647	십오	[]
9	18	2	AH0001	59.77	59.791	년	[]
10	19	1	AH0002	60.179	60.199	네	[]
11	20	1	AH0001	60.524	61.049	맨	[]
11	20	2	AH0001	61.19	61.331	첫	[]
11	20	3	AH0001	61.513	62.219	강의가	[]
11	20	4	AH0001	62.32	62.925	기억나세요?	[]
11	21	1	AH0001	62.925	63.499	이천이	[]
11	21	2	AH0001	63.581	63.601	년?	[]
12	22	1	AH0002	63.601	64.002	첫	[]
12	22	2	AH0002	64.344	64.986	강의는	[]
12	22	3	AH0002	65.126	66.291	스피치	[]
12	22	4	AH0002	66.471	67.896	학원에서	[]
12	22	5	AH0002	67.936	68.117	강의했었습니다.	[]
13	23	1	AH0001	68.169	70.492	아	[]
13	23	2	AH0001	70.512	70.893	스피치	[]
13	23	3	AH0001	71.033	71.153	화	[]
13	23	4	AH0001	71.273	71.353	화법	[]
13	23	5	AH0001	71.634	71.754	화술	[]
13	23	6	AH0001	71.874	72.134	배우러	[]
13	23	7	AH0001	72.154	72.294	온	[]
13	23	8	AH0001	72.335	72.655	학생들	[]
13	23	9	AH0001	72.875	73.116	대상으로?	[]
14	24	1	AH0002	73.456	73.476	네	[]
14	24	2	AH0002	73.496	74.1	그래서	[]
14	24	3	AH0002	74.463	74.523	이제	[]
14	24	4	AH0002	74.604	74.886	처음에는	[]
14	24	5	AH0002	75.007	75.127	제가	[]
14	24	6	AH0002	75.248	75.309	이제	[]
14	24	7	AH0002	75.429	75.49	그냥	[]
14	24	8	AH0002	75.611	75.792	개인	[]
14	24	9	AH0002	75.852	76.174	레슨을	[]
14	24	10	AH0002	76.195	76.839	했었거든요.	[3]
14	25	1	AH0002	77.446	78.248	이렇게	[]
14	25	2	AH0002	78.268	78.288	뭐	[]
14	25	3	AH0002	78.368	78.829	공식적인	[]
14	25	4	AH0002	78.929	79.731	석상에서	[]
14	25	5	AH0002	79.871	80.051	말을	[]
14	25	6	AH0002	80.071	80.412	하셔야	[]
14	25	7	AH0002	80.492	80.532	될	[]
14	25	8	AH0002	80.653	80.873	필요가	[]
14	25	9	AH0002	80.913	81.194	있거나	[4]
14	26	1	AH0002	82.094	82.619	아	[]
14	26	2	AH0002	82.639	82.74	난	[]
14	26	3	AH0002	82.801	82.902	좀	[]
14	26	4	AH0002	83.003	83.245	소통에	[]
14	26	5	AH0002	83.285	83.366	좀	[]
14	26	6	AH0002	83.406	83.669	어려움이	[]
14	26	7	AH0002	83.709	84.093	있다.	[]
14	27	1	AH0002	84.093	84.856	잘하고	[]
14	27	2	AH0002	84.937	85.238	싶다.	[5]
14	28	1	AH0002	85.652	86.456	그러는	[]
14	28	2	AH0002	86.556	86.597	분을	[]
14	28	3	AH0002	86.617	86.778	이제	[]
14	28	4	AH0002	86.798	87.36	개인으로	[]
14	28	5	AH0002	87.722	88.506	인제	[]
14	28	6	AH0002	88.727	88.868	서로	[]
14	28	7	AH0002	89.008	89.632	이야기하고	[6]
14	29	1	AH0002	90.042	90.872	코칭하는	[]
14	29	2	AH0002	91.014	91.763	일을	[7]
14	29	3	AH0002	91.784	91.885	했었는데요.	[]
14	30	1	AH0002	93.113	93.859	이걸	[]
14	30	2	AH0002	94.222	94.444	어디에서	[]
14	30	3	AH0002	94.524	94.746	해야	[]
14	30	4	AH0002	94.827	94.907	될지를	[]
14	30	5	AH0002	94.948	95.633	모르겠더라구요.	[8]
14	31	1	AH0002	96.166	96.527	그래서	[]
14	31	2	AH0002	96.547	96.707	이제	[]
