bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0001	36.746	37.491	UNDERSTANDING	어.	[6]	[8]	[6]
2	SL0001	40.465	41.545	UNDERSTANDING	음.	[6]	[9]	[11]
3	SL0001	43.495	43.92	CONTINUER	예.	[6]	[9]	[18]
4	SL0001	45.501	46.936	AFFIRMATIVE	그쵸. 그쵸. 어.	[6]	[10]	[1]
5	SL0001	51.096	51.456	CONTINUER	어.	[6]	[10]	[12]
6	SL0001	52.336	52.871	CONTINUER	어.	[6]	[11]	[3]
7	SL0001	59.756	60.751	ASSESSMENT	카.	[6]	[11]	[19]
8	SL0002	63.676	64.541	UNDERSTANDING	아.	[7]	[12]	[4]
9	SL0002	71.637	72.222	CONTINUER	음.	[7]	[13]	[10]
10	SL0002	82.485	83.26	UNDERSTANDING	아.	[7]	[14]	[12]
11	SL0002	92.176	92.661	CONTINUER	네.	[7]	[16]	[1]
12	SL0001	102.791	103.221	CONTINUER	네.	[8]	[18]	[4]
13	SL0001	106.495	109.695	CONTINUER	응. 응. 응.	[8]	[20]	[3]
14	SL0001	110.064	110.91	CONTINUER	네 네 네.	[8]	[20]	[14]
15	SL0001	117.562	118.337	CONTINUER	음.	[8]	[21]	[17]
16	SL0001	122.994	123.299	CONTINUER	네.	[8]	[23]	[5]
17	SL0001	133.347	133.82	CONTINUER	네.	[10]	[25]	[6]
18	SL0001	138.75	139.863	UNDERSTANDING	아	[10]	[26]	[13]
19	SL0001	147.355	148.14	CONTINUER	네네네네네.	[12]	[29]	[7]
20	SL0001	152.015	152.735	CONTINUER	어.	[12]	[29]	[14]
21	SL0001	156.952	158.697	UNDERSTANDING	아.	[12]	[30]	[11]
22	SL0001	159.297	160.492	CONTINUER	아. 네네네. 네네.	[12]	[30]	[19]
23	SL0002	162.376	162.631	CONTINUER	네.	[13]	[31]	[3]
24	SL0001	165.373	166.013	CONTINUER	네.	[14]	[32]	[1]
25	SL0002	168.337	168.547	CONTINUER	네.	[15]	[33]	[4]
26	SL0001	173.072	173.487	CONTINUER	어.	[16]	[34]	[5]
27	SL0001	175.512	176.102	UNDERSTANDING	아.	[16]	[34]	[11]
28	SL0001	177.027	178.677	CONTINUER	어. 네.	[16]	[34]	[15]
29	SL0001	196.149	197.379	ASSESSMENT	흐음!	[18]	[38]	[10]
30	SL0001	198.324	199.044	CONTINUER	응. 응.	[18]	[39]	[3]
31	SL0001	217.004	217.269	CONTINUER	에.	[20]	[43]	[4]
32	SL0001	221.126	221.846	CONTINUER	네에.	[20]	[44]	[1]
33	SL0001	222.851	223.656	UNDERSTANDING	어어어.	[20]	[44]	[5]
34	SL0002	233.662	234.207	CONTINUER	네.	[23]	[49]	[8]
35	SL0002	238.332	239.167	CONTINUER	네. 네. 네.	[23]	[50]	[8]
36	SL0002	251.86	252.27	AFFIRMATIVE	그쵸.	[25]	[54]	[1]
37	SL0002	255.665	256.315	CONTINUER	음.	[25]	[54]	[12]
38	SL0001	261.71	261.91	CONTINUER	어.	[26]	[56]	[6]
39	SL0002	263.374	264.409	AFFIRMATIVE	그쵸.	[27]	[57]	[5]
40	SL0002	269.255	270.215	CONTINUER	네.	[29]	[59]	[8]
