uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	1.55	1.65	좋은	[]
1	1	2	DG0001	1.69	1.991	사람들	[]
1	1	3	DG0001	2.051	2.972	@이름1입니다	[]
1	1	4	DG0001	3.153	3.273	삼	[]
1	1	5	DG0001	3.373	3.593	부	[]
1	1	6	DG0001	3.714	4.595	시작합니다.	[]
1	2	1	DG0001	5.764	10.047	감칠맛	[]
1	2	2	DG0001	10.167	10.647	가득한	[]
1	2	3	DG0001	10.767	11.007	고전	[]
1	2	4	DG0001	11.047	11.608	이야기가	[]
1	2	5	DG0001	11.828	12.128	귀와	[]
1	2	6	DG0001	12.208	12.488	마음을	[]
1	2	7	DG0001	12.568	12.708	사로	[]
1	2	8	DG0001	12.768	12.968	잡는	[]
1	2	9	DG0001	13.028	13.349	시간	[]
1	2	10	DG0001	13.669	13.969	@이름2	[]
1	2	11	DG0001	14.009	14.269	박사의	[]
1	2	12	DG0001	14.309	14.849	은밀한	[]
1	2	13	DG0001	15.01	15.17	고전	[]
1	3	1	DG0001	15.691	16.093	고전	[]
1	3	2	DG0001	16.173	16.875	문학자이자	[]
1	3	3	DG0001	17.016	17.317	구수한	[]
1	3	4	DG0001	17.397	18.361	이야기꾼이시죠.	[]
1	4	1	DG0001	18.361	18.804	연세대학교	[]
1	4	2	DG0001	18.864	19.126	학부	[]
1	4	3	DG0001	19.186	19.407	대학	[]
1	4	4	DG0001	19.629	19.971	@이름2	[]
1	4	5	DG0001	20.011	20.192	박사님	[]
1	4	6	DG0001	20.253	20.937	오셨습니다	[]
1	4	7	DG0001	20.957	21.641	안녕하세요.	[]
2	5	1	DG0002	21.796	22.267	안녕하세요.	[]
3	6	1	DG0001	22.628	22.809	오늘	[]
3	6	2	DG0001	22.849	23.13	오시는	[]
3	6	3	DG0001	23.191	23.391	길은	[]
3	6	4	DG0001	23.452	23.974	어떠셨어요?	[]
4	7	1	DG0002	23.972	24.495	아흐	[]
4	7	2	DG0002	25.038	25.541	눈보라를	[]
4	7	3	DG0002	25.662	25.743	뚫고	[]
4	7	4	DG0002	25.883	26.467	왔습니다.	[1]
4	8	1	DG0002	28.02	28.561	일로	[]
4	8	2	DG0002	28.781	29.022	이쪽	[]
4	8	3	DG0002	29.142	29.642	방향으로	[]
4	8	4	DG0002	29.803	29.943	제가	[]
4	8	5	DG0002	30.003	30.344	저쪽	[]
4	8	6	DG0002	30.484	30.644	서울	[]
4	8	7	DG0002	30.724	30.944	동부	[]
4	8	8	DG0002	31.005	31.145	쪽에	[]
4	8	9	DG0002	31.225	31.425	사는데	[2]
4	9	1	DG0002	32.211	32.493	오는	[]
4	9	2	DG0002	32.635	33.038	내내	[]
4	9	3	DG0002	33.119	33.845	점점점점	[]
4	9	4	DG0002	33.946	34.329	강해지는	[]
4	9	5	DG0002	34.389	34.813	거죠.	[]
4	10	1	DG0002	34.813	34.994	그니까	[3]
4	10	2	DG0002	35.255	35.899	눈구름이	[]
4	10	3	DG0002	35.999	36.059	그	[]
4	10	4	DG0002	36.08	36.16	쪽	[]
4	10	5	DG0002	36.2	36.844	방향으로	[]
4	10	6	DG0002	36.964	37.507	가니까요.	[]
4	11	1	DG0002	37.789	37.91	이제는	[4]
4	11	2	DG0002	37.93	37.95	좀	[]
4	11	3	DG0002	38.13	38.653	지나갔지만	[]
4	11	4	DG0002	39.396	39.416	야	[]
4	12	1	DG0002	41.68	42.063	많은	[]
4	12	2	DG0002	42.123	42.365	분들이	[]
4	12	3	DG0002	42.425	43.131	힘드시겠구나	[5]
4	12	4	DG0002	43.312	43.876	싶었습니다.	[]
4	13	1	DG0002	44.074	44.456	야	[6]
4	13	2	DG0002	44.556	44.818	정말	[]
4	13	3	DG0002	44.898	45.159	눈이	[]
4	13	4	DG0002	45.702	45.943	앞이	[]
4	13	5	DG0002	45.963	45.983	안	[]
4	13	6	DG0002	46.063	46.807	보이거든요.	[]
5	14	1	DG0001	46.876	47.417	그러네요	[]
5	14	2	DG0001	47.497	47.918	오늘도	[]
5	14	3	DG0001	48.039	48.119	계	[]
5	14	4	DG0001	48.48	48.72	저기	[]
5	14	5	DG0001	49.001	49.141	예	[]
5	14	6	DG0001	49.261	49.843	제보를	[]
5	14	7	DG0001	49.923	50.163	계속	[]
5	14	8	DG0001	50.524	50.584	뭐	[]
5	14	9	DG0001	50.604	50.624	저	[]
5	14	10	DG0001	50.704	50.885	돌발	[]
5	14	11	DG0001	50.965	51.586	상황이나	[]
5	14	12	DG0001	52.047	52.589	마실	[]
5	14	13	DG0001	52.649	52.829	주실	[]
5	14	14	DG0001	52.869	53.11	말씀	[]
5	14	15	DG0001	53.13	53.471	있으시면	[]
5	14	16	DG0001	53.551	53.952	주시면	[]
5	14	17	DG0001	54.052	54.393	저희가	[]
5	14	18	DG0001	54.553	54.994	그때그때	[]
5	14	19	DG0001	55.014	55.034	또	[]
5	14	20	DG0001	55.435	55.695	말씀을	[]
5	14	21	DG0001	55.776	56.116	드리도록	[]
5	14	22	DG0001	56.197	56.858	할게요.	[]
5	15	1	DG0001	57.168	57.249	자	[]
5	15	2	DG0001	57.31	57.492	오늘은	[]
5	15	3	DG0001	57.553	57.756	일단	[]
5	15	4	DG0001	57.796	57.999	어떤	[]
5	15	5	DG0001	58.04	58.283	얘기를	[]
6	16	1	DG0002	58.941	59.281	오늘의	[]
6	16	2	DG0002	59.461	59.802	제목은	[]
6	16	3	DG0002	60.262	60.723	사랑의	[]
6	16	4	DG0002	60.823	61.263	약속을	[]
6	16	5	DG0002	61.323	61.604	어긴	[]
6	16	6	DG0002	61.844	62.264	최창	[]
6	16	7	DG0002	62.524	63.605	@이름3라는	[]
6	16	8	DG0002	63.686	64.166	제목입니다.	[]
6	17	1	DG0002	65.069	65.394	제목에	[]
6	17	2	DG0002	65.475	65.678	벌써	[]
6	17	3	DG0002	65.76	65.922	답이	[]
6	17	4	DG0002	65.983	66.105	다	[]
6	17	5	DG0002	66.145	66.328	있어	[]
7	18	1	DG0001	66.45	66.793	남주	[]
7	18	2	DG0001	66.893	67.256	남주예요	[]
7	18	3	DG0001	67.276	67.478	@이름3이?	[]
8	19	1	DG0002	67.619	67.801	예	[]
8	19	2	DG0002	68.083	68.588	@이름3가	[]
8	19	3	DG0002	68.649	69.234	남주예요.	[7]
8	20	1	DG0002	69.374	69.717	남주와	[8]
8	20	2	DG0002	69.757	69.999	여주	[]
8	20	3	DG0002	70.019	70.342	얘기인데	[]
8	21	1	DG0002	70.786	70.987	오늘	[]
8	21	2	DG0002	71.027	71.227	얘기는	[]
8	21	3	DG0002	71.247	71.488	아주	[]
8	21	4	DG0002	71.668	71.869	좀	[]
8	21	5	DG0002	72.009	72.571	묘해요.	[]
8	22	1	DG0002	72.666	72.968	아니	[9]
8	22	2	DG0002	72.988	73.109	이	[]
8	22	3	DG0002	73.21	73.29	이	[]
8	22	4	DG0002	73.391	74.075	집중하셔서	[]
8	22	5	DG0002	74.176	74.558	들으셔야	[]
8	22	6	DG0002	74.579	75.142	알아들을	[10]
8	22	7	DG0002	75.162	75.183	수	[]
8	22	8	DG0002	75.283	76.149	있습니다.	[]
8	23	1	DG0002	76.253	76.916	@이름3라는	[]
8	23	2	DG0002	76.976	77.197	사람이	[]
8	23	3	DG0002	77.298	77.68	썼는데	[]
8	23	4	DG0002	77.86	78.061	글을	[]
8	23	5	DG0002	78.142	78.463	잘해요	[]
8	23	6	DG0002	78.584	78.724	물론	[]
8	23	7	DG0002	78.765	79.307	양반이고	[11]
8	24	1	DG0002	80.057	80.54	세상에	[]
8	24	2	DG0002	80.681	81.022	일찍	[]
8	24	3	DG0002	81.083	81.304	이름이	[]
8	24	4	DG0002	81.364	81.827	났어요.	[]
8	25	1	DG0002	82.017	82.157	그리고	[]
8	25	2	DG0002	82.278	82.679	심지어	[]
8	25	3	DG0002	82.759	82.919	제일	[]
8	25	4	DG0002	83.0	83.22	중요한	[]
8	25	5	DG0002	83.26	83.321	게	[]
8	25	6	DG0002	83.401	83.621	뭐냐	[]
8	25	7	DG0002	83.762	84.223	용모가	[]
8	25	8	DG0002	84.965	85.246	너무	[]
8	25	9	DG0002	85.366	85.727	빼어나	[]
8	25	10	DG0002	85.767	85.888	남자	[12]
8	26	1	DG0002	86.85	86.95	그냥	[]
8	26	2	DG0002	87.091	87.752	지나가면	[]
8	26	3	DG0002	88.234	88.936	뭇처녀들이	[]
8	26	4	DG0002	89.036	89.337	보고서	[]
8	26	5	DG0002	89.457	89.758	가슴이	[]
8	26	6	DG0002	89.818	89.878	막	[]
8	26	7	DG0002	89.999	90.299	설레	[13]
8	26	8	DG0002	90.58	90.961	콩닥콩닥	[]
8	26	9	DG0002	91.062	91.222	거리고	[]
8	27	1	DG0002	91.622	91.763	그럴	[]
8	27	2	DG0002	91.863	92.145	정도로	[]
8	27	3	DG0002	92.447	92.608	기가	[]
8	27	4	DG0002	92.85	93.091	맥히게	[]
8	27	5	DG0002	93.252	93.473	생긴	[]
8	27	6	DG0002	93.494	94.057	거에요.	[]
8	28	1	DG0002	94.071	94.394	막	[]
8	28	2	DG0002	94.536	94.798	이런	[]
8	28	3	DG0002	95.041	95.364	칭찬	[]
8	28	4	DG0002	95.424	95.505	들은	[]
8	28	5	DG0002	95.545	95.788	남자가	[]
8	28	6	DG0002	95.828	96.111	있는데	[14]
8	29	1	DG0002	97.37	97.53	막	[]
8	29	2	DG0002	98.152	98.232	이	[]
8	29	3	DG0002	98.292	98.573	사람이	[]
8	29	4	DG0002	98.593	98.713	이제	[]
8	29	5	DG0002	98.834	99.214	과거가	[]
8	29	6	DG0002	99.315	99.395	곧	[]
8	29	7	DG0002	99.555	100.417	있다라는	[]
8	29	8	DG0002	100.518	100.859	소식을	[]
8	29	9	DG0002	100.959	101.219	듣고	[]
8	29	10	DG0002	101.239	101.259	뭐	[]
8	29	11	DG0002	101.42	101.741	이제	[]
8	29	12	DG0002	101.801	101.941	계속	[]
8	29	13	DG0002	102.001	102.302	공부하고	[]
8	29	14	DG0002	102.322	102.843	있었으니까	[]
8	29	15	DG0002	102.944	103.144	어느	[]
8	29	16	DG0002	103.204	103.224	날	[]
8	30	1	DG0002	103.745	104.106	어느	[]
8	30	2	DG0002	104.206	104.527	마을을	[]
8	30	3	DG0002	104.627	105.048	지나가고	[]
