uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	0.941	아	[]
1	1	2	DG0001	1.201	1.862	@전화번호3	[]
1	1	3	DG0001	1.923	2.263	님께서	[]
1	1	4	DG0001	2.403	2.664	층간	[]
1	1	5	DG0001	2.744	2.844	소음	[]
1	1	6	DG0001	2.924	3.245	당해보면	[]
1	1	7	DG0001	3.345	3.666	진짜	[]
1	1	8	DG0001	3.886	4.547	미미미미	[]
1	1	9	DG0001	4.688	5.87	미처버립니다.	[]
1	1	10	DG0001	6.05	6.15	네.	[]
1	1	11	DG0001	6.23	6.471	사람은	[]
1	1	12	DG0001	6.571	6.751	때가	[]
1	1	13	DG0001	6.811	6.992	되면	[]
1	1	14	DG0001	7.473	7.733	잠을	[]
1	1	15	DG0001	7.813	7.973	자야	[]
1	1	16	DG0001	8.014	8.414	하는데	[]
1	1	17	DG0001	8.955	9.436	이십사	[]
1	1	18	DG0001	9.556	9.717	시간	[]
1	1	19	DG0001	9.817	10.398	뛰어다니는데	[]
1	1	20	DG0001	10.498	10.758	진짜	[]
1	1	21	DG0001	10.919	10.939	아.	[]
1	2	1	DG0001	12.055	12.978	이상합니다라고	[]
1	2	2	DG0001	13.038	13.098	또	[]
1	2	3	DG0001	13.158	13.399	문자	[]
1	2	4	DG0001	13.479	13.981	보내셨어요.	[]
1	2	5	DG0001	14.402	14.442	그	[]
1	2	6	DG0001	14.503	14.643	이런	[]
1	2	7	DG0001	14.703	15.024	분들두	[]
1	2	8	DG0001	15.145	15.566	많으시죠.	[]
1	2	9	DG0001	15.606	15.907	이십사	[]
1	2	10	DG0001	15.987	16.128	시간	[]
1	2	11	DG0001	16.208	16.409	동안	[]
1	2	12	DG0001	16.489	16.649	계속	[]
1	2	13	DG0001	16.73	16.89	뛰는	[]
1	2	14	DG0001	16.97	17.051	거	[]
1	2	15	DG0001	17.071	17.392	아니냐.	[]
1	2	16	DG0001	17.472	17.693	이런	[]
1	2	17	DG0001	17.773	18.054	의심을	[]
1	2	18	DG0001	18.114	18.294	갖는	[]
1	2	19	DG0001	18.355	18.555	분두	[]
1	2	20	DG0001	18.876	18.936	아	[]
1	2	21	DG0001	19.017	19.318	계시는	[]
1	2	22	DG0001	19.358	19.438	거	[]
1	2	23	DG0001	19.498	19.699	같구	[1]
1	3	1	DG0001	21.239	21.439	아니	[]
1	3	2	DG0001	21.499	21.72	요번에	[]
1	3	3	DG0001	21.8	21.86	또	[]
1	3	4	DG0001	21.94	22.18	책도	[]
1	3	5	DG0001	22.24	22.701	내셨는데	[]
1	3	6	DG0001	22.781	23.241	당신은	[]
