uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	1.081	일	[]
1	1	2	DG0001	1.141	1.361	년에	[]
1	1	3	DG0001	1.441	1.621	지금	[]
1	1	4	DG0001	1.722	2.302	육천만	[]
1	1	5	DG0001	2.403	2.743	명의	[]
1	1	6	DG0001	3.123	3.444	어린이들이	[]
1	1	7	DG0001	5.707	5.767	그	[]
1	1	8	DG0001	5.827	5.887	아까	[]
1	1	9	DG0001	5.927	5.987	제가	[]
1	1	10	DG0001	6.127	6.328	바꿔	[]
1	1	11	DG0001	6.348	6.448	얘기했는데	[]
1	1	12	DG0001	6.528	6.989	이제	[]
1	1	13	DG0001	7.209	7.469	여성	[]
1	1	14	DG0001	7.609	8.05	할레라는	[]
1	1	15	DG0001	8.15	8.23	게	[]
1	1	16	DG0001	8.25	8.27	또	[]
1	1	17	DG0001	8.29	8.831	있어요.	[]
2	2	1	DG0002	9.373	9.634	여성	[]
2	2	2	DG0002	9.754	10.276	할레라는	[]
2	2	3	DG0002	10.396	10.597	그	[]
2	2	4	DG0002	11.078	11.56	종교하고	[]
2	2	5	DG0002	11.82	12.623	전통에	[]
2	2	6	DG0002	12.743	12.843	관한	[]
2	2	7	DG0002	12.863	13.104	얘기인데	[]
2	2	8	DG0002	13.245	13.726	그거야말로	[]
2	2	9	DG0002	13.746	15.09	아동학대입니다.	[]
2	3	1	DG0002	15.201	15.321	이제	[2]
2	3	2	DG0002	15.542	15.722	그걸	[]
2	3	3	DG0002	15.762	16.403	없애자는	[]
2	3	4	DG0002	16.423	16.684	운동을	[]
2	3	5	DG0002	16.844	16.964	또	[]
2	3	6	DG0002	16.984	17.305	유니세프	[]
2	3	7	DG0002	17.385	17.565	많이	[]
2	3	8	DG0002	17.585	17.645	하고	[]
2	3	9	DG0002	17.726	17.946	있고요.	[]
2	3	10	DG0002	18.086	18.267	또	[3]
2	3	11	DG0002	18.607	19.148	조혼	[]
2	3	12	DG0002	19.829	20.25	조혼의	[]
2	3	13	DG0002	20.35	20.731	경향은	[]
2	3	14	DG0002	20.831	21.032	지금	[]
2	3	15	DG0002	21.753	21.993	특히	[]
2	3	16	DG0002	22.054	22.114	그	[]
2	3	17	DG0002	22.274	22.735	중동	[]
2	3	18	DG0002	22.915	23.456	지역에서	[]
2	3	19	DG0002	23.596	23.837	많이	[]
2	4	1	DG0002	24.277	25.661	있어서	[]
2	4	2	DG0002	26.824	26.944	예	[]
2	4	3	DG0002	27.044	27.205	지금	[]
2	4	4	DG0002	27.225	27.425	우리는	[]
2	4	5	DG0002	27.505	27.967	만혼이	[]
2	4	6	DG0002	27.987	28.007	문	[]
2	4	7	DG0002	28.047	28.388	그래서	[]
2	4	8	DG0002	28.628	28.989	급격한	[]
2	4	9	DG0002	29.07	29.27	사회	[]
2	4	10	DG0002	29.43	29.651	변화를	[]
2	4	11	DG0002	29.711	29.791	지금	[]
2	4	12	DG0002	29.932	31.797	말하고	[]
2	4	13	DG0002	31.837	31.937	있는데요.	[]
2	5	1	DG0002	31.939	32.76	열두	[]
2	5	2	DG0002	32.84	33.04	살	[]
2	5	3	DG0002	33.18	33.441	열한	[]
2	5	4	DG0002	33.541	33.781	살이	[]
2	5	5	DG0002	33.881	34.361	마흔	[]
2	5	6	DG0002	34.542	34.702	살	[]
2	5	7	DG0002	34.822	35.342	먹은	[]
2	5	8	DG0002	35.362	35.403	그	[]
2	5	9	DG0002	35.443	35.983	신랑하고	[]
2	5	10	DG0002	36.063	36.343	하는	[]
2	5	11	DG0002	36.844	37.585	재작년에	[]
2	5	12	DG0002	37.625	37.765	우리	[]
2	5	13	DG0002	37.825	38.586	유니세프가	[]
2	5	14	DG0002	38.726	39.086	그해	[]
2	5	15	DG0002	39.226	40.267	사진전에서	[]
2	6	1	DG0002	40.808	41.57	상을	[]
2	6	2	DG0002	41.63	41.93	준	[]
2	6	3	DG0002	41.95	41.971	그	[]
2	6	4	DG0002	42.051	42.492	사진이	[]
2	6	5	DG0002	42.852	43.053	아홉	[]
2	6	6	DG0002	43.073	43.093	살	[]
2	6	7	DG0002	43.374	43.574	나는	[]
2	6	8	DG0002	43.734	44.155	신부가	[]
2	6	9	DG0002	44.676	45.057	마흔세	[]
2	6	10	DG0002	45.177	45.558	살	[]
2	6	11	DG0002	46.14	46.24	나는	[]
2	6	12	DG0002	46.26	46.28	그	[]
2	6	13	DG0002	46.44	47.282	남편하고	[]
2	6	14	DG0002	47.422	47.603	결혼한	[]
2	6	15	DG0002	47.863	47.883	거	[]
2	7	1	DG0002	48.184	49.105	그런	[]
2	7	2	DG0002	49.206	49.306	게	[]
2	7	3	DG0002	49.346	49.626	아직도	[]
2	7	4	DG0002	49.646	49.967	엄연히	[]
2	7	5	DG0002	50.007	50.427	있는데	[]
2	7	6	DG0002	51.008	51.188	그	[]
2	7	7	DG0002	51.369	51.849	사회에서도	[]
2	7	8	DG0002	52.01	52.731	이혼은	[]
2	7	9	DG0002	52.751	52.771	또	[]
2	7	10	DG0002	53.051	53.272	허용이	[]
2	7	11	DG0002	53.392	53.552	되고	[]
2	7	12	DG0002	53.572	53.752	있는	[]
2	7	13	DG0002	53.772	53.792	것	[]
2	7	14	DG0002	53.832	54.093	같애요	[]
2	7	15	DG0002	54.113	54.313	그래서	[]
2	7	16	DG0002	54.694	54.894	요즘	[]
2	7	17	DG0002	54.994	55.074	그	[]
2	7	18	DG0002	55.194	55.755	조혼하는	[]
2	7	19	DG0002	56.236	56.817	어린이들이	[]
2	7	20	DG0002	56.837	57.217	이혼을	[]
2	7	21	DG0002	57.318	58.66	많이	[]
2	7	22	DG0002	58.68	58.74	그	[]
2	7	23	DG0002	58.94	59.801	제기해서	[]
2	8	1	DG0002	60.242	60.903	하고	[]
2	8	2	DG0002	60.923	61.163	있고	[]
2	8	3	DG0002	61.183	61.623	그다음에	[]
2	8	4	DG0002	62.204	62.444	얼마	[]
2	8	5	DG0002	62.544	62.745	전에	[]
2	8	6	DG0002	62.765	62.825	그	[]
2	8	7	DG0002	62.865	63.625	예멘에서는	[]
2	8	8	DG0002	63.906	64.046	결혼	[]
2	8	9	DG0002	64.126	64.386	연령을	[]
2	8	10	DG0002	64.486	64.707	십칠	[]
2	8	11	DG0002	64.867	65.988	세로	[]
2	8	12	DG0002	66.468	66.649	올리는	[]
2	8	13	DG0002	66.669	66.829	이런	[]
