uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	0.96	@이름2	[]
1	1	2	DG0001	1.161	1.601	씨한테	[]
1	1	3	DG0001	1.681	1.962	제가	[]
1	1	4	DG0001	1.982	2.002	음	[]
1	1	5	DG0001	5.505	5.846	기타	[]
1	1	6	DG0001	5.886	6.226	하나로	[]
1	1	7	DG0001	6.366	6.706	자신을	[]
1	1	8	DG0001	6.827	7.307	표현하고	[]
1	1	9	DG0001	7.808	8.228	대중과	[]
1	1	10	DG0001	8.268	8.669	소통하는	[]
1	1	11	DG0001	8.749	9.049	방법을	[]
1	1	12	DG0001	9.169	9.549	깨닫길	[]
1	1	13	DG0001	9.65	11.071	바란다라고	[]
1	1	14	DG0001	11.091	11.391	했다고	[]
1	1	15	DG0001	11.431	12.012	하네요.	[]
1	2	1	DG0001	12.012	12.874	죄송합니다	[]
1	2	2	DG0001	13.416	13.998	죄송합니다	[]
1	2	3	DG0001	14.218	14.519	느	[]
1	2	4	DG0001	14.84	15.041	저를	[]
1	2	5	DG0001	15.803	15.863	아	[]
1	2	6	DG0001	16.043	16.525	그때하고	[]
1	2	7	DG0001	16.625	16.926	지금하고	[]
1	2	8	DG0001	17.006	17.167	뭐가	[]
1	2	9	DG0001	17.227	17.608	달	[]
1	2	10	DG0001	17.688	17.929	본인이	[]
1	2	11	DG0001	18.009	18.19	다른	[]
1	2	12	DG0001	18.21	18.29	거	[]
1	2	13	DG0001	18.33	19.052	느껴져요?	[]
2	3	1	DG0002	19.086	19.547	어	[]
2	3	2	DG0002	19.767	20.268	확실히	[]
2	3	3	DG0002	20.969	21.21	여러	[]
2	3	4	DG0002	21.39	22.051	면모에서	[1]
2	3	5	DG0002	22.812	23.113	어렸을	[]
2	3	6	DG0002	23.173	23.614	때보다는	[]
2	3	7	DG0002	23.774	24.115	성장을	[]
2	3	8	DG0002	24.175	24.335	많이	[]
2	3	9	DG0002	24.395	24.756	했다는	[]
2	3	10	DG0002	24.936	25.257	걸	[]
2	3	11	DG0002	25.657	25.978	느끼고	[]
2	3	12	DG0002	26.018	26.238	있기는	[]
2	3	13	DG0002	26.379	26.579	합니다.	[]
3	4	1	DG0001	26.579	27.58	음	[]
3	4	2	DG0001	28.56	28.92	그	[]
3	4	3	DG0001	29.521	29.961	@전화번호2	[]
3	4	4	DG0001	30.021	30.481	님께서	[]
3	4	5	DG0001	30.781	31.322	연주곡으로	[]
3	4	6	DG0001	31.402	31.682	듣는	[]
3	4	7	DG0001	31.802	32.122	먼지가	[]
3	4	8	DG0001	32.182	32.502	되어랑	[]
3	4	9	DG0001	32.662	32.883	노래	[]
3	4	10	DG0001	32.943	33.283	반주로	[]
3	4	11	DG0001	33.303	33.403	하는	[]
3	4	12	DG0001	33.483	33.643	기타	[]
3	4	13	DG0001	33.803	34.003	연주랑	[]
3	4	14	DG0001	34.183	34.343	많이	[]
3	4	15	DG0001	34.383	34.543	다른	[]
3	4	16	DG0001	34.583	34.624	거	[]
3	4	17	DG0001	34.664	35.104	같아요.	[]
3	4	18	DG0001	35.724	36.064	기타의	[]
3	4	19	DG0001	36.124	36.545	목소리도	[]
3	4	20	DG0001	36.585	36.705	들어	[]
3	4	21	DG0001	36.805	36.885	있는	[]
3	4	22	DG0001	36.905	37.485	듯합니다.	[]
3	4	23	DG0001	38.045	38.446	당연하죠.	[]
3	4	24	DG0001	38.526	39.066	그렇죠.	[2]
3	5	1	DG0001	39.446	40.029	멜로디	[]
3	5	2	DG0001	40.11	40.351	노래도	[]
3	5	3	DG0001	40.371	40.753	같이하는	[]
3	5	4	DG0001	40.794	41.176	거잖아요?	[]
3	6	1	DG0001	41.78	42.161	그리고	[]
3	6	2	DG0001	42.281	42.682	맥스데몬	[]
3	6	3	DG0001	42.783	43.224	님께서	[]
3	6	4	DG0001	44.026	44.527	@이름2	[]
3	6	5	DG0001	44.547	44.567	님	[]
3	6	6	DG0001	44.948	45.068	어릴	[]
3	6	7	DG0001	45.148	45.449	적부터	[]
3	6	8	DG0001	45.509	45.71	기타	[]
3	6	9	DG0001	45.73	46.011	연주하는	[]
3	6	10	DG0001	46.031	46.331	동영상	[]
3	6	11	DG0001	46.392	46.893	보았는데	[]
3	6	12	DG0001	47.434	47.815	벌써	[]
3	6	13	DG0001	47.915	48.276	국방의	[]
3	6	14	DG0001	48.337	48.537	의무를	[]
3	6	15	DG0001	48.597	48.998	됐다니요	[]
3	6	16	DG0001	49.078	49.419	세월	[]
3	6	17	DG0001	49.459	49.54	참	[]
3	6	18	DG0001	49.66	50.502	빠르네요.	[]
4	7	1	DG0002	50.503	50.725	많은	[]
4	7	2	DG0002	50.805	51.087	분들이	[]
4	7	3	DG0002	51.127	51.289	그런	[]
4	7	4	DG0002	51.349	51.611	말씀을	[]
4	7	5	DG0002	51.671	52.215	하십니다.	[]
5	8	1	DG0001	52.215	52.576	실례가	[]
5	8	2	DG0001	52.596	52.616	안	[]
5	8	3	DG0001	52.677	53.038	된다면	[]
5	8	4	DG0001	53.098	53.299	올해	[]
5	8	5	DG0001	53.359	53.419	몇	[]
5	8	6	DG0001	53.519	54.021	살이에요?	[]
6	9	1	DG0002	54.1	54.684	스물여섯	[]
6	9	2	DG0002	54.785	55.268	살입니다	[]
6	9	3	DG0002	55.49	55.812	구십육	[]
6	9	4	DG0002	55.893	56.094	년생	[]
7	10	1	DG0001	56.477	58.101	와.	[]
7	10	2	DG0001	58.121	59.003	빠르네요.	[]
7	10	3	DG0001	59.243	59.444	시간.	[]
7	10	4	DG0001	59.504	59.704	그쵸.	[]
7	10	5	DG0001	60.406	60.787	@전화번호3	[]
7	10	6	DG0001	60.887	61.388	님께서는	[]
7	10	7	DG0001	61.91	62.23	기타를	[]
7	10	8	DG0001	62.31	62.431	처음	[]
