uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.435	2.458	추다르크라는	[]
1	1	2	AH0001	2.658	4.42	별명으로	[]
1	1	3	AH0001	4.44	5.141	유명하신	[]
1	1	4	AH0001	5.161	6.082	분이죠	[]
1	1	5	AH0001	6.222	7.624	여성	[]
1	1	6	AH0001	7.684	8.285	최초로	[]
1	1	7	AH0001	8.525	8.886	지역구	[]
1	1	8	AH0001	8.946	9.066	오선	[]
1	1	9	AH0001	9.086	9.286	고지에	[]
1	1	10	AH0001	9.306	9.406	올랐고	[]
1	1	11	AH0001	9.487	9.807	집권여당	[]
1	1	12	AH0001	9.927	10.348	대표로도	[]
1	1	13	AH0001	10.448	10.688	최초	[]
1	1	14	AH0001	10.708	11.329	여성	[]
1	1	15	AH0001	11.409	11.809	대표라고	[]
1	1	16	AH0001	11.93	12.05	합니다	[]
1	1	17	AH0001	12.15	12.29	이밖에도	[]
1	1	18	AH0001	12.31	12.55	최초	[]
1	1	19	AH0001	12.691	14.012	수식어를	[]
1	1	20	AH0001	14.032	14.172	참	[]
1	1	21	AH0001	14.213	14.313	많이	[]
1	1	22	AH0001	14.373	14.433	가지고	[]
1	1	23	AH0001	14.453	14.493	계신	[]
1	1	24	AH0001	14.513	14.593	분이에요.	[]
1	2	1	AH0001	14.594	15.075	정치	[]
1	2	2	AH0001	15.275	15.576	역정	[]
1	2	3	AH0001	15.636	15.996	이십이	[]
1	2	4	AH0001	16.096	16.217	년	[]
1	2	5	AH0001	16.457	16.637	되돌아보고	[]
1	2	6	AH0001	16.697	16.757	각종	[]
1	2	7	AH0001	16.838	17.178	정국	[]
1	2	8	AH0001	17.499	17.999	현안에	[]
1	2	9	AH0001	18.019	18.881	대해서도	[]
1	2	10	AH0001	18.921	19.101	이야기를	[]
1	2	11	AH0001	19.181	19.562	듣도록	[]
1	2	12	AH0001	19.742	20.664	하겠습니다	[]
1	2	13	AH0001	20.684	20.824	어서	[]
1	2	14	AH0001	20.864	21.505	오십시오.	[]
2	3	1	AH0002	21.503	22.86	안녕하세요.	[1]
3	4	1	AH0001	22.86	23.705	최초가	[]
3	4	2	AH0001	23.725	23.946	여러	[]
3	4	3	AH0001	23.966	24.047	개	[]
3	4	4	AH0001	24.067	24.791	있더라고요.	[]
3	5	1	AH0001	26.688	27.329	이	[]
3	5	2	AH0001	27.509	27.85	판사	[]
3	5	3	AH0001	28.03	28.571	출신	[]
3	5	4	AH0001	28.851	29.232	여성	[]
3	5	5	AH0001	29.613	30.534	정치인.	[]
4	6	1	AH0002	30.535	30.555	네.	[]
5	7	1	AH0001	31.59	33.447	야당에서는	[]
5	7	2	AH0001	33.589	33.75	처음.	[]
6	8	1	AH0002	34.073	34.757	네	[]
6	8	2	AH0002	35.179	35.199	네.	[]
