uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.845	1.287	그래야지	[]
1	1	2	AH0001	1.327	1.648	이제	[]
1	1	3	AH0001	1.748	2.23	@이름9	[]
1	1	4	AH0001	2.331	2.431	님.	[]
1	1	5	AH0001	2.812	3.274	싫어증에는	[]
1	1	6	AH0001	3.354	4.198	적금통장이	[]
1	1	7	AH0001	4.298	4.84	최고예요.	[]
1	2	1	AH0001	4.84	5.022	보고	[]
1	2	2	AH0001	5.042	5.244	있으면	[]
1	2	3	AH0001	5.365	6.214	뿌듯하거든요.	[]
2	3	1	AH0002	8.084	8.833	뿌듯하시겠어요.	[]
2	4	1	AH0002	8.833	8.913	근데	[1]
2	4	2	AH0002	8.973	9.314	저는	[]
2	4	3	AH0002	9.736	10.297	적금통장이	[]
2	4	4	AH0002	10.357	10.718	없어서.	[]
3	5	1	AH0001	11.114	11.298	어.	[]
3	5	2	AH0001	11.42	11.93	없으세요?	[]
4	6	1	AH0002	11.81	11.972	하나	[]
4	6	2	AH0002	12.033	12.865	만들어야겠네요.	[]
5	7	1	AH0001	12.873	13.414	음.	[]
5	7	2	AH0001	13.834	13.935	아니	[]
5	7	3	AH0001	14.015	14.095	근데	[]
5	7	4	AH0001	14.375	14.656	어떤	[]
5	7	5	AH0001	14.736	15.036	분들은	[]
5	7	6	AH0001	15.056	15.076	이	[]
5	7	7	AH0001	15.197	15.377	사람	[]
5	7	8	AH0001	15.457	15.617	선호에	[]
5	7	9	AH0001	15.717	15.797	따라	[]
5	7	10	AH0001	15.817	16.178	다른데	[]
5	7	11	AH0001	16.298	16.499	이렇게	[]
5	7	12	AH0001	16.859	17.32	저축을	[]
5	7	13	AH0001	17.34	17.821	하면서	[]
5	7	14	AH0001	17.981	18.281	목돈	[]
5	7	15	AH0001	18.381	18.602	모이는	[]
5	7	16	AH0001	18.662	18.722	게	[]
5	7	17	AH0001	18.842	19.103	뿌듯한	[]
5	7	18	AH0001	19.183	19.263	분이	[]
5	7	19	AH0001	19.303	19.543	있고.	[2]
5	7	20	AH0001	20.565	20.965	마이너스	[]
5	7	21	AH0001	20.985	21.246	통장을	[]
5	7	22	AH0001	21.326	21.546	보면서	[]
5	7	23	AH0001	21.646	22.548	초조해져야지	[]
5	7	24	AH0001	22.588	22.608	그	[]
5	7	25	AH0001	22.708	22.828	뭔가	[]
5	7	26	AH0001	23.008	23.209	움직이는	[]
5	7	27	AH0001	23.229	23.249	분.	[]
6	8	1	AH0002	23.549	24.018	마이너스	[]
6	8	2	AH0002	24.16	24.384	통장.	[]
7	9	1	AH0001	25.402	25.622	있을	[]
7	9	2	AH0001	25.682	25.723	것	[]
7	9	3	AH0001	25.763	26.203	같은데.	[]
7	9	4	AH0001	27.045	27.125	아	[]
7	9	5	AH0001	27.325	27.546	어느	[]
7	9	6	AH0001	27.646	27.786	쪽이	[]
7	9	7	AH0001	27.806	28.026	됐든	[]
7	9	8	AH0001	28.107	28.367	간에	[3]
7	9	9	AH0001	28.547	28.928	에	[]
7	9	10	AH0001	29.048	29.168	참	[]
7	9	11	AH0001	29.228	30.29	안타까우면서도	[]
7	9	12	AH0001	30.911	31.212	우스운	[]
7	9	13	AH0001	31.272	31.973	얘기입니다만	[4]
7	9	14	AH0001	32.113	32.874	그	[]
7	9	15	AH0001	32.894	32.955	어	[]
7	9	16	AH0001	33.235	33.776	통장잔고의	[]
7	9	17	AH0001	34.076	34.217	숫자를	[]
7	9	18	AH0001	34.277	34.637	보면서	[5]
7	9	19	AH0001	34.738	35.238	우리가	[]
7	9	20	AH0001	35.419	35.559	우리를	[]
7	9	21	AH0001	35.619	36.06	움직이게	[]
7	9	22	AH0001	36.14	36.26	되는	[]
7	9	23	AH0001	36.34	36.541	경우도	[]
7	9	24	AH0001	36.621	36.801	많은	[]
7	9	25	AH0001	36.861	36.921	것	[]
7	9	26	AH0001	36.961	37.402	같애요.	[]
8	10	1	AH0002	37.538	37.579	뭐	[]
8	10	2	AH0002	37.62	37.681	어쩔	[]
8	10	3	AH0002	37.804	37.865	수	[]
8	10	4	AH0002	37.967	38.356	없죠.	[]
8	11	1	AH0002	38.686	38.906	이제	[]
8	11	2	AH0002	39.046	39.106	그	[]
8	11	3	AH0002	39.266	39.927	우리	[]
8	11	4	AH0002	40.687	41.288	사회에서	[6]
8	11	5	AH0002	41.488	42.008	살아가기	[]
8	11	6	AH0002	42.048	42.389	위해서	[]
8	11	7	AH0002	43.169	43.349	꼭	[]
8	11	8	AH0002	43.369	43.649	필요한	[]
8	11	9	AH0002	43.91	44.01	게	[7]
8	11	10	AH0002	44.13	44.83	돈이니까	[]
8	11	11	AH0002	44.99	45.271	그건	[8]
8	11	12	AH0002	45.331	45.591	어쩔	[]
8	11	13	AH0002	45.671	45.711	수	[]
8	11	14	AH0002	45.751	45.931	없는	[]
8	11	15	AH0002	45.991	46.331	것이고.	[9]
8	11	16	AH0002	47.132	47.352	당연히	[]
8	11	17	AH0002	47.412	47.492	돈	[]
8	11	18	AH0002	47.552	47.772	많으면서	[]
8	11	19	AH0002	47.992	48.333	활기가	[]
8	11	20	AH0002	48.413	48.733	차죠.	[]
8	12	1	AH0002	48.798	48.838	근데	[]
8	12	2	AH0002	48.998	49.198	그거는	[]
8	12	3	AH0002	49.218	49.238	의	[]
8	12	4	AH0002	49.719	49.819	내	[]
8	12	5	AH0002	49.879	50.099	의지로	[]
8	12	6	AH0002	50.159	50.319	되는	[]
8	12	7	AH0002	50.359	50.399	게	[]
8	12	8	AH0002	50.419	51.02	아니니까	[]
8	12	9	AH0002	51.04	51.06	또.	[10]
8	12	10	AH0002	51.86	52.0	내가	[]
8	12	11	AH0002	52.1	52.601	무기력을	[]
8	12	12	AH0002	52.681	53.181	극복하기	[]
8	12	13	AH0002	53.201	53.361	위해서	[]
8	12	14	AH0002	53.441	53.621	돈이	[]
8	12	15	AH0002	53.681	54.442	많아야겠다라고	[]
8	12	16	AH0002	54.482	54.602	해서	[]
8	12	17	AH0002	54.682	54.842	누가	[]
8	12	18	AH0002	55.062	55.182	돈을	[]
8	12	19	AH0002	55.282	55.483	주지는	[]
8	12	20	AH0002	55.523	56.083	않잖아요.	[]
9	13	1	AH0001	56.429	56.862	맞아요.	[]
10	14	1	AH0002	57.002	58.287	이렇게	[]
10	14	2	AH0002	58.347	58.548	적은	[]
10	14	3	AH0002	58.628	59.17	금액이나마	[]
10	14	4	AH0002	59.21	59.873	적금통장을	[]
10	14	5	AH0002	59.953	60.355	시도하는	[]
10	14	6	AH0002	60.435	60.576	거	[]
10	14	7	AH0002	60.676	60.977	굉장히	[]
10	14	8	AH0002	61.038	61.238	좋은	[]
10	14	9	AH0002	61.299	61.539	시도인	[]
10	14	10	AH0002	61.58	61.62	거	[]
10	14	11	AH0002	61.64	61.941	같애요.	[]
10	15	1	AH0002	61.941	62.001	글서	[11]
10	15	2	AH0002	62.061	62.242	저와	[]
10	15	3	AH0002	62.282	62.482	같은	[]
10	15	4	AH0002	62.543	62.904	경우는	[]
10	15	5	AH0002	63.425	63.946	적금통장	[]
10	15	6	AH0002	64.067	64.408	말고	[]
10	15	7	AH0002	64.989	65.15	아주	[]
10	15	8	AH0002	65.27	65.611	작은	[12]
10	15	9	AH0002	66.333	66.834	소소한	[]
10	15	10	AH0002	67.636	68.058	성취를	[]
10	15	11	AH0002	68.158	68.338	많이	[]
10	15	12	AH0002	68.398	68.659	할려고	[]
10	15	13	AH0002	68.699	68.98	해요.	[]
10	16	1	AH0002	68.98	69.16	예를	[13]
10	16	2	AH0002	69.24	69.501	들면	[]
10	16	3	AH0002	70.082	71.103	턱걸이라든지	[14]
10	16	4	AH0002	71.624	71.965	아니면	[]
10	16	5	AH0002	72.145	72.385	계단	[]
10	16	6	AH0002	72.445	73.327	오르기라든지	[15]
10	16	7	AH0002	73.727	73.988	오늘은	[]
10	16	8	AH0002	74.088	74.509	계단을	[]
10	16	9	AH0002	74.689	74.929	오르기	[]
10	16	10	AH0002	74.969	75.049	할	[]
10	16	11	AH0002	75.15	75.23	때	[]
10	16	12	AH0002	75.33	75.39	몇	[]
10	16	13	AH0002	75.51	75.67	분이	[]
10	16	14	AH0002	75.711	76.131	걸렸다	[]
10	16	15	AH0002	76.151	76.171	뭐	[]
10	16	16	AH0002	76.311	76.432	이런.	[16]
10	17	1	AH0002	77.097	77.257	아주	[]
10	17	2	AH0002	77.297	77.397	그냥	[]
10	17	3	AH0002	77.478	77.578	돈	[]
10	17	4	AH0002	77.698	77.738	안	[]
10	17	5	AH0002	77.778	77.978	들고	[]
10	17	6	AH0002	78.058	78.379	사소한	[]
10	17	7	AH0002	78.459	78.979	걸로다가	[17]
10	17	8	AH0002	79.7	80.101	건강에도	[]
10	17	9	AH0002	80.181	80.361	도움이	[]
10	17	10	AH0002	80.401	80.922	되니까	[18]
10	17	11	AH0002	81.082	81.323	저는	[]
10	17	12	AH0002	81.583	81.743	저는	[]
10	17	13	AH0002	81.963	82.164	보통	[]
10	17	14	AH0002	82.204	82.364	그런	[]
10	17	15	AH0002	82.424	82.564	걸로	[]
10	17	16	AH0002	82.644	82.724	좀	[]
10	17	17	AH0002	82.785	83.125	뿌듯해요.	[]
10	18	1	AH0002	83.205	83.409	적금	[]
10	18	2	AH0002	83.449	83.653	통장	[]
10	18	3	AH0002	83.673	83.795	하나	[]
10	18	4	AH0002	83.836	84.447	만들어야겠어요.	[]
11	19	1	AH0001	84.445	84.666	뭐	[]
11	19	2	AH0001	84.787	84.928	만	[]
11	19	3	AH0001	85.008	85.149	보를	[]
11	19	4	AH0001	85.209	85.732	채운다거나	[]
11	19	5	AH0001	85.752	85.873	이런	[]
11	19	6	AH0001	85.993	86.576	것들	[19]
11	19	7	AH0001	86.737	86.777	잘	[]
11	19	8	AH0001	86.817	86.858	할	[]
11	19	9	AH0001	86.918	86.958	수	[]
11	19	10	AH0001	86.998	87.863	있겠죠.	[20]
12	20	1	AH0002	88.18	88.2	한	[]
12	20	2	AH0002	88.441	88.542	때	[]
12	20	3	AH0002	88.602	88.623	막	[]
12	20	4	AH0002	88.824	88.944	그런	[]
12	20	5	AH0002	88.964	88.985	거	[]
12	20	6	AH0002	89.025	89.769	유행했잖아요.	[]
12	21	1	AH0002	89.769	89.991	이제	[]
12	21	2	AH0002	90.375	90.516	그	[]
12	21	3	AH0002	90.738	90.96	뭐죠?	[]
12	21	4	AH0002	91.364	91.485	이게.	[]
13	22	1	AH0001	91.525	91.688	아	[]
13	22	2	AH0001	91.83	92.236	스마트워치.	[]
14	23	1	AH0002	92.515	92.575	어	[]
14	23	2	AH0002	92.796	93.458	스마트워치나	[21]
14	23	3	AH0002	93.478	93.498	뭐	[]
14	23	4	AH0002	93.618	93.739	그런	[]
14	23	5	AH0002	93.799	94.039	걸로다가	[]
14	23	6	AH0002	94.06	94.26	이제	[]
14	23	7	AH0002	94.802	95.363	스마트폰이나	[]
14	23	8	AH0002	95.403	95.925	연동해가지고	[22]
14	23	9	AH0002	96.025	96.406	운동량	[]
14	23	10	AH0002	96.487	96.928	체크하는	[23]
14	23	11	AH0002	97.008	97.028	거.	[]
14	24	1	AH0002	97.463	97.563	저도	[]
14	24	2	AH0002	97.583	97.603	한	[]
14	24	3	AH0002	97.624	97.664	번	[]
14	24	4	AH0002	97.744	98.186	해봤는데	[24]
14	24	5	AH0002	99.57	99.892	정말	[]
14	24	6	AH0002	99.972	100.253	안	[]
14	24	7	AH0002	100.313	100.554	움직이더군요.	[]
14	25	1	AH0002	102.25	102.59	그	[]
14	25	2	AH0002	103.231	103.432	주말	[]
14	25	3	AH0002	103.472	103.672	같은	[]
14	25	4	AH0002	103.752	103.993	때는	[25]
14	25	5	AH0002	104.493	104.593	막	[]
14	25	6	AH0002	105.074	105.294	오백	[]
14	25	7	AH0002	105.415	105.475	보	[]
14	25	8	AH0002	105.575	106.156	미만	[]
14	25	9	AH0002	106.176	106.576	움직이고	[]
14	25	10	AH0002	106.636	106.757	그래요.	[]
15	26	1	AH0001	107.077	107.278	제가	[]
15	26	2	AH0001	107.359	107.581	정말	[]
15	26	3	AH0001	107.661	108.105	식물성이란	[]
15	26	4	AH0001	108.266	108.326	걸	[]
15	26	5	AH0001	108.387	109.132	깨달았습니다.	[]
15	27	1	AH0001	110.187	110.429	정말	[]
15	27	2	AH0001	110.53	110.892	사람이	[]
15	27	3	AH0001	111.033	111.779	식물성이에요.	[]
16	28	1	AH0002	111.895	111.935	네.	[]
16	28	2	AH0002	112.4	112.722	@이름9	[]
16	28	3	AH0002	112.763	112.985	님께	[]
16	28	4	AH0002	113.045	113.348	선물	[]
16	28	5	AH0002	113.51	113.671	하나	[]
16	28	6	AH0002	113.772	114.115	드리겠습니다.	[]
17	29	1	AH0001	114.16	114.425	어떤	[]
17	29	2	AH0001	114.445	114.466	것	[]
17	29	3	AH0001	114.527	114.894	드리겠습니까?	[]
18	30	1	AH0002	115.652	116.053	유기농	[]
18	30	2	AH0002	116.154	116.415	착한	[]
18	30	3	AH0002	116.475	116.736	성분	[]
18	30	4	AH0002	116.776	117.318	이노랩에서	[]
18	30	5	AH0002	117.378	117.639	알로에	[]
18	30	6	AH0002	117.719	117.9	스킨	[]
18	30	7	AH0002	117.98	118.221	수딩	[]
18	30	8	AH0002	118.221	119.224	겔.	[26]
19	31	1	AH0001	119.372	119.955	식물성이네요	[]
19	31	2	AH0001	120.075	120.096	네.	[27]
19	32	1	AH0001	120.378	120.758	자	[]
19	32	2	AH0001	120.798	121.079	@이름10	[]
19	32	3	AH0001	121.119	121.479	님께서	[]
19	32	4	AH0001	121.639	121.759	저는	[]
19	32	5	AH0001	121.879	122.32	무기력증이	[]
19	32	6	AH0001	122.38	122.58	생길	[]
19	32	7	AH0001	122.68	122.941	때마다	[]
19	32	8	AH0001	123.081	123.541	근교로	[]
19	32	9	AH0001	123.661	124.082	드라이브를	[]
19	32	10	AH0001	124.162	124.502	떠나거나	[]
19	32	11	AH0001	124.602	124.902	여행을	[]
19	32	12	AH0001	124.963	125.443	떠납니다.	[]
19	33	1	AH0001	125.938	126.138	하루	[]
19	33	2	AH0001	126.179	126.399	정도	[]
19	33	3	AH0001	126.499	126.74	아무	[]
19	33	4	AH0001	126.8	127.181	생각없이	[]
19	33	5	AH0001	127.261	127.461	여행을	[]
19	33	6	AH0001	127.541	127.802	즐기다	[]
19	33	7	AH0001	127.862	128.083	오면	[]
19	33	8	AH0001	128.343	128.884	무기력했던	[]
19	33	9	AH0001	128.964	129.205	마음에	[]
19	33	10	AH0001	129.305	129.606	활기가	[]
19	33	11	AH0001	129.666	130.207	차더라구요.	[]
19	34	1	AH0001	130.207	130.83	대신	[28]
19	34	2	AH0001	130.89	131.071	너무	[]
19	34	3	AH0001	131.152	131.433	피곤한	[]
19	34	4	AH0001	131.453	131.735	여행	[]
19	34	5	AH0001	131.755	131.895	일정은	[]
19	34	6	AH0001	132.096	132.237	노노.	[29]
19	35	1	AH0001	132.942	133.303	여유롭게	[]
19	35	2	AH0001	133.384	133.725	맛난	[]
19	35	3	AH0001	133.785	133.846	거	[]
19	35	4	AH0001	133.926	134.127	먹으며	[]
19	35	5	AH0001	134.227	134.368	시	[]
19	35	6	AH0001	134.468	134.709	시간을	[]
19	35	7	AH0001	134.769	134.89	보내다	[]
19	35	8	AH0001	135.01	135.432	옵니다.	[]
20	36	1	AH0002	136.002	136.664	부러워요.	[]
21	37	1	AH0001	136.998	137.24	사실	[]
21	37	2	AH0001	137.321	137.422	좀	[]
21	37	3	AH0001	137.462	137.745	여유가	[]
21	37	4	AH0001	137.765	138.068	있다면	[]
21	37	5	AH0001	138.129	138.29	이거	[]
21	37	6	AH0001	138.33	138.452	아주	[30]
21	37	7	AH0001	138.472	139.037	괜찮죠.	[]
22	38	1	AH0002	139.776	139.976	저희	[]
22	38	2	AH0002	140.478	140.658	솔직히	[]
22	38	3	AH0002	140.718	140.879	저는	[]
22	38	4	AH0002	140.899	141.079	이제	[]
22	38	5	AH0002	141.139	141.46	일산에	[]
22	38	6	AH0002	141.52	142.082	사니까.	[31]
22	38	7	AH0002	142.102	142.142	이	[]
22	38	8	AH0002	142.723	143.044	굉장히	[]
22	38	9	AH0002	143.144	143.345	좋은	[]
22	38	10	AH0002	143.405	144.207	조건이거든요.	[]
22	39	1	AH0002	144.352	144.532	이제	[]
22	39	2	AH0002	145.294	145.975	놀러다니기.	[32]
22	39	3	AH0002	146.476	146.977	서울처럼	[]
22	39	4	AH0002	147.117	147.197	뭐	[]
22	39	5	AH0002	147.278	147.598	나가고	[]
22	39	6	AH0002	147.658	147.839	들어올	[]
22	39	7	AH0002	147.899	147.959	때	[]
22	39	8	AH0002	148.019	148.199	차가	[]
22	39	9	AH0002	148.259	148.42	많이	[]
22	39	10	AH0002	148.46	148.901	막히지도	[33]
22	39	11	AH0002	148.941	149.341	않고	[]
22	39	12	AH0002	149.902	149.923	그	[]
22	39	13	AH0002	150.143	150.263	이	[]
22	39	14	AH0002	150.423	150.985	근교까지	[]
22	39	15	AH0002	151.045	151.365	가기도	[]
22	39	16	AH0002	151.425	151.666	쉽고.	[]
23	40	1	AH0001	151.796	152.02	이미	[]
23	40	2	AH0001	152.142	152.386	약간	[]
23	40	3	AH0001	152.406	152.671	나와있기	[]
23	40	4	AH0001	152.732	152.935	때문에.	[]
24	41	1	AH0002	153.052	153.293	이미	[34]
24	41	2	AH0002	153.353	153.735	여기가	[]
24	41	3	AH0002	154.057	154.418	근교기	[35]
24	41	4	AH0002	154.559	154.901	때문에	[]
24	41	5	AH0002	154.921	155.524	뭐	[]
24	41	6	AH0002	155.604	156.126	파주니	[36]
24	41	7	AH0002	156.388	156.589	뭐	[]
24	41	8	AH0002	156.669	157.151	의정부니	[37]
24	42	1	AH0002	157.837	158.239	김포니	[]
24	42	2	AH0002	158.299	158.661	인천이니	[38]
24	42	3	AH0002	158.781	158.861	다	[]
24	42	4	AH0002	158.942	159.203	가까운	[]
24	42	5	AH0002	159.323	159.404	데	[]
24	42	6	AH0002	159.785	160.046	막상	[]
24	42	7	AH0002	160.127	161.593	못가겠어요.	[]
24	43	1	AH0002	162.072	162.393	저는	[]
24	43	2	AH0002	162.413	162.634	이제	[]
24	43	3	AH0002	162.815	163.237	육체적인	[]
24	43	4	AH0002	163.337	163.538	피로를	[]
24	43	5	AH0002	163.639	163.9	굉장히	[]
24	43	6	AH0002	163.96	164.121	빨리	[]
24	43	7	AH0002	164.161	164.462	느껴서.	[]
25	44	1	AH0001	164.777	164.937	아니	[]
25	44	2	AH0001	165.058	165.319	잠깐만	[]
25	44	3	AH0001	165.339	165.6	아까	[]
25	44	4	AH0001	165.66	166.081	턱걸이도	[]
25	44	5	AH0001	166.121	166.402	하시고	[]
25	44	6	AH0001	166.502	166.843	계단도	[]
25	44	7	AH0001	166.884	167.465	오르내리시는	[]
25	44	8	AH0001	167.586	167.626	분이.	[]
26	45	1	AH0002	168.411	169.063	단시간하는	[]
26	45	2	AH0002	169.104	169.511	거잖아요.	[]
26	46	1	AH0002	169.61	170.235	근데	[39]
26	46	2	AH0002	170.255	170.658	자동차	[]
26	46	3	AH0002	170.719	171.203	운전이	[]
26	46	4	AH0002	171.283	171.525	저한테	[]
26	46	5	AH0002	171.606	171.807	너무	[]
26	46	6	AH0002	171.828	171.868	안	[]
26	46	7	AH0002	171.949	172.251	맞아요.	[]
27	47	1	AH0001	172.52	172.701	적어	[]
27	47	2	AH0001	172.782	172.963	적어도	[]
27	47	3	AH0001	173.043	173.405	식물성	[]
27	47	4	AH0001	173.445	173.747	인간에게	[]
27	47	5	AH0001	173.807	174.19	어울리는	[]
27	47	6	AH0001	174.733	174.954	운동이	[]
27	47	7	AH0001	175.034	175.296	아닐까.	[]
28	48	1	AH0002	176.376	176.88	운전하면	[]
28	48	2	AH0002	177.143	177.405	뻗어요	[]
28	48	3	AH0002	177.607	178.051	힘들어서.	[]
29	49	1	AH0001	178.087	178.107	아	[]
29	49	2	AH0001	178.167	178.288	저는	[]
29	49	3	AH0001	178.368	178.568	최근에	[]
29	49	4	AH0001	178.649	178.889	운전을	[]
