bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	11.786	12.686	CONTINUER	예예.	[2]	[3]	[10]
2	AH0001	17.546	17.811	CONTINUER	음.	[2]	[3]	[16]
3	AH0001	32.138	32.488	CONTINUER	네.	[2]	[7]	[4]
4	AH0001	73.678	74.073	CONTINUER	예.	[4]	[15]	[4]
5	AH0001	80.453	80.833	AFFIRMATIVE	그렇죠.	[4]	[15]	[22]
6	AH0001	89.849	90.874	AFFIRMATIVE	그렇죠.	[4]	[17]	[5]
7	AH0001	94.065	94.35	CONTINUER	음.	[4]	[18]	[6]
8	AH0001	95.995	96.275	CONTINUER	네.	[4]	[18]	[10]
9	AH0001	111.428	112.133	UNDERSTANDING	네.	[4]	[21]	[6]
10	AH0001	133.127	133.627	CONTINUER	네.	[6]	[26]	[4]
11	AH0001	141.147	142.342	UNDERSTANDING	아.	[6]	[27]	[7]
