uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.625	1.085	영화와	[]
1	1	2	AH0001	1.245	1.426	책을	[]
1	1	3	AH0001	1.526	1.646	통해	[]
1	1	4	AH0001	1.706	1.866	법을	[]
1	1	5	AH0001	1.946	2.326	만나는	[]
1	1	6	AH0001	2.526	2.927	영화로	[]
1	1	7	AH0001	3.107	3.387	토크	[]
1	1	8	AH0001	3.667	4.388	건너가겠습니다	[]
1	1	9	AH0001	4.588	4.928	@이름566	[]
1	1	10	AH0001	4.988	5.369	@이름566이	[]
1	1	11	AH0001	5.469	5.769	부릅니다	[]
1	1	12	AH0001	6.089	6.309	그건	[]
1	1	13	AH0001	6.329	6.489	니	[]
1	1	14	AH0001	6.63	7.11	생각이고	[]
1	2	1	AH0001	7.771	8.475	영화만큼	[]
1	2	2	AH0001	8.636	9.079	재밌게	[]
1	2	3	AH0001	9.421	10.105	법률만큼	[]
1	2	4	AH0001	10.206	10.548	명쾌하게	[]
2	3	1	AH0002	10.89	11.534	@이름1에	[]
2	3	2	AH0002	11.735	12.117	영화로	[]
2	3	3	AH0002	12.278	12.519	토크	[]
3	4	1	AH0001	12.658	13.079	네	[]
3	4	2	AH0001	13.199	13.42	아까	[]
3	4	3	AH0001	13.46	13.54	제가	[]
3	4	4	AH0001	13.56	13.861	오프닝	[]
3	4	5	AH0001	13.981	14.803	때	[]
3	4	6	AH0001	15.003	15.083	낚시	[]
3	4	7	AH0001	15.103	15.143	한	[]
3	4	8	AH0001	15.203	15.244	번	[]
3	4	9	AH0001	15.284	15.504	하는데	[]
3	4	10	AH0001	15.584	15.785	무슨	[]
3	4	11	AH0001	15.885	16.005	법이	[]
3	4	12	AH0001	16.025	16.186	이렇게	[]
3	4	13	AH0001	16.226	16.607	많냐라고	[]
3	4	14	AH0001	16.627	17.128	했더니만	[]
3	4	15	AH0001	17.649	17.869	바로	[]
3	4	16	AH0001	17.99	18.27	@이름566	[]
3	4	17	AH0001	18.33	18.711	@이름566의	[]
3	4	18	AH0001	18.791	19.012	그건	[]
3	4	19	AH0001	19.112	19.172	니	[]
3	4	20	AH0001	19.252	20.214	생각이고	[]
3	4	21	AH0001	20.274	20.635	노래가	[]
3	4	22	AH0001	20.675	21.176	나와버리네요.	[]
3	5	1	AH0001	21.457	21.658	네	[]
3	5	2	AH0001	22.079	22.461	영화로	[]
3	5	3	AH0001	22.581	22.983	토크	[]
3	5	4	AH0001	23.163	23.545	@이름1	[]
3	5	5	AH0001	23.625	24.046	평론가님과	[]
3	5	6	AH0001	24.107	24.649	함께합니다	[]
3	5	7	AH0001	24.99	25.411	어서	[]
3	5	8	AH0001	25.431	25.572	오세요.	[]
4	6	1	AH0002	25.572	25.652	예	[]
4	6	2	AH0002	25.693	26.437	안녕하세요.	[]
5	7	1	AH0001	26.447	26.588	자	[]
5	7	2	AH0001	26.668	27.491	지난주에	[]
5	7	3	AH0001	27.752	27.832	좋은	[]
5	7	4	AH0001	27.893	28.073	말씀	[]
5	7	5	AH0001	28.154	28.555	주셨는데	[]
5	7	6	AH0001	28.575	28.736	굉장히	[]
5	7	7	AH0001	28.877	29.037	정말	[]
5	7	8	AH0001	29.138	29.941	흥미진진한	[]
5	7	9	AH0001	30.081	30.202	그런	[]
5	7	10	AH0001	30.282	30.804	주제로	[]
5	7	11	AH0001	30.824	31.206	아주	[]
5	7	12	AH0001	31.286	31.487	호응도	[]
5	7	13	AH0001	31.567	32.069	좋았습니다.	[]
6	8	1	AH0002	32.069	32.595	아유	[]
6	8	2	AH0002	32.615	33.364	감사합니다.	[]
7	9	1	AH0001	33.557	33.94	오늘은	[]
7	9	2	AH0001	34.061	34.364	어떤	[]
7	9	3	AH0001	34.485	34.707	주제로	[]
7	9	4	AH0001	34.727	34.889	이야기	[]
7	9	5	AH0001	34.969	35.756	나눠볼까요?	[]
8	10	1	AH0002	35.756	35.896	네	[]
8	10	2	AH0002	36.016	36.357	오늘은	[]
8	10	3	AH0002	36.457	36.658	조금	[]
8	10	4	AH0002	36.758	37.118	무거운	[]
8	10	5	AH0002	37.239	37.86	주제일수도	[]
8	10	6	AH0002	37.9	38.721	있겠는데요	[]
8	10	7	AH0002	38.921	39.282	하지만	[]
8	10	8	AH0002	39.342	39.863	한국에서도	[]
8	10	9	AH0002	39.923	40.224	점점	[]
8	10	10	AH0002	40.324	40.624	논의가	[]
8	10	11	AH0002	40.684	41.346	확장되고	[]
8	10	12	AH0002	41.406	41.686	있는	[]
8	10	13	AH0002	41.806	42.387	존엄사에	[]
8	10	14	AH0002	42.467	42.648	대한	[]
8	10	15	AH0002	42.708	43.109	작품을	[]
8	10	16	AH0002	43.189	43.329	좀	[]
8	10	17	AH0002	43.409	43.629	골라	[]
8	10	18	AH0002	43.69	44.551	보았습니다.	[]
9	11	1	AH0001	44.549	44.749	네	[]
9	11	2	AH0001	44.83	46.132	존엄사	[]
9	11	3	AH0001	46.313	46.613	그렇죠	[]
9	11	4	AH0001	46.653	46.994	이게	[]
9	11	5	AH0001	47.295	47.475	참	[]
9	11	6	AH0001	47.655	47.876	무거운	[]
9	11	7	AH0001	47.956	48.116	주제일	[]
9	11	8	AH0001	48.196	48.377	수밖에	[]
9	11	9	AH0001	48.397	48.717	없습니다	[]
9	11	10	AH0001	48.818	49.379	생명을	[]
9	11	11	AH0001	49.619	49.72	그	[]
9	11	12	AH0001	50.06	50.341	말하자면	[]
9	11	13	AH0001	50.601	50.962	끊는	[]
9	11	14	AH0001	51.102	51.223	그런	[]
9	11	15	AH0001	51.283	51.463	행위	[]
9	11	16	AH0001	51.483	52.144	아니겠습니까?	[]
10	12	1	AH0002	52.65	52.832	네	[]
10	12	2	AH0002	52.852	53.62	그렇습니다.	[]
11	13	1	AH0001	53.59	54.171	안락사	[]
11	13	2	AH0001	54.271	54.431	조금	[]
11	13	3	AH0001	54.511	54.771	다른	[]
11	13	4	AH0001	54.872	55.192	것이	[]
11	13	5	AH0001	55.392	55.953	안락사는	[]
11	13	6	AH0001	56.193	56.574	어	[]
11	13	7	AH0001	56.694	56.774	좀	[]
11	13	8	AH0001	56.894	57.195	그거죠	[]
11	13	9	AH0001	57.215	57.355	이렇게	[]
11	13	10	AH0001	57.435	58.056	적극적으로	[]
11	13	11	AH0001	58.136	58.616	생명을	[]
11	13	12	AH0001	59.177	59.437	끊는	[]
11	13	13	AH0001	59.558	59.678	그런	[]
11	13	14	AH0001	59.738	59.958	행위를	[]
11	13	15	AH0001	59.998	60.218	말하는	[]
11	13	16	AH0001	60.278	60.639	것이고	[]
11	13	17	AH0001	60.859	61.3	존엄사는	[]
11	14	1	AH0001	61.577	62.059	무의미한	[]
11	14	2	AH0001	62.12	62.783	연명치료를	[]
11	14	3	AH0001	62.903	63.325	그만두는	[]
11	14	4	AH0001	63.426	63.506	것	[]
11	14	5	AH0001	63.928	64.069	그런	[]
11	14	6	AH0001	64.129	64.712	것이죠?	[]
11	15	1	AH0001	64.876	65.177	자	[]
11	15	2	AH0001	65.358	65.74	어떤	[]
11	15	3	AH0001	65.84	66.121	작품을	[]
11	15	4	AH0001	66.202	66.543	통해서	[]
11	15	5	AH0001	66.704	66.764	이	[]
11	15	6	AH0001	66.825	67.427	존엄사를	[]
11	15	7	AH0001	67.769	67.97	살펴	[]
11	15	8	AH0001	68.01	68.512	볼까요?	[]
12	16	1	AH0002	68.595	68.835	네.	[]
12	16	2	AH0002	69.016	69.296	최근	[]
12	16	3	AH0002	69.397	70.439	윤며들다라는	[]
12	16	4	AH0002	70.539	71.04	유행어가	[]
12	16	5	AH0002	71.1	71.36	생길	[]
12	16	6	AH0002	71.481	71.902	정도로	[]
12	16	7	AH0002	71.962	72.322	한국에서	[]
12	16	8	AH0002	72.382	72.663	핫한	[]
12	16	9	AH0002	72.723	73.084	인물이	[]
12	16	10	AH0002	73.164	73.425	바로	[]
12	16	11	AH0002	73.545	73.745	배우	[]
12	16	12	AH0002	73.785	74.968	@이름282씨인데요.	[1]
12	16	13	AH0002	75.509	75.99	아카데미	[]
12	16	14	AH0002	76.07	76.25	수상	[]
12	16	15	AH0002	76.33	76.671	소식과	[]
12	16	16	AH0002	76.691	77.012	함께	[]
12	16	17	AH0002	77.132	77.332	케이	[]
12	16	18	AH0002	77.412	77.833	할머니	[]
12	16	19	AH0002	77.893	78.434	열풍을	[]
12	16	20	AH0002	78.555	78.955	보면서.	[]
12	17	1	AH0002	79.238	79.499	윤저	[]
12	17	2	AH0002	79.639	79.96	@이름282	[]
12	17	3	AH0002	80.06	80.281	배우가	[]
12	17	4	AH0002	80.361	80.742	출연했던	[]
12	17	5	AH0002	80.823	81.184	문제작	[]
12	17	6	AH0002	81.324	81.826	죽여주는	[]
12	17	7	AH0002	81.886	82.367	여자라는	[]
12	17	8	AH0002	82.427	82.728	영화가	[]
12	17	9	AH0002	82.788	83.189	생각이	[]
12	17	10	AH0002	83.23	83.811	났습니다.	[2]
12	17	11	AH0002	84.433	84.634	아주	[]
12	17	12	AH0002	84.674	85.075	복잡한	[]
12	17	13	AH0002	85.175	85.496	마음으로	[]
12	17	14	AH0002	85.556	85.877	봤던	[]
12	17	15	AH0002	85.937	86.8	작품인데요.	[]
12	18	1	AH0002	86.847	86.927	이	[]
12	18	2	AH0002	86.967	87.768	작품에서도	[]
12	18	3	AH0002	87.888	88.269	존엄한	[]
12	18	4	AH0002	88.389	88.99	죽음이라는	[]
12	18	5	AH0002	89.07	89.371	주제가	[]
12	18	6	AH0002	89.431	89.851	다뤄지고	[]
12	18	7	AH0002	89.871	90.412	있습니다.	[]
13	19	1	AH0001	90.555	91.096	네.	[]
13	19	2	AH0001	91.116	91.136	이	[]
13	19	3	AH0001	91.497	92.159	죽음이라는	[]
13	19	4	AH0001	92.239	92.299	게	[]
13	19	5	AH0001	92.379	92.54	참	[]
13	19	6	AH0001	92.8	93.502	일요일날	[]
13	19	7	AH0001	93.522	93.863	이렇게	[]
13	19	8	AH0001	94.084	94.244	하기	[]
13	19	9	AH0001	94.304	94.404	좀	[]
13	19	10	AH0001	94.545	94.585	무	[]
13	19	11	AH0001	94.825	95.026	마음이	[]
13	19	12	AH0001	95.146	95.487	무거운	[]
13	19	13	AH0001	95.868	95.988	그런	[3]
13	19	14	AH0001	96.048	96.95	내용입니다만.	[]
13	19	15	AH0001	97.291	97.311	그	[]
13	19	16	AH0001	97.993	98.194	주제가	[]
13	19	17	AH0001	98.294	98.434	좀	[]
13	19	18	AH0001	98.895	99.036	쉬운	[]
13	19	19	AH0001	99.096	99.256	주제는	[]
13	19	20	AH0001	99.296	99.437	아닌	[]
13	19	21	AH0001	99.497	99.537	것	[]
13	19	22	AH0001	99.577	99.697	같아요	[]
13	19	23	AH0001	99.717	99.978	어찌됐든	[]
13	19	24	AH0001	100.058	100.178	간에.	[]
14	20	1	AH0002	100.486	100.586	네	[]
14	20	2	AH0002	100.706	100.906	이게	[]
14	20	3	AH0002	101.006	101.186	쉬운	[]
14	20	4	AH0002	101.266	101.607	주제가	[]
14	20	5	AH0002	101.667	101.987	아니기	[]
14	20	6	AH0002	102.087	102.367	때문에	[]
14	20	7	AH0002	102.427	102.667	많은	[]
14	20	8	AH0002	102.727	103.047	사람들이	[]
