bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	1.636	2.111	CONTINUER	네.	[1]	[1]	[3]
2	AH0001	10.476	11.106	CONTINUER	네.	[2]	[3]	[10]
3	AH0001	40.611	41.097	CONTINUER	네.	[4]	[8]	[9]
4	AH0002	47.069	47.368	CONTINUER	네.	[5]	[10]	[5]
5	AH0002	81.37	81.995	CONTINUER	네.	[]	[]	[]
6	AH0001	125.269	125.672	AFFIRMATIVE	그릏죠.	[12]	[22]	[14]
7	AH0002	155.592	155.787	CONTINUER	예.	[]	[]	[]
8	AH0002	156.807	157.169	CONTINUER	네.	[13]	[27]	[1]
9	AH0001	189.686	190.037	CONTINUER	네.	[16]	[31]	[20]
10	AH0002	216.953	217.193	CONTINUER	네.	[17]	[35]	[2]
11	AH0001	244.337	244.74	CONTINUER	네.	[20]	[39]	[9]
12	AH0002	294.233	294.458	CONTINUER	네.	[21]	[45]	[4]
13	AH0001	300.263	300.729	CONTINUER	예.	[22]	[46]	[5]
14	AH0001	331.819	332.064	CONTINUER	네.	[22]	[50]	[5]
15	AH0001	371.403	371.842	CONTINUER	네.	[22]	[54]	[22]
16	AH0002	389.545	390.35	CONTINUER	네.	[]	[]	[]
17	AH0001	437.002	437.377	CONTINUER	네.	[24]	[63]	[17]
18	AH0001	438.729	439.059	CONTINUER	음.	[24]	[64]	[2]
19	AH0001	463.868	464.321	CONTINUER	네.	[24]	[65]	[26]
20	AH0001	489.937	490.201	CONTINUER	예.	[26]	[70]	[5]
21	AH0001	515.719	516.103	UNDERSTANDING	아하.	[26]	[73]	[15]
22	AH0001	543.502	543.802	CONTINUER	네.	[26]	[77]	[8]
23	AH0002	568.8	569.415	CONTINUER	네.	[]	[]	[]
24	AH0001	587.406	587.966	CONTINUER	에.	[30]	[86]	[10]
25	AH0001	621.132	621.718	CONTINUER	예.	[30]	[91]	[13]
26	AH0001	632.172	632.747	CONTINUER	네.	[30]	[92]	[15]
27	AH0001	680.508	680.994	CONTINUER	네.	[34]	[100]	[15]
28	AH0002	697.606	698.116	CONTINUER	음.	[35]	[103]	[11]
29	AH0001	700.533	701.033	CONTINUER	네.	[36]	[104]	[6]
30	AH0001	709.867	710.632	CONTINUER	네.	[38]	[106]	[13]
31	AH0001	732.403	732.942	CONTINUER	네.	[38]	[108]	[20]
32	AH0001	763.369	763.935	CONTINUER	네.	[38]	[111]	[14]
33	AH0002	774.273	774.478	CONTINUER	네.	[39]	[113]	[6]
34	AH0001	782.203	782.679	CONTINUER	네.	[40]	[114]	[9]
35	AH0001	792.904	793.884	CONTINUER	네.	[40]	[117]	[1]
36	AH0001	809.114	809.614	CONTINUER	네.	[40]	[119]	[9]
37	AH0001	830.51	830.974	CONTINUER	네.	[42]	[123]	[11]
38	AH0001	848.002	848.421	CONTINUER	네.	[42]	[125]	[13]
39	AH0001	867.491	867.856	CONTINUER	네.	[42]	[127]	[20]
40	AH0001	871.098	871.572	CONTINUER	아.	[42]	[128]	[4]
41	AH0001	873.002	873.4	CONTINUER	네.	[42]	[129]	[2]
42	AH0001	906.622	906.903	CONTINUER	네.	[44]	[133]	[16]
43	AH0001	963.601	963.88	CONTINUER	네.	[48]	[140]	[14]
44	AH0002	968.87	969.28	CONTINUER	네.	[]	[]	[]
45	AH0001	1002.511	1003.036	CONTINUER	네.	[50]	[144]	[18]
46	AH0002	1008.253	1008.788	CONTINUER	네네.	[51]	[145]	[7]
47	AH0002	1086.123	1086.343	CONTINUER	네.	[53]	[156]	[8]
48	AH0001	1111.135	1111.567	CONTINUER	네.	[54]	[160]	[13]
49	AH0002	1130.461	1130.766	CONTINUER	네.	[55]	[163]	[9]
50	AH0002	1133.935	1134.234	CONTINUER	네.	[55]	[164]	[5]
51	AH0002	1147.535	1148.01	CONTINUER	예.	[57]	[168]	[2]
52	AH0001	1155.055	1155.415	CONTINUER	음.	[58]	[170]	[12]
53	AH0001	1161.443	1161.602	CONTINUER	네.	[58]	[171]	[12]
54	AH0001	1172.48	1172.906	CONTINUER	네.	[58]	[172]	[18]
55	AH0001	1183.976	1184.471	CONTINUER	네.	[58]	[174]	[7]
56	AH0001	1205.733	1205.988	CONTINUER	네.	[58]	[177]	[10]
57	AH0001	1208.269	1208.958	CONTINUER	네.	[58]	[177]	[17]
58	AH0001	1217.141	1217.531	CONTINUER	예.	[58]	[178]	[19]
59	AH0001	1234.427	1235.287	CONTINUER	네.	[58]	[181]	[10]
60	AH0001	1246.614	1246.968	CONTINUER	예.	[58]	[183]	[4]
61	AH0002	1318.171	1318.681	CONTINUER	네.	[]	[]	[]
62	AH0001	1330.09	1330.35	CONTINUER	예.	[]	[]	[]
63	AH0001	1425.478	1426.163	CONTINUER	네.	[60]	[207]	[11]
64	AH0001	1438.942	1439.343	CONTINUER	네.	[60]	[209]	[12]
65	AH0001	1445.683	1446.178	CONTINUER	네.	[60]	[210]	[13]
66	AH0001	1478.621	1479.072	CONTINUER	네.	[62]	[215]	[14]
67	AH0001	1533.934	1534.119	CONTINUER	네.	[64]	[224]	[12]
68	AH0001	1546.77	1547.095	CONTINUER	네.	[64]	[226]	[13]
69	AH0001	1572.314	1572.494	CONTINUER	네.	[64]	[230]	[19]
70	AH0001	1591.146	1591.338	CONTINUER	네.	[64]	[232]	[15]
71	AH0001	1626.968	1627.267	CONTINUER	네.	[64]	[238]	[13]
72	AH0001	1634.048	1634.409	CONTINUER	음.	[64]	[239]	[10]
73	AH0001	1660.908	1661.278	CONTINUER	네.	[64]	[243]	[11]
74	AH0001	1680.067	1680.536	CONTINUER	예.	[66]	[245]	[9]
75	AH0001	1727.267	1727.642	CONTINUER	네.	[66]	[252]	[12]
76	AH0001	1729.626	1729.968	CONTINUER	음.	[66]	[253]	[3]
77	AH0001	1796.071	1796.6	CONTINUER	네.	[70]	[264]	[11]
78	AH0001	1804.463	1804.848	CONTINUER	네.	[70]	[266]	[4]
79	AH0002	1826.552	1826.807	CONTINUER	네.	[71]	[270]	[5]
80	AH0002	1828.387	1828.582	CONTINUER	네.	[71]	[270]	[9]
81	AH0001	1857.0	1857.285	CONTINUER	네.	[72]	[272]	[15]
82	AH0001	1863.134	1863.777	CONTINUER	음.	[72]	[273]	[10]
83	AH0001	1893.092	1893.541	CONTINUER	네.	[72]	[279]	[7]
84	AH0001	1897.534	1897.925	CONTINUER	네.	[72]	[280]	[9]
85	AH0001	1935.152	1935.622	CONTINUER	네.	[72]	[286]	[7]
86	AH0001	1978.572	1979.228	CONTINUER	네.	[74]	[292]	[6]
87	AH0001	2000.831	2001.201	CONTINUER	네.	[74]	[296]	[11]
88	AH0001	2024.945	2025.51	CONTINUER	네.	[74]	[299]	[16]
89	AH0001	2052.699	2052.979	CONTINUER	예.	[76]	[304]	[10]
90	AH0001	2070.209	2070.624	CONTINUER	예.	[76]	[307]	[4]
91	AH0001	2078.399	2078.685	CONTINUER	네.	[76]	[308]	[12]
92	AH0001	2102.0	2102.485	CONTINUER	예.	[78]	[312]	[16]
93	AH0002	2105.351	2105.58	CONTINUER	예.	[79]	[314]	[2]
94	AH0002	2106.18	2106.45	CONTINUER	네.	[79]	[315]	[2]
95	AH0001	2131.32	2131.979	CONTINUER	네.	[80]	[318]	[16]
96	AH0001	2171.772	2172.033	CONTINUER	예.	[80]	[323]	[6]
97	AH0002	2187.712	2187.872	CONTINUER	네.	[81]	[326]	[13]
98	AH0002	2189.254	2189.53	CONTINUER	네.	[81]	[326]	[14]
99	AH0001	2198.64	2198.895	CONTINUER	예.	[82]	[329]	[3]
100	AH0001	2219.565	2219.861	CONTINUER	네.	[82]	[331]	[7]
101	AH0001	2254.639	2255.534	CONTINUER	네.	[82]	[338]	[5]
102	AH0002	2273.642	2273.892	CONTINUER	네.	[83]	[340]	[12]
103	AH0001	2300.052	2300.647	CONTINUER	네.	[84]	[342]	[13]
104	AH0001	2353.313	2353.999	CONTINUER	네.	[86]	[352]	[7]
105	AH0001	2376.655	2377.885	CONTINUER	네. 네.	[86]	[360]	[2]
106	AH0001	2380.086	2380.443	CONTINUER	음.	[86]	[362]	[2]
107	AH0001	2424.151	2424.536	CONTINUER	네.	[88]	[371]	[11]
108	AH0002	2450.954	2451.084	CONTINUER	네.	[]	[]	[]
109	AH0002	2453.484	2453.699	CONTINUER	네.	[89]	[377]	[6]
110	AH0001	2466.073	2466.958	CONTINUER	네네. 네.	[90]	[381]	[5]
111	AH0001	2473.747	2474.072	CONTINUER	네.	[90]	[382]	[4]
112	AH0001	2476.268	2477.0	CONTINUER	네.	[90]	[383]	[8]
113	AH0001	2505.561	2506.716	CONTINUER	네. 음. 네.	[90]	[388]	[15]
114	AH0001	2554.788	2555.588	CONTINUER	예.	[94]	[396]	[18]
115	AH0001	2563.487	2563.981	CONTINUER	네.	[94]	[397]	[15]
116	AH0001	2600.854	2601.468	CONTINUER	네.	[96]	[403]	[4]
