uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.54	입니다.	[]
2	2	1	AH0002	0.54	1.263	감사합니다.	[]
3	3	1	AH0001	3.009	3.71	옛날	[]
3	3	2	AH0001	4.05	4.17	저	[]
3	3	3	AH0001	4.37	4.61	아주	[]
3	3	4	AH0001	4.671	5.111	어렸을	[]
3	3	5	AH0001	5.291	5.371	때	[]
3	3	6	AH0001	5.491	5.651	그	[]
3	3	7	AH0001	5.852	6.172	젊은	[]
3	3	8	AH0001	6.272	6.632	시절에	[]
3	3	9	AH0001	6.732	7.313	사진하고.	[]
3	3	10	AH0001	7.333	7.353	그	[1]
3	3	11	AH0001	7.673	7.773	뭐	[]
3	3	12	AH0001	8.674	8.874	별로	[]
3	3	13	AH0001	9.015	9.175	크게	[]
3	3	14	AH0001	9.235	9.615	달라지신	[]
3	3	15	AH0001	9.635	9.655	거	[]
3	3	16	AH0001	9.735	9.955	같지	[]
3	3	17	AH0001	10.036	10.496	않은데요?	[]
4	4	1	AH0002	10.656	10.897	에이	[]
4	4	2	AH0002	11.037	11.338	왜요	[]
4	4	3	AH0002	13.003	13.805	왜요?	[]
5	5	1	AH0001	14.1	14.2	아	[]
5	5	2	AH0001	14.26	14.381	지금	[]
5	5	3	AH0001	14.501	14.942	정말요	[]
5	5	4	AH0001	16.164	16.405	물론	[]
5	5	5	AH0001	16.805	17.266	눈가나	[]
5	5	6	AH0001	17.306	17.447	이런	[]
5	5	7	AH0001	17.487	17.547	데	[]
5	5	8	AH0001	17.667	17.948	주름을	[]
5	5	9	AH0001	18.028	18.128	좀	[]
5	5	10	AH0001	18.188	19.07	많아졌습니다만.	[]
6	6	1	AH0002	19.19	19.25	내가요	[]
6	6	2	AH0002	19.551	19.691	제가요	[]
6	6	3	AH0002	20.152	20.592	아	[]
6	6	4	AH0002	20.813	21.093	며칠	[]
6	6	5	AH0002	21.153	21.474	전에	[2]
6	6	6	AH0002	22.075	23.057	칠십이었어요.	[3]
6	6	7	AH0002	23.457	23.477	예.	[]
7	7	1	AH0001	23.88	24.545	칠십이라고는	[]
7	7	2	AH0001	24.585	24.706	안	[]
7	7	3	AH0001	24.786	25.834	보입니다.	[]
