bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	8.026	8.819	AFFIRMATIVE	그렇네요.	[1]	[2]	[6]
2	AH0001	13.639	13.839	CONTINUER	음.	[2]	[4]	[4]
3	AH0002	24.192	24.582	UNDERSTANDING	음.	[3]	[5]	[15]
4	AH0002	31.526	31.696	CONTINUER	네.	[5]	[8]	[7]
5	AH0002	37.566	38.256	AFFIRMATIVE	맞아요. 맞아요.	[5]	[8]	[23]
6	AH0001	50.089	51.239	UNDERSTANDING	아. 중간에.	[8]	[11]	[5]
7	AH0001	54.509	54.954	ASSESSMENT	헤.	[8]	[11]	[11]
8	AH0001	55.355	56.18	ASSESSMENT	아.	[8]	[11]	[12]
9	AH0001	57.495	57.8	CONTINUER	네.	[8]	[12]	[5]
10	AH0001	58.515	58.89	CONTINUER	음.	[8]	[12]	[9]
11	AH0002	63.467	63.787	CONTINUER	네.	[9]	[14]	[3]
12	AH0002	73.373	73.783	AFFIRMATIVE	그쵸.	[11]	[16]	[11]
13	AH0002	78.371	78.626	CONTINUER	네.	[11]	[17]	[4]
14	AH0002	83.155	83.905	UNDERSTANDING	음.	[11]	[17]	[12]
15	AH0002	90.454	91.009	AFFIRMATIVE	네네네네.	[13]	[19]	[9]
16	AH0002	92.413	92.76	AFFIRMATIVE	그쵸.	[13]	[19]	[13]
17	AH0002	94.82	95.66	AFFIRMATIVE	네. 모양이.	[13]	[20]	[5]
18	AH0002	96.425	96.56	CONTINUER	네.	[13]	[20]	[9]
19	AH0002	120.629	121.099	CONTINUER	네에.	[17]	[25]	[9]
20	AH0001	122.813	123.243	CONTINUER	네네.	[18]	[26]	[2]
21	AH0001	136.211	136.861	ASSESSMENT	아.	[18]	[28]	[7]
22	AH0002	143.243	143.618	CONTINUER	네.	[19]	[29]	[17]
23	AH0002	146.639	147.244	AFFIRMATIVE	맞아요.	[]	[]	[]
24	AH0002	150.8	151.035	CONTINUER	네.	[21]	[31]	[12]
25	AH0002	158.759	159.309	ASSESSMENT	아.	[21]	[31]	[33]
26	AH0001	166.439	166.789	CONTINUER	네.	[24]	[34]	[4]
27	AH0002	177.283	177.667	CONTINUER	네네.	[27]	[38]	[12]
28	AH0002	195.514	196.149	CONTINUER	음.	[29]	[41]	[9]
29	AH0002	204.824	206.014	UNDERSTANDING	아.	[29]	[42]	[13]
30	AH0002	209.471	210.416	UNDERSTANDING	어.	[29]	[43]	[11]
31	AH0001	227.73	227.95	CONTINUER	네.	[34]	[48]	[3]
32	AH0001	228.865	229.21	CONTINUER	음.	[34]	[48]	[6]
33	AH0001	239.538	239.843	ASSESSMENT	어우.	[36]	[51]	[3]
34	AH0001	243.427	243.692	CONTINUER	음.	[36]	[52]	[8]
35	AH0001	246.587	246.867	CONTINUER	네.	[36]	[52]	[14]
36	AH0001	252.662	252.922	CONTINUER	음.	[36]	[52]	[25]
37	AH0001	254.202	254.942	AFFIRMATIVE	아. 그쵸. 맞아요.	[36]	[52]	[29]
38	AH0001	255.724	255.919	CONTINUER	네.	[36]	[53]	[2]
39	AH0001	260.769	261.274	UNDERSTANDING	으음. 음.	[36]	[53]	[12]
40	AH0001	263.629	264.309	CONTINUER	아.	[36]	[53]	[21]
41	AH0002	274.044	274.434	CONTINUER	음.	[39]	[56]	[1]
42	AH0002	278.601	278.958	AFFIRMATIVE	그쵸.	[39]	[56]	[17]
43	AH0002	286.768	287.268	CONTINUER	네.	[41]	[58]	[15]
44	AH0001	290.328	290.848	CONTINUER	네.	[42]	[60]	[1]
45	AH0001	300.509	301.379	ASSESSMENT	아.	[42]	[62]	[14]
46	AH0002	315.326	315.897	UNDERSTANDING	음.	[47]	[68]	[12]
47	AH0002	320.16	320.464	CONTINUER	네네.	[47]	[68]	[21]
48	AH0001	333.677	334.012	CONTINUER	네.	[50]	[71]	[6]
49	AH0001	334.818	335.173	CONTINUER	아.	[50]	[72]	[1]
50	AH0002	343.256	343.701	CONTINUER	아.	[51]	[75]	[7]
51	AH0001	352.096	352.371	CONTINUER	하.	[52]	[78]	[1]
52	AH0001	355.091	355.406	CONTINUER	음.	[52]	[78]	[7]
53	AH0001	357.271	357.851	CONTINUER	네.	[52]	[78]	[12]
54	AH0001	363.01	363.27	CONTINUER	네.	[54]	[80]	[4]
55	AH0001	366.595	367.115	CONTINUER	음.	[54]	[80]	[11]
56	AH0002	372.902	373.092	CONTINUER	네.	[55]	[82]	[5]
57	AH0001	376.241	376.571	CONTINUER	네.	[56]	[83]	[2]
58	AH0001	378.726	379.181	AFFIRMATIVE	그니까요.	[56]	[83]	[10]
59	AH0001	385.13	385.54	CONTINUER	음.	[56]	[84]	[5]
60	AH0001	392.369	392.969	ASSESSMENT	헤.	[58]	[86]	[6]
61	AH0001	395.081	395.726	ASSESSMENT	어.	[60]	[88]	[1]
62	AH0002	402.91	403.12	CONTINUER	네.	[61]	[89]	[2]
63	AH0002	404.4	404.625	CONTINUER	네네.	[61]	[89]	[7]
64	AH0002	405.51	405.92	CONTINUER	음.	[61]	[89]	[9]
65	AH0001	414.337	414.697	CONTINUER	네.	[64]	[92]	[4]
66	AH0002	416.354	416.539	CONTINUER	네.	[65]	[94]	[1]
67	AH0001	428.375	428.74	CONTINUER	음.	[66]	[96]	[11]
68	AH0001	432.305	432.67	ASSESSMENT	헤.	[66]	[96]	[22]
69	AH0001	433.654	434.034	CONTINUER	네.	[66]	[96]	[25]
70	AH0001	437.604	438.159	CONTINUER	네.	[66]	[97]	[6]
71	AH0001	439.874	440.114	CONTINUER	어.	[66]	[97]	[10]
72	AH0001	440.799	441.033	CONTINUER	네.	[66]	[97]	[12]
73	AH0001	443.074	443.289	CONTINUER	음.	[66]	[97]	[16]
74	AH0001	447.754	448.024	CONTINUER	네.	[66]	[97]	[26]
75	AH0001	450.559	450.924	CONTINUER	어.	[66]	[98]	[1]
76	AH0001	452.974	453.284	CONTINUER	아.	[66]	[98]	[5]
77	AH0002	469.69	470.125	CONTINUER	음.	[69]	[101]	[18]
78	AH0002	471.86	472.55	AFFIRMATIVE	맞습니다.	[69]	[101]	[24]
79	AH0002	482.304	483.709	UNDERSTANDING	아.	[69]	[102]	[23]
80	AH0001	491.021	491.351	CONTINUER	네.	[70]	[104]	[13]
81	AH0001	495.922	496.237	CONTINUER	네.	[70]	[105]	[13]
82	AH0001	498.454	498.984	CONTINUER	어. 네.	[70]	[106]	[5]
83	AH0001	502.659	503.034	CONTINUER	으음.	[70]	[106]	[10]
84	AH0001	507.929	508.274	CONTINUER	으음.	[70]	[106]	[21]
85	AH0001	513.478	514.058	UNDERSTANDING	오!	[70]	[107]	[12]
86	AH0001	526.947	527.477	UNDERSTANDING	으음!	[70]	[108]	[25]
87	AH0001	531.124	531.469	CONTINUER	네.	[70]	[109]	[9]
88	AH0001	534.151	535.067	UNDERSTANDING	아 그렇군요.	[70]	[109]	[18]
89	AH0001	538.432	538.732	CONTINUER	으음.	[70]	[110]	[8]
90	AH0001	547.614	547.824	CONTINUER	으흠.	[70]	[111]	[6]
91	AH0002	551.668	551.908	CONTINUER	네.	[71]	[112]	[2]
92	AH0002	557.783	558.043	CONTINUER	네.	[71]	[112]	[12]
93	AH0002	560.283	560.428	CONTINUER	음.	[71]	[112]	[17]
