bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0002	0.5	1.02	CONTINUER	네.	[]	[]	[]
2	SL0001	16.48	17.185	UNDERSTANDING	음.	[2]	[3]	[6]
3	SL0001	21.037	21.197	CONTINUER	네.	[2]	[4]	[6]
4	SL0001	31.201	31.816	UNDERSTANDING	음.	[2]	[5]	[7]
5	SL0001	41.299	41.809	UNDERSTANDING	음.	[2]	[7]	[1]
6	SL0001	55.543	56.098	UNDERSTANDING	음.	[2]	[8]	[10]
7	SL0001	60.578	61.158	UNDERSTANDING	아.	[2]	[9]	[6]
8	SL0002	61.473	61.703	CONTINUER	네.	[]	[]	[]
9	SL0001	85.447	85.887	CONTINUER	네.	[4]	[14]	[5]
10	SL0001	95.781	96.286	UNDERSTANDING	아.	[4]	[15]	[7]
11	SL0001	97.696	98.212	CONTINUER	예.	[4]	[15]	[11]
12	SL0001	106.559	107.299	UNDERSTANDING	음.	[4]	[16]	[12]
13	SL0001	114.171	114.446	CONTINUER	응.	[4]	[17]	[14]
14	SL0001	116.853	117.083	CONTINUER	음.	[4]	[17]	[19]
15	SL0001	119.248	119.938	CONTINUER	음.	[4]	[18]	[2]
16	SL0001	132.88	133.225	CONTINUER	음.	[4]	[21]	[4]
17	SL0001	136.634	136.894	CONTINUER	네.	[4]	[22]	[1]
18	SL0001	142.782	143.412	UNDERSTANDING	음.	[4]	[23]	[8]
19	SL0001	144.347	145.904	CONTINUER	네.	[4]	[24]	[1]
20	SL0001	158.732	159.492	UNDERSTANDING	아.	[4]	[27]	[8]
21	SL0001	164.86	165.41	CONTINUER	예.	[4]	[28]	[2]
22	SL0001	172.026	172.511	CONTINUER	예.	[4]	[29]	[10]
23	SL0001	185.233	186.948	UNDERSTANDING	음. 네.	[4]	[30]	[15]
24	SL0001	212.163	212.833	UNDERSTANDING	아.	[6]	[35]	[5]
25	SL0001	223.34	225.255	AFFIRMATIVE	응. 그쵸. 그쵸. 어.	[6]	[39]	[1]
26	SL0001	247.265	248.785	ASSESSMENT	허. 허!	[6]	[41]	[5]
27	SL0001	249.051	249.226	CONTINUER	어.	[6]	[42]	[1]
28	SL0001	252.835	253.295	CONTINUER	예.	[6]	[42]	[7]
29	SL0001	262.78	263.605	CONTINUER	으.	[6]	[43]	[7]
30	SL0002	267.556	267.911	CONTINUER	네.	[7]	[45]	[3]
31	SL0002	275.186	276.67	ASSESSMENT	어어! 네에.	[7]	[47]	[4]
32	SL0002	279.456	279.786	CONTINUER	네.	[7]	[47]	[12]
33	SL0001	283.925	284.26	UNDERSTANDING	아아.	[8]	[49]	[1]
34	SL0001	293.336	293.676	CONTINUER	응.	[10]	[51]	[6]
35	SL0001	297.116	297.496	CONTINUER	응.	[10]	[51]	[14]
36	SL0001	306.398	308.018	AFFIRMATIVE	아. 그쵸. 음.	[10]	[53]	[1]
37	SL0001	309.638	310.013	CONTINUER	으음.	[10]	[53]	[9]
38	SL0001	317.696	318.141	CONTINUER	음.	[10]	[55]	[3]
39	SL0001	324.949	325.514	CONTINUER	음.	[10]	[56]	[7]
40	SL0001	331.948	332.388	CONTINUER	네.	[10]	[58]	[3]
41	SL0001	335.493	335.928	UNDERSTANDING	하.	[10]	[58]	[8]
42	SL0001	338.523	339.003	UNDERSTANDING	하.	[10]	[58]	[12]
43	SL0002	347.299	347.628	CONTINUER	예.	[11]	[60]	[1]
44	SL0001	357.296	357.921	CONTINUER	으음.	[12]	[62]	[9]
45	SL0001	364.8	365.205	UNDERSTANDING	음.	[12]	[63]	[6]
46	SL0001	368.205	368.75	UNDERSTANDING	음.	[12]	[63]	[10]
47	SL0001	378.162	378.802	CONTINUER	음.	[12]	[64]	[13]
48	SL0001	382.742	383.437	CONTINUER	네.	[12]	[64]	[22]
49	SL0002	387.12	387.59	CONTINUER	네.	[13]	[65]	[7]
50	SL0001	405.471	406.006	CONTINUER	음.	[16]	[69]	[9]
51	SL0001	413.326	413.836	UNDERSTANDING	아.	[16]	[70]	[8]
52	SL0001	416.206	416.701	CONTINUER	예.	[16]	[71]	[8]
53	SL0001	432.16	433.005	CONTINUER	어.	[16]	[73]	[11]
54	SL0001	440.438	441.363	CONTINUER	음. 음.	[16]	[74]	[8]
55	SL0001	448.471	448.866	UNDERSTANDING	아.	[16]	[75]	[3]
56	SL0001	450.106	450.671	CONTINUER	예.	[16]	[75]	[6]
57	SL0001	455.657	456.052	CONTINUER	음.	[16]	[76]	[12]
58	SL0001	462.23	463.495	UNDERSTANDING	음. 음.	[16]	[77]	[11]
59	SL0001	467.144	467.749	CONTINUER	네.	[16]	[78]	[7]
60	SL0001	469.084	469.574	CONTINUER	네네.	[16]	[78]	[10]
61	SL0001	477.384	478.024	UNDERSTANDING	아.	[16]	[79]	[10]
62	SL0002	483.072	483.417	CONTINUER	예.	[17]	[81]	[1]
63	SL0002	490.85	492.27	AFFIRMATIVE	네. 그렇습니다. 네.	[17]	[82]	[18]
64	SL0001	498.173	498.678	CONTINUER	예.	[18]	[84]	[6]
65	SL0001	504.628	505.683	UNDERSTANDING	아.	[20]	[86]	[4]
66	SL0002	512.049	512.559	CONTINUER	네.	[21]	[87]	[12]
67	SL0001	520.615	521.045	CONTINUER	음.	[22]	[88]	[10]
68	SL0001	528.572	528.987	CONTINUER	음.	[22]	[89]	[7]
69	SL0001	532.257	532.652	CONTINUER	예.	[22]	[89]	[16]
70	SL0001	547.049	549.094	ASSESSMENT	허! 음.	[22]	[91]	[17]
71	SL0001	558.155	559.375	UNDERSTANDING	음.	[22]	[93]	[2]
72	SL0001	560.191	560.631	CONTINUER	네.	[22]	[94]	[1]
73	SL0001	568.908	569.558	UNDERSTANDING	음.	[22]	[95]	[5]
74	SL0001	571.033	571.493	UNDERSTANDING	음.	[22]	[95]	[8]
75	SL0001	579.174	581.034	UNDERSTANDING	음. 네.	[22]	[96]	[9]
76	SL0002	586.56	587.055	CONTINUER	네.	[23]	[97]	[13]
77	SL0002	596.093	596.903	UNDERSTANDING	아. 네.	[23]	[99]	[5]
78	SL0001	600.561	602.021	UNDERSTANDING	아. 예.	[24]	[100]	[8]
79	SL0002	610.346	611.219	CONTINUER	네.	[25]	[101]	[15]
