uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	1.147	언제부턴가	[]
1	1	2	AH0001	1.328	1.529	자주	[]
1	1	3	AH0001	1.61	1.791	듣게	[]
1	1	4	AH0001	1.871	2.072	된	[]
1	1	5	AH0001	2.294	2.636	단어가	[]
1	1	6	AH0001	2.676	3.159	있어요.	[]
1	2	1	AH0001	3.159	3.58	바로	[]
1	2	2	AH0001	3.741	5.085	모빌리티죠.	[]
1	3	1	AH0001	5.085	5.949	그런데	[]
1	3	2	AH0001	6.13	6.692	모빌리티	[]
1	3	3	AH0001	7.415	7.757	대체	[]
1	3	4	AH0001	7.918	8.319	누구냐	[]
1	3	5	AH0001	8.38	8.4	넌	[]
1	4	1	AH0001	8.661	9.804	모빌리티의	[]
1	4	2	AH0001	9.904	10.545	개념부터	[]
1	4	3	AH0001	10.866	11.307	모빌리티	[]
1	4	4	AH0001	11.387	11.728	산업이	[]
1	4	5	AH0001	11.788	12.289	바꿔놓은	[]
1	4	6	AH0001	12.37	12.59	우리의	[]
1	4	7	AH0001	12.67	13.432	일상까지	[]
1	4	8	AH0001	13.853	14.354	모빌리티의	[]
1	4	9	AH0001	14.434	14.695	모든	[]
1	4	10	AH0001	14.775	14.876	것	[]
1	4	11	AH0001	15.076	15.176	이	[]
1	4	12	AH0001	15.256	15.617	시간에	[]
1	4	13	AH0001	15.738	16.299	알아보려고	[]
1	4	14	AH0001	16.339	16.8	합니다.	[]
1	5	1	AH0001	16.8	17.641	오늘	[]
1	5	2	AH0001	17.781	18.041	우리와	[]
1	5	3	AH0001	18.102	18.462	함께해	[]
1	5	4	AH0001	18.542	18.762	주실	[]
1	5	5	AH0001	18.902	19.123	분	[]
1	5	6	AH0001	19.563	19.683	전	[]
1	5	7	AH0001	19.783	20.204	청와대	[]
1	5	8	AH0001	20.284	21.686	디지털소통센터장을	[]
1	5	9	AH0001	21.766	22.146	지니신	[]
1	5	10	AH0001	22.687	23.908	디지털미디어전문가	[]
1	5	11	AH0001	24.088	24.649	모셨어요	[]
1	5	12	AH0001	24.729	24.929	어서	[]
1	5	13	AH0001	24.949	25.19	오세요.	[]
2	6	1	AH0002	25.47	25.957	안녕하세요	[]
2	6	2	AH0002	26.018	26.606	반갑습니다.	[]
3	7	1	AH0001	26.606	27.069	정말	[]
3	7	2	AH0001	27.17	27.391	귀한	[]
3	7	3	AH0001	27.452	27.613	시간	[]
3	7	4	AH0001	27.673	27.733	내	[]
3	7	5	AH0001	27.774	28.056	주셔서	[]
3	7	6	AH0001	28.136	28.881	감사드립니다.	[]
3	8	1	AH0001	29.811	30.032	저희가	[]
3	8	2	AH0001	30.132	30.534	궁금한	[]
3	8	3	AH0001	30.594	30.654	게	[]
3	8	4	AH0001	30.715	30.996	정말	[]
3	8	5	AH0001	31.056	31.819	많거든요.	[1]
3	9	1	AH0001	32.284	32.905	요즘에	[]
3	9	2	AH0001	33.405	33.725	뉴스를	[]
3	9	3	AH0001	33.805	34.226	틀어도	[]
3	9	4	AH0001	34.546	35.327	모빌리티	[]
3	9	5	AH0001	35.447	36.328	모빌리티	[]
3	9	6	AH0001	36.468	36.928	여기저기서	[]
