uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.712	1.613	간질여가지고	[]
1	1	2	AH0001	1.853	2.094	원래	[]
1	1	3	AH0001	2.154	2.234	안	[]
1	1	4	AH0001	2.314	2.514	팔려고	[]
1	1	5	AH0001	2.594	2.695	했던	[]
1	1	6	AH0001	2.755	3.155	사람을	[1]
1	1	7	AH0001	3.616	3.856	팔게	[]
1	1	8	AH0001	3.916	4.517	만들었으면	[]
1	1	9	AH0001	4.897	5.298	이거는	[]
1	1	10	AH0001	5.739	5.979	범행	[]
1	1	11	AH0001	6.059	6.319	유발.	[]
1	1	12	AH0001	6.44	6.8	말하자면	[]
1	1	13	AH0001	7.261	7.441	의도	[]
1	1	14	AH0001	7.481	7.661	자체가	[]
1	1	15	AH0001	7.681	7.941	없었는데	[]
1	1	16	AH0001	8.022	8.262	의도를	[]
1	1	17	AH0001	8.322	8.783	만들어냈다.	[2]
1	1	18	AH0001	8.843	8.903	라고	[]
1	1	19	AH0001	8.943	9.323	해서	[]
1	1	20	AH0001	9.744	10.164	이것은	[]
1	1	21	AH0001	10.265	10.845	부적법한	[]
1	1	22	AH0001	10.925	11.406	함정수사다.	[]
1	1	23	AH0001	11.446	11.807	이렇게	[]
1	1	24	AH0001	12.367	12.548	크게는	[]
1	1	25	AH0001	12.848	13.268	원칙적으로	[]
1	1	26	AH0001	13.349	13.589	분류가	[]
1	1	27	AH0001	13.649	13.689	돼	[]
1	1	28	AH0001	13.729	14.41	있거든요.	[]
1	2	1	AH0001	15.064	15.686	여기서	[]
1	2	2	AH0001	16.067	16.428	어	[]
1	2	3	AH0001	16.608	16.689	이	[]
1	2	4	AH0001	16.769	17.431	개정안에서는	[]
1	2	5	AH0001	17.852	17.992	아예	[]
1	2	6	AH0001	18.093	18.434	법으로	[]
1	2	7	AH0001	18.835	19.015	이런	[]
1	2	8	AH0001	19.055	19.256	함정	[]
1	2	9	AH0001	19.276	19.517	수사가	[]
1	2	10	AH0001	19.597	20.239	가능하다라고	[]
1	2	11	AH0001	20.299	20.48	못을	[]
1	2	12	AH0001	20.56	20.901	박아버린	[]
1	2	13	AH0001	20.921	21.322	거네요.	[]
2	3	1	AH0002	21.324	21.705	네	[]
2	3	2	AH0002	21.846	22.588	도디님께서	[]
2	3	3	AH0002	22.93	23.211	마치	[]
2	3	4	AH0002	23.291	23.552	형사	[]
2	3	5	AH0002	23.572	24.094	소송법의	[]
2	3	6	AH0002	24.234	24.896	교수님처럼	[]
2	3	7	AH0002	25.097	25.84	너무	[]
2	3	8	AH0002	25.9	25.98	잘	[]
2	3	9	AH0002	26.02	26.141	이제	[]
2	3	10	AH0002	26.221	26.522	설명을	[]
2	3	11	AH0002	26.562	26.843	해주신	[]
2	3	12	AH0002	26.883	26.943	것	[]
2	3	13	AH0002	26.984	27.686	같은데요.	[]
2	4	1	AH0002	28.038	28.239	그래서	[]
2	4	2	AH0002	28.28	28.541	사실	[]
2	4	3	AH0002	28.642	28.803	수사	[]
2	4	4	AH0002	28.823	29.105	단계에서	[]
2	4	5	AH0002	29.165	29.387	가장	[]
2	4	6	AH0002	29.467	29.709	어려운	[]
2	4	7	AH0002	29.749	29.85	게	[]
2	4	8	AH0002	29.87	30.172	입증	[]
2	4	9	AH0002	30.212	30.897	아니겠습니까?	[]
2	5	1	AH0002	31.582	31.882	특히	[]
2	5	2	AH0002	32.403	32.964	디지털	[]
2	5	3	AH0002	33.044	33.444	성범죄	[]
2	5	4	AH0002	33.524	34.185	피해자들이	[]
2	5	5	AH0002	34.405	34.645	범죄	[]
2	5	6	AH0002	34.725	34.886	피해를	[]
2	5	7	AH0002	34.966	35.647	신고하면	[]
2	5	8	AH0002	36.187	36.387	이미	[]
2	5	9	AH0002	36.447	36.527	뭐	[]
2	5	10	AH0002	36.628	37.168	개정이나	[]
2	5	11	AH0002	37.268	37.749	사이트가	[]
2	5	12	AH0002	37.829	38.53	없어졌거나,	[]
2	5	13	AH0002	38.97	39.331	텔레그램	[]
2	5	14	AH0002	39.491	39.691	방을	[]
