bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0002	1.5	1.77	CONTINUER	예.	[1]	[1]	[1]
2	SL0002	5.445	6.345	AFFIRMATIVE	이야. 그렇네요.	[1]	[1]	[4]
3	SL0002	10.215	10.75	ASSESSMENT	와.	[1]	[1]	[9]
4	SL0002	13.156	14.251	UNDERSTANDING	음.	[3]	[3]	[5]
5	SL0002	17.151	17.631	CONTINUER	네.	[3]	[3]	[15]
6	SL0001	17.682	20.532	AFFIRMATIVE	에. 네네네. 그렇죠.	[]	[]	[]
7	SL0002	21.432	21.722	CONTINUER	네.	[5]	[5]	[1]
8	SL0002	22.682	24.437	AFFIRMATIVE	맞습니다. 네.	[5]	[5]	[4]
9	SL0002	25.557	27.472	AFFIRMATIVE	그렇죠. 네. 그럼요.	[5]	[5]	[7]
10	SL0001	43.306	43.626	CONTINUER	네.	[8]	[9]	[7]
11	SL0001	45.996	46.771	UNDERSTANDING	아.	[8]	[9]	[13]
12	SL0002	51.184	51.549	CONTINUER	네네.	[11]	[12]	[6]
13	SL0002	51.929	52.224	CONTINUER	네.	[11]	[12]	[7]
14	SL0002	59.926	60.141	CONTINUER	네.	[11]	[13]	[20]
15	SL0001	62.242	62.442	CONTINUER	응.	[12]	[14]	[7]
16	SL0001	66.052	66.747	AFFIRMATIVE	그렇죠.	[12]	[14]	[16]
17	SL0001	69.801	70.181	CONTINUER	응.	[12]	[15]	[8]
18	SL0001	77.031	77.506	CONTINUER	음.	[12]	[16]	[11]
19	SL0001	86.894	87.444	CONTINUER	네.	[12]	[18]	[4]
20	SL0001	87.886	88.191	CONTINUER	어.	[12]	[19]	[1]
21	SL0001	89.169	89.519	ASSESSMENT	이야.	[12]	[19]	[4]
22	SL0002	106.421	106.747	CONTINUER	예.	[15]	[22]	[7]
23	SL0002	111.677	112.082	AFFIRMATIVE	그럼요.	[15]	[22]	[16]
24	SL0002	119.371	119.941	CONTINUER	음.	[15]	[24]	[1]
25	SL0002	121.796	122.291	AFFIRMATIVE	맞아요.	[15]	[24]	[5]
26	SL0002	129.306	129.696	CONTINUER	네.	[]	[]	[]
27	SL0002	138.097	138.402	CONTINUER	네.	[17]	[26]	[17]
28	SL0001	140.815	141.125	CONTINUER	네.	[18]	[27]	[8]
29	SL0001	144.245	144.705	CONTINUER	예예.	[18]	[27]	[16]
30	SL0001	146.695	147.005	CONTINUER	네.	[18]	[27]	[21]
31	SL0001	149.431	149.721	CONTINUER	오.	[18]	[28]	[8]
32	SL0002	151.746	152.046	CONTINUER	네.	[19]	[29]	[2]
33	SL0001	154.397	154.687	CONTINUER	네.	[20]	[30]	[4]
34	SL0001	162.087	162.412	CONTINUER	네.	[22]	[32]	[10]
35	SL0001	164.755	165.065	CONTINUER	응.	[]	[]	[]
36	SL0001	167.47	168.935	UNDERSTANDING	아. 네.	[24]	[34]	[7]
37	SL0001	172.94	173.29	CONTINUER	예.	[24]	[34]	[17]
38	SL0001	175.033	175.513	ASSESSMENT	아하.	[24]	[34]	[20]
39	SL0001	178.448	178.943	AFFIRMATIVE	맞네.	[24]	[35]	[7]
40	SL0002	193.991	194.246	CONTINUER	응.	[25]	[37]	[9]
41	SL0002	196.816	197.326	AFFIRMATIVE	맞아요.	[25]	[37]	[15]
42	SL0001	197.72	199.06	CONTINUER	어.	[]	[]	[]
43	SL0001	201.429	202.119	CONTINUER	네네. 네.	[26]	[38]	[10]
44	SL0001	204.788	205.208	CONTINUER	예.	[26]	[38]	[18]
45	SL0001	209.153	209.718	UNDERSTANDING	아.	[26]	[39]	[9]
46	SL0001	211.673	211.918	CONTINUER	네.	[26]	[39]	[14]
47	SL0001	213.983	214.298	CONTINUER	오.	[26]	[39]	[19]
48	SL0001	215.907	216.302	CONTINUER	예. 흐.	[26]	[39]	[26]
49	SL0001	220.736	221.086	CONTINUER	네.	[26]	[40]	[12]
50	SL0001	225.063	225.403	CONTINUER	네.	[28]	[42]	[6]
51	SL0001	227.528	227.913	CONTINUER	네.	[28]	[42]	[14]
52	SL0001	230.756	231.236	UNDERSTANDING	음.	[28]	[43]	[5]
53	SL0001	233.551	233.916	CONTINUER	네에.	[28]	[43]	[12]
54	SL0001	236.596	237.416	UNDERSTANDING	어. 허.	[28]	[43]	[18]
55	SL0002	240.365	240.74	CONTINUER	오. 네.	[29]	[44]	[9]
56	SL0002	244.975	245.37	CONTINUER	네.	[29]	[45]	[7]
57	SL0002	251.962	252.222	CONTINUER	응.	[29]	[46]	[4]
58	SL0002	255.322	256.237	AFFIRMATIVE	아. 맞아요.	[29]	[46]	[12]
