bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	21.363	21.648	CONTINUER	예.	[3]	[4]	[8]
2	AH0001	37.753	38.138	CONTINUER	음.	[4]	[6]	[15]
3	AH0001	43.012	43.777	UNDERSTANDING	아.	[6]	[8]	[6]
4	AH0002	53.127	53.452	CONTINUER	예.	[7]	[10]	[8]
5	AH0001	75.345	75.77	CONTINUER	네.	[8]	[13]	[8]
6	AH0001	78.045	78.87	AFFIRMATIVE	네네. 맞아요.	[8]	[13]	[15]
7	AH0001	86.607	87.267	CONTINUER	예.	[10]	[16]	[6]
8	AH0001	89.687	90.232	CONTINUER	네.	[10]	[16]	[13]
9	AH0001	91.18	92.365	AFFIRMATIVE	맞아요.	[10]	[16]	[15]
10	AH0001	96.366	96.751	CONTINUER	예.	[10]	[17]	[12]
11	AH0001	101.363	101.797	CONTINUER	음.	[10]	[18]	[9]
12	AH0001	109.653	109.833	CONTINUER	음.	[12]	[21]	[4]
13	AH0001	111.074	111.269	CONTINUER	음.	[12]	[21]	[7]
14	AH0001	113.439	113.764	CONTINUER	네.	[12]	[21]	[11]
15	AH0001	125.499	126.544	UNDERSTANDING	아.	[12]	[24]	[1]
16	AH0001	127.379	128.259	UNDERSTANDING	아.	[12]	[24]	[3]
17	AH0002	139.693	140.162	AFFIRMATIVE	그렇죠.	[13]	[27]	[4]
18	AH0002	146.949	147.254	AFFIRMATIVE	그렇죠.	[13]	[28]	[6]
19	AH0002	158.894	159.304	AFFIRMATIVE	그렇죠.	[13]	[29]	[19]
20	AH0001	164.992	165.162	CONTINUER	네.	[14]	[31]	[10]
21	AH0001	169.966	170.941	CONTINUER	네네네. 네	[14]	[32]	[8]
22	AH0001	174.994	175.792	AFFIRMATIVE	맞아요. 맞아요.	[14]	[33]	[11]
23	AH0001	178.797	179.837	AFFIRMATIVE	그러니까. 맞아. 맞아.	[14]	[34]	[10]
24	AH0001	207.2	207.49	CONTINUER	네.	[20]	[41]	[5]
25	AH0001	209.65	210.03	CONTINUER	네.	[20]	[41]	[11]
26	AH0001	212.826	213.741	UNDERSTANDING	아.	[20]	[42]	[6]
27	AH0001	216.161	216.561	CONTINUER	네.	[20]	[43]	[7]
28	AH0001	228.899	231.399	UNDERSTANDING	아.	[26]	[49]	[13]
29	AH0001	242.561	242.826	CONTINUER	네.	[26]	[51]	[8]
30	AH0001	247.679	249.009	UNDERSTANDING	아.	[26]	[52]	[6]
31	AH0002	254.065	254.39	CONTINUER	예.	[27]	[53]	[9]
32	AH0001	267.463	267.743	CONTINUER	음.	[28]	[55]	[10]
33	AH0001	270.077	270.467	CONTINUER	네.	[28]	[55]	[15]
34	AH0001	278.648	279.648	AFFIRMATIVE	맞습니다.	[28]	[56]	[20]
35	AH0001	281.993	283.013	UNDERSTANDING	음.	[28]	[57]	[9]
36	AH0001	284.993	285.708	UNDERSTANDING	음.	[28]	[57]	[14]
37	AH0001	292.597	293.528	UNDERSTANDING	음.	[28]	[59]	[1]
38	AH0001	308.226	309.045	AFFIRMATIVE	네. 맞습니다.	[30]	[61]	[6]
39	AH0001	312.915	313.115	CONTINUER	음.	[30]	[62]	[7]
40	AH0001	317.025	317.435	CONTINUER	음.	[30]	[62]	[19]
41	AH0002	356.945	357.595	CONTINUER	아. 네.	[39]	[73]	[7]
42	AH0001	379.161	379.496	CONTINUER	네.	[42]	[77]	[3]
43	AH0001	382.521	382.836	CONTINUER	네.	[42]	[77]	[9]
44	AH0001	385.126	385.476	CONTINUER	네.	[42]	[77]	[15]
45	AH0001	388.393	389.092	CONTINUER	네네네.	[42]	[78]	[9]
46	AH0001	395.823	396.478	UNDERSTANDING	네.	[42]	[79]	[12]
47	AH0001	408.777	409.612	UNDERSTANDING	아.	[44]	[82]	[14]
48	AH0001	411.074	411.499	CONTINUER	음.	[44]	[83]	[8]
49	AH0001	415.205	415.425	CONTINUER	음.	[44]	[83]	[17]
50	AH0001	433.742	434.802	UNDERSTANDING	음.	[46]	[86]	[11]
51	AH0001	441.984	442.399	CONTINUER	네.	[]	[]	[]
52	AH0001	444.99	445.26	CONTINUER	네.	[48]	[89]	[7]
53	AH0001	448.195	449.045	UNDERSTANDING	아.	[48]	[89]	[13]
54	AH0001	453.493	454.218	CONTINUER	네네.	[48]	[90]	[9]
55	AH0001	460.459	461.344	UNDERSTANDING	음.	[48]	[91]	[11]
56	AH0001	464.601	465.821	AFFIRMATIVE	그렇죠.	[48]	[92]	[8]
57	AH0001	476.75	476.89	CONTINUER	음.	[50]	[96]	[1]
58	AH0001	478.214	478.765	CONTINUER	네네.	[50]	[96]	[7]
59	AH0001	483.058	486.083	UNDERSTANDING	음. 음. 네네. 맞습니다.	[50]	[97]	[1]
60	AH0001	492.958	494.348	CONTINUER	네. 네.	[50]	[98]	[14]
61	AH0001	498.269	498.729	UNDERSTANDING	네.	[50]	[99]	[9]
62	AH0001	501.213	501.533	CONTINUER	음.	[50]	[100]	[4]
63	AH0001	506.408	507.673	UNDERSTANDING	아. 네네네네.	[50]	[101]	[3]
64	AH0001	516.44	516.845	UNDERSTANDING	음.	[50]	[102]	[14]
65	AH0002	538.799	539.059	CONTINUER	예.	[51]	[105]	[4]
66	AH0001	546.603	547.708	CONTINUER	네네.	[52]	[106]	[5]
67	AH0001	550.458	550.688	CONTINUER	음.	[52]	[106]	[15]
68	AH0001	553.282	553.957	UNDERSTANDING	아.	[52]	[107]	[4]
69	AH0001	554.902	555.212	CONTINUER	네.	[52]	[107]	[7]
70	AH0001	564.479	564.999	UNDERSTANDING	네.	[52]	[109]	[1]
71	AH0001	568.54	569.31	UNDERSTANDING	음.	[52]	[109]	[10]
72	AH0001	576.26	576.845	UNDERSTANDING	음.	[52]	[110]	[1]
73	AH0002	606.731	607.161	AFFIRMATIVE	그쵸.	[57]	[116]	[8]
74	AH0001	613.942	614.332	CONTINUER	네.	[58]	[117]	[8]
75	AH0001	615.927	616.247	CONTINUER	네.	[58]	[117]	[13]
76	AH0001	617.967	618.192	CONTINUER	음.	[58]	[118]	[2]
77	AH0001	643.752	643.952	CONTINUER	네.	[60]	[123]	[2]
78	AH0001	648.982	649.276	CONTINUER	네.	[60]	[123]	[12]
79	AH0001	650.386	651.231	UNDERSTANDING	아. 네.	[60]	[124]	[4]
