uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0002	0.5	0.881	그런데	[1]
1	1	2	AH0002	1.363	1.845	대법원에	[]
1	1	3	AH0002	1.925	2.246	근무하다	[]
1	1	4	AH0002	2.287	2.688	보니까	[]
1	1	5	AH0002	3.35	3.973	선택이라는	[]
1	1	6	AH0002	4.013	4.294	거야.	[]
2	2	1	AH0001	4.334	4.7	어머	[]
2	2	2	AH0001	4.842	4.903	전	[]
2	2	3	AH0001	5.004	5.146	그게	[]
2	2	4	AH0001	5.187	5.248	더	[]
2	2	5	AH0001	5.309	5.634	힘들어요.	[]
3	3	1	AH0002	5.634	5.714	예	[]
3	3	2	AH0002	5.774	6.115	저도요	[]
3	3	3	AH0002	6.936	7.096	어	[]
3	3	4	AH0002	7.136	7.496	예전에는	[]
3	3	5	AH0002	7.677	8.097	판사는	[]
3	3	6	AH0002	8.518	8.638	되게	[]
3	3	7	AH0002	8.678	8.918	높은	[]
3	3	8	AH0002	8.978	9.199	분인	[]
3	3	9	AH0002	9.279	9.339	줄	[]
3	3	10	AH0002	9.359	10.14	알았고요.	[]
3	4	1	AH0002	10.375	10.978	뭐든지	[]
3	4	2	AH0002	11.722	11.984	옳은	[]
3	4	3	AH0002	12.064	12.265	것만	[]
3	4	4	AH0002	12.326	12.567	말하는	[2]
3	4	5	AH0002	12.667	12.748	분인	[]
3	4	6	AH0002	12.768	12.788	줄	[]
3	4	7	AH0002	12.848	13.331	알았어요.	[]
3	5	1	AH0002	13.331	13.411	그런데	[]
3	5	2	AH0002	13.491	13.751	이제	[]
3	5	3	AH0002	13.891	13.951	제	[]
3	5	4	AH0002	14.071	14.252	친구가	[]
3	5	5	AH0002	14.392	14.692	판사가	[]
3	5	6	AH0002	14.772	15.072	되고	[]
3	5	7	AH0002	15.592	15.773	이제	[]
3	5	8	AH0002	15.833	15.993	나이	[]
3	5	9	AH0002	16.053	16.193	많은	[]
3	5	10	AH0002	16.313	16.853	판사들이	[]
3	5	11	AH0002	16.933	17.114	부장	[]
3	5	12	AH0002	17.194	17.434	판사가	[]
3	5	13	AH0002	17.474	17.534	제	[]
3	5	14	AH0002	17.634	17.874	친구가	[]
3	5	15	AH0002	17.914	19.935	되면서	[]
3	5	16	AH0002	19.935	19.995	쟤	[]
3	5	17	AH0002	19.995	20.236	얘기한	[]
3	5	18	AH0002	20.256	20.276	것	[]
3	5	19	AH0002	20.396	20.476	보면	[]
3	5	20	AH0002	20.596	20.656	꼭	[]
3	5	21	AH0002	20.736	21.016	그렇지도	[]
3	5	22	AH0002	21.076	21.476	않은데.	[]
3	6	1	AH0002	22.397	22.417	저	[]
3	6	2	AH0002	22.579	22.7	친구	[]
3	6	3	AH0002	22.841	23.568	어떻게	[]
3	6	4	AH0002	23.669	23.911	어떻게	[]
3	6	5	AH0002	24.012	24.315	판결을	[]
3	6	6	AH0002	24.376	24.557	하지?	[]
3	7	1	AH0002	24.968	25.008	뭐	[]
3	7	2	AH0002	25.049	25.19	이런	[]
3	7	3	AH0002	25.23	25.452	생각을	[]
3	7	4	AH0002	25.493	25.553	저도	[]
3	7	5	AH0002	25.614	25.674	한	[]
3	7	6	AH0002	25.735	25.836	번씩	[]
3	7	7	AH0002	25.876	25.957	할	[]
3	7	8	AH0002	26.018	26.119	때가	[]
3	7	9	AH0002	26.159	27.148	있거든요.	[3]
3	8	1	AH0002	27.148	27.534	아	[]
3	8	2	AH0002	27.696	27.96	그렇다.	[]
3	9	1	AH0002	28.671	29.433	판사는	[]
3	9	2	AH0002	29.493	29.934	정답만	[]
3	9	3	AH0002	30.094	30.355	법에	[]
3	9	4	AH0002	30.575	30.796	법에	[]
3	9	5	AH0002	30.856	31.036	나온	[]
3	9	6	AH0002	31.137	31.457	말만	[]
3	9	7	AH0002	31.537	31.938	가지고	[]
3	9	8	AH0002	32.44	32.78	판단을	[]
3	9	9	AH0002	32.84	32.981	하는	[]
3	9	10	AH0002	33.101	33.181	게	[]
3	9	11	AH0002	33.301	33.863	판사인데	[]
3	9	12	AH0002	34.444	35.326	대법원은요	[4]
