bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	1.19	2.385	CONTINUER	음. 네.	[1]	[1]	[3]
2	AH0001	22.827	24.232	CONTINUER	음. 네.	[4]	[5]	[3]
3	AH0002	28.638	28.853	CONTINUER	네.	[5]	[6]	[6]
4	AH0001	50.028	50.268	CONTINUER	음.	[8]	[9]	[12]
5	AH0001	52.513	52.803	CONTINUER	음.	[8]	[9]	[16]
6	AH0001	64.603	64.863	CONTINUER	네.	[10]	[13]	[12]
7	AH0001	68.637	68.847	CONTINUER	네.	[12]	[15]	[5]
8	AH0001	73.707	74.037	CONTINUER	음.	[12]	[17]	[1]
9	AH0001	79.306	79.46	CONTINUER	네.	[12]	[17]	[10]
10	AH0001	91.712	92.057	CONTINUER	네.	[14]	[20]	[9]
11	AH0002	99.979	100.234	CONTINUER	네.	[15]	[22]	[9]
12	AH0002	102.804	103.189	CONTINUER	어.	[15]	[22]	[15]
13	AH0001	112.071	112.721	AFFIRMATIVE	아. 그렇지.	[16]	[24]	[1]
14	AH0001	114.411	114.696	CONTINUER	네.	[16]	[24]	[3]
15	AH0001	116.361	117.216	AFFIRMATIVE	그렇지. 그렇지.	[16]	[24]	[7]
16	AH0001	122.442	123.422	UNDERSTANDING	음.	[16]	[26]	[1]
17	AH0001	126.457	126.747	CONTINUER	네.	[16]	[26]	[7]
18	AH0002	129.824	130.039	CONTINUER	네.	[17]	[27]	[3]
19	AH0002	132.359	132.699	CONTINUER	네.	[17]	[27]	[8]
20	AH0002	136.455	136.71	CONTINUER	네.	[17]	[28]	[7]
21	AH0002	140.62	140.865	CONTINUER	네.	[17]	[28]	[18]
22	AH0001	171.266	172.036	CONTINUER	음.	[24]	[39]	[1]
23	AH0002	188.435	188.725	CONTINUER	네.	[25]	[41]	[12]
24	AH0001	207.12	208.075	AFFIRMATIVE	아. 그렇지.	[26]	[44]	[16]
25	AH0001	209.425	209.655	CONTINUER	음.	[26]	[45]	[1]
26	AH0001	212.951	213.175	CONTINUER	네.	[26]	[45]	[5]
27	AH0001	216.266	216.436	CONTINUER	음.	[26]	[45]	[14]
28	AH0001	219.626	219.901	CONTINUER	어.	[26]	[45]	[14]
29	AH0001	223.152	224.677	CONTINUER	음음. 음.	[26]	[46]	[6]
30	AH0001	231.11	231.385	CONTINUER	음.	[26]	[47]	[10]
31	AH0002	243.145	243.415	CONTINUER	네.	[27]	[50]	[10]
32	AH0002	252.877	253.252	AFFIRMATIVE	그렇죠.	[29]	[52]	[12]
33	AH0002	262.51	262.716	CONTINUER	네.	[29]	[54]	[6]
34	AH0002	269.682	269.872	CONTINUER	네.	[29]	[56]	[9]
35	AH0002	274.282	274.542	CONTINUER	네.	[29]	[56]	[19]
36	AH0002	276.653	276.948	CONTINUER	네.	[29]	[57]	[5]
37	AH0001	288.14	288.429	CONTINUER	네.	[30]	[58]	[11]
38	AH0001	295.784	295.989	CONTINUER	네.	[32]	[60]	[10]
39	AH0001	298.349	298.779	CONTINUER	음.	[32]	[60]	[18]
40	AH0002	305.635	306.04	CONTINUER	네.	[33]	[61]	[13]
41	AH0002	309.695	310.43	AFFIRMATIVE	네. 그렇죠.	[33]	[61]	[25]
42	AH0002	316.0	316.485	CONTINUER	네.	[33]	[63]	[3]
