uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.569	0.829	@상호명91	[]
1	1	2	AH0001	0.91	1.511	공감시대	[]
1	1	3	AH0001	1.671	2.052	라디오	[]
1	1	4	AH0001	2.232	2.613	인문학	[]
1	1	5	AH0001	3.494	3.835	오늘은	[]
1	1	6	AH0001	4.256	4.857	인문학의	[]
1	1	7	AH0001	4.977	6.059	스포츠라는	[]
1	1	8	AH0001	6.199	6.74	키워드를	[]
1	1	9	AH0001	6.82	7.281	더해서	[]
1	1	10	AH0001	7.983	8.123	우리	[]
1	1	11	AH0001	8.223	8.764	사회의	[]
1	1	12	AH0001	9.004	9.505	변화와	[]
1	1	13	AH0001	10.147	10.167	또	[]
1	1	14	AH0001	10.307	10.768	스포츠로	[]
1	1	15	AH0001	10.828	11.028	읽는	[]
1	1	16	AH0001	11.148	11.349	시간을	[]
1	1	17	AH0001	11.549	11.97	가져볼까	[]
1	1	18	AH0001	11.99	13.152	합니다.	[]
1	2	1	AH0001	13.152	13.914	경기장을	[]
1	2	2	AH0001	14.274	14.816	뛰쳐나온	[]
1	2	3	AH0001	14.976	15.677	인문학의	[]
1	2	4	AH0001	15.778	16.138	저자	[]
1	2	5	AH0001	16.64	17.241	@이름3	[]
1	2	6	AH0001	17.421	17.722	교사	[]
1	2	7	AH0001	17.982	18.504	모셨습니다	[]
1	2	8	AH0001	18.664	18.844	어서	[]
1	2	9	AH0001	18.864	19.145	오세요.	[]
2	3	1	AH0002	19.145	19.346	네	[]
2	3	2	AH0002	19.366	19.868	안녕하세요	[]
2	3	3	AH0002	20.35	20.651	경기도	[]
2	3	4	AH0002	20.772	20.952	수원	[]
2	3	5	AH0002	21.474	22.237	화홍고등학교에서	[]
2	3	6	AH0002	22.298	22.679	근무하고	[]
2	3	7	AH0002	22.719	22.98	있는	[]
2	3	8	AH0002	23.282	24.868	@이름3입니다.	[]
3	4	1	AH0001	24.988	25.128	네	[]
3	4	2	AH0001	25.408	25.568	에	[]
3	4	3	AH0001	25.689	26.029	@이름3	[]
3	4	4	AH0001	26.149	26.649	선생님	[]
3	4	5	AH0001	26.99	27.21	어	[]
3	4	6	AH0001	27.31	28.171	말씀하셨다시피	[]
3	4	7	AH0001	28.231	28.331	지금	[]
3	4	8	AH0001	28.551	29.212	수원의	[]
3	4	9	AH0001	29.372	30.453	화홍고등학교에	[]
3	4	10	AH0001	30.553	30.833	근무하고	[]
3	4	11	AH0001	30.893	31.213	계시고	[]
3	5	1	AH0001	32.219	32.64	어	[]
3	5	2	AH0001	32.66	32.68	새	[]
