uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.48	1.7	어	[]
1	1	2	AH0001	1.88	2.04	그런	[]
1	1	3	AH0001	2.18	2.641	과정이	[]
1	1	4	AH0001	2.801	2.941	참	[]
1	1	5	AH0001	3.541	4.482	뭐랄까요.	[]
1	1	6	AH0001	4.662	4.802	무슨	[]
1	1	7	AH0001	5.583	5.803	어	[]
1	1	8	AH0001	6.143	6.864	스펙타클한	[]
1	1	9	AH0001	7.024	7.244	대하	[]
1	1	10	AH0001	7.324	7.704	드라마를	[]
1	1	11	AH0001	7.784	8.065	보는	[1]
1	1	12	AH0001	8.085	8.105	것	[]
1	1	13	AH0001	8.125	8.765	같아요.	[]
1	2	1	AH0001	9.984	10.365	그런	[]
1	2	2	AH0001	10.706	10.866	그	[]
1	2	3	AH0001	11.007	11.408	운동에	[]
1	2	4	AH0001	11.468	11.689	어떤	[]
1	2	5	AH0001	11.769	12.07	과정에	[]
1	2	6	AH0001	12.13	12.31	대한	[]
1	2	7	AH0001	12.41	13.614	것을	[]
1	2	8	AH0001	13.634	13.654	어	[]
1	2	9	AH0001	13.794	13.934	조금	[]
1	2	10	AH0001	14.015	14.315	설명해	[]
1	2	11	AH0001	14.396	15.258	주신다면요?	[]
2	3	1	AH0002	15.668	15.969	어	[]
2	3	2	AH0002	16.129	16.37	처음	[]
2	3	3	AH0002	16.45	17.132	독립선언과	[]
2	3	4	AH0002	17.192	17.533	만세	[]
2	3	5	AH0002	17.673	18.154	시위는	[]
2	3	6	AH0002	18.916	19.378	대도시	[]
2	3	7	AH0002	19.458	19.999	중심으로	[]
2	3	8	AH0002	20.34	20.581	시작이	[]
2	3	9	AH0002	20.621	21.122	됐습니다.	[2]
2	4	1	AH0002	21.142	21.302	그까	[]
2	4	2	AH0002	21.623	22.344	서울평양	[]
2	4	3	AH0002	22.624	22.785	이런	[]
2	4	4	AH0002	22.845	23.165	대도시	[]
2	4	5	AH0002	23.225	23.626	중심으로	[]
2	4	6	AH0002	23.686	24.287	시작됐고	[]
2	4	7	AH0002	24.888	25.148	이게	[]
2	4	8	AH0002	25.649	25.93	시간이	[]
2	4	9	AH0002	26.01	26.611	지나면서	[]
2	4	10	AH0002	27.372	27.792	지방의	[]
2	4	11	AH0002	27.953	28.534	중소도시	[3]
2	4	12	AH0002	29.014	29.295	그리고	[]
2	4	13	AH0002	29.435	29.695	시간이	[]
2	4	14	AH0002	29.756	30.216	지나면서	[]
2	4	15	AH0002	30.296	31.238	농촌지역으로까지	[]
2	4	16	AH0002	31.298	31.618	확산이	[]
2	4	17	AH0002	31.679	31.979	됩니다.	[]
2	5	1	AH0002	31.979	32.22	그래서	[]
2	5	2	AH0002	33.002	33.182	어	[]
2	5	3	AH0002	33.282	33.543	전국	[]
2	5	4	AH0002	33.623	34.265	각지에서	[]
2	5	5	AH0002	34.285	34.305	어	[]
2	5	6	AH0002	35.167	35.428	만세	[]
2	5	7	AH0002	35.528	35.809	시위가	[]
2	5	8	AH0002	35.989	36.491	일어나지	[]
2	5	9	AH0002	36.551	36.952	않은	[]
2	5	10	AH0002	37.313	37.573	지역이	[]
2	5	11	AH0002	37.754	37.974	거의	[]
2	5	12	AH0002	38.015	38.596	없습니다.	[]
2	6	1	AH0002	38.619	39.602	아주	[4]
2	6	2	AH0002	39.702	39.963	극히	[]
2	6	3	AH0002	40.083	40.424	일부	[]
2	6	4	AH0002	40.524	41.146	지역에서만	[]
2	6	5	AH0002	41.386	41.607	만세	[]
2	6	6	AH0002	41.667	41.868	시위가	[]
2	6	7	AH0002	41.928	42.269	벌어지지	[]
2	6	8	AH0002	42.329	42.77	않았고요.	[]
2	7	1	AH0002	42.77	42.95	만세	[5]
2	7	2	AH0002	43.311	43.632	시위가	[]
2	7	3	AH0002	43.692	44.073	벌어지는	[]
2	7	4	AH0002	44.133	44.394	곳은	[]
2	7	5	AH0002	44.534	45.597	전국적이었고	[]
2	7	6	AH0002	45.778	45.958	그런	[]
2	7	7	AH0002	46.54	47.081	전국적인	[]
2	7	8	AH0002	47.141	47.402	만세	[]
2	7	9	AH0002	47.522	47.823	시위에	[]
2	7	10	AH0002	47.843	48.605	그야말로	[]
2	7	11	AH0002	48.705	49.347	각계각층의	[]
2	7	12	AH0002	49.407	49.828	사람들이	[]
2	7	13	AH0002	50.028	50.67	참여했습니다.	[]
2	8	1	AH0002	50.692	51.316	너와	[6]
2	8	2	AH0002	51.376	51.597	나가	[]
2	8	3	AH0002	51.718	51.859	따로	[]
2	8	4	AH0002	51.899	52.362	없이	[7]
2	8	5	AH0002	52.483	52.845	참여한	[]
2	8	6	AH0002	52.905	53.247	거죠.	[]
2	9	1	AH0002	53.451	53.712	어	[]
2	9	2	AH0002	53.812	53.972	그런	[]
2	9	3	AH0002	53.992	54.353	의미에서	[]
2	9	4	AH0002	54.373	54.513	인제	[]
2	9	5	AH0002	54.574	55.275	삼일운동은	[]
2	9	6	AH0002	55.876	56.197	굉장히	[]
2	9	7	AH0002	56.317	56.638	중요한	[]
2	9	8	AH0002	56.698	56.959	의미를	[]
2	9	9	AH0002	57.039	57.941	갖습니다.	[8]
3	10	1	AH0001	58.59	58.81	그런	[]
3	10	2	AH0001	58.911	59.391	과정에서	[]
3	10	3	AH0001	59.491	60.453	안타깝게도	[]
3	10	4	AH0001	60.794	61.174	목숨을	[]
3	10	5	AH0001	61.234	61.775	잃은	[9]
3	10	6	AH0001	62.016	62.476	분들도	[]
3	10	7	AH0001	62.556	62.797	많지	[]
3	10	8	AH0001	62.817	63.498	않습니까.	[10]
3	10	9	AH0001	64.119	64.279	어	[]
3	10	10	AH0001	64.44	65.121	조금전의	[]
3	10	11	AH0001	65.241	65.541	그	[]
3	10	12	AH0001	65.942	66.483	독립운동가	[]
3	10	13	AH0001	66.543	67.304	인명사전	[11]
3	10	14	AH0001	67.344	67.625	말씀을	[]
3	10	15	AH0001	67.645	68.606	해주셨습니다마는	[]
3	10	16	AH0001	69.227	69.428	어떤	[]
3	10	17	AH0001	69.568	69.989	거대한	[]
3	10	18	AH0001	70.049	70.369	운동에	[]
3	10	19	AH0001	70.469	71.591	참여하시지는	[]
3	10	20	AH0001	71.691	72.072	않았다고	[]
3	10	21	AH0001	72.112	72.553	할지라도	[]
3	11	1	AH0001	72.928	73.008	평범한	[]
3	11	2	AH0001	73.589	73.709	우리	[]
