uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.741	오	[]
1	1	2	AH0001	0.761	0.781	월	[]
1	1	3	AH0001	0.841	1.082	삼십	[]
1	1	4	AH0001	1.122	1.222	일	[]
1	1	5	AH0001	1.363	1.684	@상호명91	[]
1	1	6	AH0001	1.744	2.386	공감시대	[]
1	1	7	AH0001	2.667	2.868	저는	[]
1	1	8	AH0001	3.169	4.212	@이름201입니다.	[]
1	2	1	AH0001	4.212	4.593	트렌드와	[]
1	2	2	AH0001	4.693	5.134	통하다	[]
1	2	3	AH0001	5.434	6.075	@이름1	[]
1	2	4	AH0001	6.175	6.936	문화평론가	[]
1	2	5	AH0001	7.257	8.138	@상호명1	[]
1	2	6	AH0001	8.199	8.479	대표와	[]
1	2	7	AH0001	8.519	8.98	함께합니다	[]
1	2	8	AH0001	9.18	9.34	어서	[]
1	2	9	AH0001	9.36	9.701	오십시오.	[]
2	3	1	AH0002	9.701	9.822	네	[]
2	3	2	AH0002	9.882	11.052	안녕하세요.	[]
3	4	1	AH0001	11.052	11.393	목요일의	[]
3	4	2	AH0001	11.453	11.774	남자	[]
3	4	3	AH0001	12.256	12.778	@이름1	[]
3	4	4	AH0001	12.798	13.3	문화평론가	[]
3	4	5	AH0001	13.46	14.564	오셨습니다.	[]
3	5	1	AH0001	14.565	14.767	오늘도	[]
3	5	2	AH0001	14.827	15.13	트렌드	[]
4	6	1	AH0002	16.264	16.366	세	[]
4	6	2	AH0002	16.427	16.692	가지	[]
4	6	3	AH0002	17.2	17.628	준비했습니다.	[]
5	7	1	AH0001	17.628	18.291	준비하셨죠	[]
5	7	2	AH0001	18.833	18.913	첫	[]
5	7	3	AH0001	18.993	19.194	번째	[]
5	7	4	AH0001	19.254	19.576	트렌드	[]
5	7	5	AH0001	19.696	19.857	어떤	[]
5	7	6	AH0001	19.917	20.138	거죠?	[]
6	8	1	AH0002	20.138	20.54	어	[]
6	8	2	AH0002	21.182	21.805	부모는	[]
6	8	3	AH0002	22.408	22.769	누가	[]
6	8	4	AH0002	23.171	23.472	모셔야	[]
6	8	5	AH0002	23.532	23.814	하는가?	[]
6	9	1	AH0002	24.858	24.978	이	[]
6	9	2	AH0002	25.319	25.58	질문에	[]
6	9	3	AH0002	25.62	25.8	대해서	[]
6	9	4	AH0002	25.82	25.981	어떻게	[]
6	9	5	AH0002	26.001	27.985	답변하시겠습니까?	[]
7	10	1	AH0001	27.985	28.145	왜	[]
7	10	2	AH0001	28.226	28.446	이런	[]
7	10	3	AH0001	28.546	28.827	질문이	[]
7	10	4	AH0001	28.887	29.288	나오는진	[]
7	10	5	AH0001	29.368	30.23	모르겠어요.	[2]
7	11	1	AH0001	30.518	30.879	그런데	[]
7	11	2	AH0001	31.06	31.261	이런	[]
7	11	3	AH0001	31.381	31.642	질문이	[]
7	11	4	AH0001	31.723	32.124	나오는	[]
7	11	5	AH0001	33.168	33.47	사회적	[]
7	11	6	AH0001	33.65	33.931	여건이	[]
7	11	7	AH0001	33.992	34.072	된	[]
7	11	8	AH0001	34.132	34.172	것	[]
7	11	9	AH0001	34.233	34.594	같애요.	[]
8	12	1	AH0002	34.644	35.173	그렇습니다.	[3]
8	12	2	AH0002	35.764	35.784	아	[]
8	13	1	AH0002	35.819	36.581	달라지고	[]
8	13	2	AH0002	36.641	36.962	있는	[]
8	13	3	AH0002	37.304	38.166	부모의	[]
8	13	4	AH0002	38.768	39.049	부양	[]
8	13	5	AH0002	39.611	40.513	문제	[]
8	13	6	AH0002	40.533	40.553	예	[]
8	13	7	AH0002	40.894	41.396	세대들별로	[]
8	13	8	AH0002	41.456	41.657	쪼끔씩	[]
8	13	9	AH0002	41.717	41.877	다른	[]
8	13	10	AH0002	41.918	42.218	생각들을	[]
8	13	11	AH0002	42.259	42.379	하고	[]
8	13	12	AH0002	42.439	42.559	있는	[]
8	13	13	AH0002	42.58	42.6	것	[]
8	13	14	AH0002	42.62	43.061	같은데요.	[4]
8	14	1	AH0002	43.715	44.621	노노간병이란	[]
8	14	2	AH0002	44.681	44.802	말	[]
8	14	3	AH0002	44.902	45.667	들어보셨죠?	[]
9	15	1	AH0001	45.667	46.473	노노간병	[]
10	16	1	AH0002	46.681	46.922	예	[5]
10	16	2	AH0002	47.403	47.503	이게	[]
10	16	3	AH0002	47.683	48.405	고령사회	[]
10	16	4	AH0002	48.525	49.267	일본에서	[]
10	16	5	AH0002	49.427	49.868	만들어진	[]
10	16	6	AH0002	49.929	50.971	말인데요.	[]
10	17	1	AH0002	50.971	52.072	노노간병이라는	[]
10	17	2	AH0002	52.152	52.373	말은	[]
10	17	3	AH0002	52.393	53.874	노년의	[]
10	17	4	AH0002	54.034	54.495	자녀가	[]
10	17	5	AH0002	54.996	55.736	노년의	[]
10	17	6	AH0002	56.037	56.517	부모를	[]
10	17	7	AH0002	56.537	58.94	간병한다란	[6]
10	17	8	AH0002	59.0	59.781	뜻입니다.	[7]
10	18	1	AH0002	60.367	60.808	자택	[]
