bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	3.434	4.005	CONTINUER	네. 네.	[1]	[1]	[5]
2	AH0002	11.116	11.826	AFFIRMATIVE	그러네요.	[1]	[2]	[16]
3	AH0001	20.295	20.489	CONTINUER	네.	[2]	[6]	[6]
4	AH0001	28.85	29.62	AFFIRMATIVE	그렇겠죠.	[2]	[7]	[17]
5	AH0001	40.431	40.796	CONTINUER	네.	[2]	[10]	[1]
6	AH0001	41.741	42.071	CONTINUER	네.	[2]	[10]	[4]
7	AH0001	48.905	49.245	CONTINUER	네.	[2]	[11]	[13]
8	AH0001	60.456	60.656	CONTINUER	네.	[2]	[14]	[1]
9	AH0001	62.391	62.746	CONTINUER	예.	[2]	[14]	[6]
10	AH0001	79.155	80.07	AFFIRMATIVE	그래요. 네.	[2]	[16]	[22]
