uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.482	지금	[]
1	1	2	DG0001	0.542	0.863	우리는	[]
1	1	3	DG0001	0.944	1.627	영토주권이	[]
1	1	4	DG0001	1.667	1.988	아니라	[]
1	1	5	DG0001	2.189	2.671	기술주권	[]
1	1	6	DG0001	2.731	2.912	시대에	[]
1	1	7	DG0001	2.972	3.173	살고	[]
1	1	8	DG0001	3.193	3.414	있다고	[]
1	1	9	DG0001	3.434	3.976	합니다.	[]
1	2	1	DG0001	3.976	4.859	국가의	[]
1	2	2	DG0001	4.919	5.1	미래	[]
1	2	3	DG0001	5.642	5.822	과학	[]
1	2	4	DG0001	5.923	6.224	인재에	[]
1	2	5	DG0001	6.284	6.404	달려	[]
1	2	6	DG0001	6.464	6.705	있다는	[]
1	2	7	DG0001	6.786	7.006	말은	[]
1	2	8	DG0001	7.147	7.448	그래서	[]
1	2	9	DG0001	7.468	7.889	나오는	[]
1	2	10	DG0001	7.97	8.09	말일	[]
1	2	11	DG0001	8.19	8.21	것	[]
1	2	12	DG0001	8.351	8.993	같은데요.	[]
1	3	1	DG0001	8.993	10.114	우리나라	[]
1	3	2	DG0001	10.254	10.795	과학교육의	[]
1	3	3	DG0001	10.895	11.295	현주소가	[]
1	3	4	DG0001	11.355	11.836	어디인지	[]
1	3	5	DG0001	11.856	11.876	한	[]
1	3	6	DG0001	12.476	12.817	번쯤	[]
1	3	7	DG0001	12.977	13.317	점검이	[]
1	3	8	DG0001	13.417	13.577	필요할	[]
1	3	9	DG0001	13.637	13.677	것	[]
1	3	10	DG0001	13.717	14.318	같습니다.	[]
1	4	1	DG0001	14.319	15.141	이비에스	[]
1	4	2	DG0001	15.221	15.341	교육	[]
1	4	3	DG0001	15.422	15.702	초대석	[]
1	4	4	DG0001	16.163	16.424	오늘은	[]
1	4	5	DG0001	16.484	16.725	그래서	[]
1	4	6	DG0001	16.845	18.148	국립과천과학관의	[]
1	4	7	DG0001	18.309	18.529	관장	[]
1	4	8	DG0001	18.569	19.03	모셨습니다	[]
1	4	9	DG0001	19.05	19.692	안녕하십니까?	[1]
1	5	1	DG0001	20.197	20.401	예	[]
1	5	2	DG0001	20.421	20.706	관장님	[]
1	5	3	DG0001	20.767	21.521	건강하시지요?	[2]
1	6	1	DG0001	22.558	23.159	건강을	[]
1	6	2	DG0001	23.219	23.58	유지하시는	[]
1	6	3	DG0001	23.66	24.101	비결부터	[]
1	6	4	DG0001	24.121	25.624	여쭤보겠습니다.	[]
2	7	1	DG0002	25.964	26.345	젊은	[]
2	7	2	DG0002	26.425	27.066	사람들하고	[]
2	7	3	DG0002	28.55	28.951	많이	[]
2	7	4	DG0002	29.151	29.452	대화를	[]
2	7	5	DG0002	29.472	30.053	나누면은	[]
2	7	6	DG0002	30.735	31.155	젊어지는	[]
2	7	7	DG0002	31.176	31.196	것	[]
2	7	8	DG0002	31.236	31.837	같습니다.	[]
2	8	1	DG0002	31.837	32.718	그래서	[]
2	8	2	DG0002	32.738	33.359	제가	[]
2	8	3	DG0002	33.58	34.541	과천과학관에	[]
2	8	4	DG0002	35.503	35.583	나	[]
2	8	5	DG0002	35.623	35.683	이	[]
2	8	6	DG0002	35.783	36.204	분들	[]
2	8	7	DG0002	37.305	37.686	손자	[]
2	8	8	DG0002	37.806	38.026	아들	[]
2	8	9	DG0002	38.106	38.647	데려오면	[]
2	8	10	DG0002	38.687	38.928	이십	[]
