uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	1.28	1.681	대표님	[]
1	1	2	SL0001	1.781	2.223	동영상	[]
1	1	3	SL0001	2.323	2.624	채널을	[]
1	1	4	SL0001	2.704	3.085	보면	[]
1	1	5	SL0001	3.185	3.386	이런	[]
1	1	6	SL0001	3.466	3.687	문장이	[]
1	1	7	SL0001	3.707	4.208	있더라구요.	[]
1	1	8	SL0001	4.469	5.211	주식투자는	[]
1	1	9	SL0001	5.331	5.793	디테일에	[]
1	1	10	SL0001	5.833	6.133	있다.	[]
1	1	11	SL0001	6.775	7.176	우리도	[]
1	1	12	SL0001	7.297	7.377	뭐	[]
1	1	13	SL0001	7.497	7.878	악마는	[]
1	1	14	SL0001	7.959	8.38	디테일에	[]
1	1	15	SL0001	8.4	8.58	있다.	[]
1	1	16	SL0001	8.62	8.741	이런	[]
1	1	17	SL0001	8.821	8.981	얘기	[]
1	1	18	SL0001	9.021	9.342	하는데	[]
1	2	1	SL0001	9.584	10.393	구체적으로	[]
1	2	2	SL0001	10.534	10.756	무슨	[]
1	2	3	SL0001	10.817	11.383	뜻이에요?	[]
2	3	1	SL0002	12.028	12.188	아	[]
2	3	2	SL0002	12.288	12.569	우리가	[]
2	3	3	SL0002	12.729	13.189	기업은	[]
2	3	4	SL0002	13.289	13.59	하나의	[]
2	3	5	SL0002	13.69	14.21	생물이라고	[]
2	3	6	SL0002	14.29	15.091	생각합니다.	[]
2	3	7	SL0002	15.492	15.712	그렇기	[]
2	3	8	SL0002	15.772	16.012	때문에	[]
2	3	9	SL0002	16.032	16.252	우리가	[]
2	3	10	SL0002	16.392	16.813	대강은	[]
2	3	11	SL0002	16.893	17.073	알고	[]
2	3	12	SL0002	17.193	18.254	투자할	[]
2	3	13	SL0002	18.394	18.495	수가	[]
2	3	14	SL0002	18.555	18.915	없듯이	[]
2	3	15	SL0002	19.395	19.616	우리가	[]
2	3	16	SL0002	19.636	20.176	아파트를	[]
2	3	17	SL0002	20.276	20.697	사더라도	[]
2	4	1	SL0002	20.917	21.558	직접	[]
2	4	2	SL0002	21.638	21.879	가서	[]
2	4	3	SL0002	22.019	22.279	보고	[]
2	4	4	SL0002	22.8	22.88	그	[]
2	4	5	SL0002	23.061	23.381	주위에	[]
2	4	6	SL0002	23.481	23.762	도로가	[]
2	4	7	SL0002	23.802	24.082	어떻게	[]
2	4	8	SL0002	24.142	24.804	생기는지	[]
2	4	9	SL0002	24.904	25.144	아니면	[]
2	4	10	SL0002	25.244	25.545	지하철	[]
2	4	11	SL0002	25.565	25.785	역까지	[]
2	4	12	SL0002	25.865	26.166	걸어서	[]
2	4	13	SL0002	26.246	27.087	얼마나	[]
2	4	14	SL0002	27.168	27.548	되는지.	[]
2	4	15	SL0002	28.109	28.65	아니면	[]
2	4	16	SL0002	28.75	29.211	학교는	[]
2	4	17	SL0002	29.311	29.672	학군은	[]
2	4	18	SL0002	29.752	30.213	어떤지	[]
2	5	1	SL0002	30.333	30.673	주변	[]
2	5	2	SL0002	30.794	31.715	커뮤니티나	[]
2	5	3	SL0002	31.795	31.815	뭐	[]
2	5	4	SL0002	31.895	32.515	환경이나	[]
2	5	5	SL0002	32.535	32.555	뭐	[]
2	5	6	SL0002	32.736	33.096	공원은	[]
2	5	7	SL0002	33.176	33.456	어디에	[]
2	5	8	SL0002	33.496	34.037	있는지까지	[]
2	5	9	SL0002	34.117	34.618	확인하고	[]
2	5	10	SL0002	35.979	36.56	앞으로의	[]
2	5	11	SL0002	36.68	37.361	성장성까지	[]
2	5	12	SL0002	37.461	37.681	보고	[]
2	5	13	SL0002	37.701	37.741	인제	[]
2	5	14	SL0002	37.841	38.322	아파트를	[]
2	5	15	SL0002	38.462	38.842	구매하게	[]
2	5	16	SL0002	38.922	39.443	되는데요.	[]
2	6	1	SL0002	39.991	40.412	그것보다	[]
2	6	2	SL0002	40.492	41.073	변동성이	[]
2	6	3	SL0002	41.174	41.234	더	[]
2	6	4	SL0002	41.394	41.494	큰	[]
2	6	5	SL0002	41.755	41.975	주식	[]
2	6	6	SL0002	42.196	43.098	기업들은	[]
2	6	7	SL0002	43.258	43.78	매일매일	[]
2	6	8	SL0002	43.9	44.301	변하기	[]
2	6	9	SL0002	44.421	44.822	때문에	[]
2	6	10	SL0002	45.263	45.564	어떤	[]
2	6	11	SL0002	45.664	45.904	날은	[]
2	6	12	SL0002	46.185	46.566	대규모	[]
2	6	13	SL0002	46.666	46.847	수주	[]
2	6	14	SL0002	46.927	47.288	공천을	[]
2	6	15	SL0002	47.368	47.688	받기도	[]
2	6	16	SL0002	47.769	47.969	하고	[]
2	7	1	SL0002	48.565	48.885	어떤	[]
2	7	2	SL0002	48.985	49.286	날은	[]
2	7	3	SL0002	49.306	49.326	뭐	[]
2	7	4	SL0002	49.766	50.427	퇴출되기도	[]
2	7	5	SL0002	50.507	50.807	하고	[]
2	7	6	SL0002	50.887	51.228	이렇기	[]
2	7	7	SL0002	51.388	51.828	때문에	[]
2	7	8	SL0002	52.769	53.189	아주	[]
2	7	9	SL0002	53.35	53.45	깊이	[]
2	7	10	SL0002	53.55	54.09	들어가서	[]
2	7	11	SL0002	54.271	54.651	기업의	[]
2	7	12	SL0002	54.771	55.472	하나하나	[]
2	7	13	SL0002	56.132	56.673	우린	[]
2	7	14	SL0002	57.033	57.354	기업을	[]
2	7	15	SL0002	57.494	57.954	소유하는	[]
2	7	16	SL0002	58.014	58.294	것은	[]
2	7	17	SL0002	58.415	58.715	뭐냐면	[]
2	8	1	SL0002	58.876	59.557	기업의	[]
2	8	2	SL0002	59.777	60.318	주인이라고	[]
2	8	3	SL0002	60.398	60.999	생각하고	[]
2	8	4	SL0002	61.459	61.8	기업과	[]
2	8	5	SL0002	61.9	62.441	동행하는	[]
2	8	6	SL0002	62.521	62.881	건데도	[]
2	8	7	SL0002	62.981	63.582	불구하고	[]
2	8	8	SL0002	64.043	64.323	기업의	[]
2	8	9	SL0002	64.423	65.104	가치를	[]
2	8	10	SL0002	65.264	65.685	알거나	[]
2	8	11	SL0002	65.785	66.025	기업이	[]
2	8	12	SL0002	66.105	66.285	하는	[]
2	8	13	SL0002	66.345	66.546	일을	[]
2	8	14	SL0002	66.626	66.886	알기	[]
2	8	15	SL0002	67.807	68.108	보다는	[]
2	9	1	SL0002	68.862	69.408	계속해서	[]
2	9	2	SL0002	69.509	69.994	가격만	[]
2	9	3	SL0002	70.115	70.257	보고	[]
2	9	4	SL0002	70.297	70.641	있다는	[]
2	9	5	SL0002	70.722	71.126	거죠.	[]
2	10	1	SL0002	71.126	71.346	그래서	[]
2	10	2	SL0002	72.087	72.567	우리가	[]
2	10	3	SL0002	72.747	72.928	좋은	[]
2	10	4	SL0002	73.028	73.348	기업을	[]
2	10	5	SL0002	73.868	74.069	어	[]
2	10	6	SL0002	74.229	74.629	소유하기	[]
2	10	7	SL0002	74.729	75.11	위해서는	[]
2	10	8	SL0002	75.35	75.65	기업의	[]
2	10	9	SL0002	75.75	76.351	속속들이	[]
2	10	10	SL0002	76.751	77.051	기업이	[]
