uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.63	1.096	이게	[]
1	1	2	AH0001	1.137	1.643	선조실록에	[]
1	1	3	AH0001	1.684	1.988	나와있는	[]
1	1	4	AH0001	2.049	2.434	기록입니다.	[]
1	2	1	AH0001	2.519	2.905	네	[]
1	2	2	AH0001	3.351	3.696	여섯째	[]
1	2	3	AH0001	3.737	3.899	아들	[]
2	3	1	AH0002	4.0	4.5	예	[1]
2	3	2	AH0002	4.52	4.701	그냥	[]
2	3	3	AH0002	4.801	4.981	왠만한	[]
2	3	4	AH0002	5.061	5.441	권력자	[]
2	3	5	AH0002	5.521	5.762	더더욱	[]
2	3	6	AH0002	5.902	6.402	왕족이란	[]
2	3	7	AH0002	6.462	6.763	사람은	[]
2	3	8	AH0002	6.843	7.283	어느정도의	[]
2	3	9	AH0002	7.343	7.643	수준인데	[]
2	3	10	AH0002	7.824	8.224	얼마나	[]
2	3	11	AH0002	8.424	9.385	심각하면	[2]
2	3	12	AH0002	9.926	10.186	이런	[]
2	3	13	AH0002	10.286	10.586	정도의	[]
2	3	14	AH0002	10.686	10.967	기록이	[]
2	3	15	AH0002	11.007	11.327	남고	[]
2	3	16	AH0002	11.527	11.807	실제	[]
2	3	17	AH0002	11.867	11.988	그럴	[]
2	3	18	AH0002	12.068	12.328	정도로	[]
2	3	19	AH0002	12.428	13.029	어마어마한	[]
2	3	20	AH0002	13.189	13.429	나쁜	[]
2	3	21	AH0002	13.469	13.649	짓을	[]
2	3	22	AH0002	13.749	13.989	엄청	[]
2	3	23	AH0002	14.029	14.15	많이	[]
2	3	24	AH0002	14.19	14.59	했어요.	[]
2	4	1	AH0002	14.69	15.378	그러니까	[3]
2	4	2	AH0002	15.52	15.762	오늘	[]
2	4	3	AH0002	15.864	16.329	보세요	[]
2	5	1	AH0002	16.812	17.413	선조의	[]
2	5	2	AH0002	17.693	17.954	딸의	[]
2	5	3	AH0002	18.214	19.015	부마야	[4]
2	5	4	AH0002	20.618	20.818	근데	[]
2	5	5	AH0002	20.898	21.359	불러가지고	[]
2	5	6	AH0002	21.499	21.739	누가	[]
2	5	7	AH0002	21.799	22.02	봐도	[]
2	5	8	AH0002	22.1	22.3	말도	[]
2	5	9	AH0002	22.32	22.621	안되는	[]
2	5	10	AH0002	22.701	23.021	정말	[]
2	5	11	AH0002	23.362	23.462	똥	[]
2	5	12	AH0002	23.582	23.742	거름	[]
2	5	13	AH0002	23.862	24.043	지고	[]
2	5	14	AH0002	24.083	24.363	다니는	[]
2	5	15	AH0002	24.543	25.044	진짜	[]
2	5	16	AH0002	25.144	25.224	이	[]
2	5	17	AH0002	25.345	25.705	장애가	[]
2	5	18	AH0002	25.745	25.966	있는	[]
2	5	19	AH0002	26.066	26.086	말	[5]
2	6	1	AH0002	27.204	28.147	어마어마하게	[]
2	6	2	AH0002	28.248	28.468	누가	[]
2	6	3	AH0002	28.549	28.75	봐도	[]
2	6	4	AH0002	28.83	29.051	좋은	[]
2	6	5	AH0002	29.372	29.673	말하고	[]
2	6	6	AH0002	29.813	30.235	바꿨대	[]
2	7	1	AH0002	30.576	31.617	이건	[6]
2	7	2	AH0002	31.698	31.858	정말	[]
2	7	3	AH0002	31.958	32.158	죽을	[]
2	7	4	AH0002	32.198	32.439	일이요	[]
2	7	5	AH0002	32.499	33.08	잘못하면	[]
2	7	6	AH0002	33.4	33.58	진짜	[7]
2	7	7	AH0002	34.041	34.301	큰일인	[]
2	7	8	AH0002	34.361	34.502	것을	[]
2	7	9	AH0002	34.522	34.862	제발	[]
2	7	10	AH0002	34.922	35.163	잘못	[]
2	7	11	AH0002	35.203	35.843	했습니다라고	[]
2	7	12	AH0002	35.964	36.144	계속	[]
2	7	13	AH0002	36.565	36.745	그냥	[]
2	7	14	AH0002	36.865	37.025	그래서	[]
2	7	15	AH0002	37.145	37.446	중간에	[]
2	7	16	AH0002	37.526	37.666	뭐라고	[]
2	7	17	AH0002	37.686	37.926	그럽니까	[]
2	7	18	AH0002	38.287	38.447	제가	[]
2	7	19	AH0002	38.768	38.948	정말	[]
2	7	20	AH0002	39.008	39.689	잘못했다면	[]
2	7	21	AH0002	39.789	39.989	우리	[]
2	7	22	AH0002	40.09	40.45	종놈을	[]
2	7	23	AH0002	40.55	40.971	잘못해서	[]
2	8	1	AH0002	41.465	41.826	차라리	[]
2	8	2	AH0002	41.906	41.986	그냥	[]
2	8	3	AH0002	42.086	42.426	환청이	[]
2	8	4	AH0002	42.466	43.027	잘못됐다고	[]
2	8	5	AH0002	43.107	43.308	저를	[]
2	8	6	AH0002	43.388	43.768	고소해서	[]
2	8	7	AH0002	43.829	44.63	혼내세요	[]
2	8	8	AH0002	44.65	44.67	왜	[8]
2	8	9	AH0002	44.95	45.451	이러세요	[]
2	8	10	AH0002	45.691	46.012	이거는	[]
2	9	1	AH0002	46.895	47.157	정말	[]
2	9	2	AH0002	48.043	48.224	그러나	[]
2	9	3	AH0002	48.264	48.445	사실	[]
2	9	4	AH0002	48.506	48.647	그런	[]
2	9	5	AH0002	48.707	48.768	게	[]
2	9	6	AH0002	48.868	49.311	아니었던	[]
2	9	7	AH0002	49.372	49.875	거죠.	[9]
2	10	1	AH0002	50.38	50.4	자	[]
2	10	2	AH0002	50.561	50.802	오늘	[]
2	10	3	AH0002	51.043	51.384	핵심인	[]
2	10	4	AH0002	51.867	52.369	금양이	[]
2	10	5	AH0002	52.509	52.911	방미는	[]
2	10	6	AH0002	53.072	53.172	왜	[]
2	10	7	AH0002	53.273	53.815	계속해서	[]
2	10	8	AH0002	53.916	54.056	말	[]
2	10	9	AH0002	54.177	54.438	값을	[]
2	10	10	AH0002	54.538	54.639	더	[]
2	10	11	AH0002	54.739	55.563	올려줬을까요?	[]
2	11	1	AH0002	55.967	55.987	맨	[]
2	11	2	AH0002	56.007	56.388	처음에	[]
2	11	3	AH0002	56.408	56.428	한	[]
2	11	4	AH0002	56.528	56.849	칠천	[]
2	11	5	AH0002	56.93	57.05	냥	[]
2	11	6	AH0002	57.15	57.351	정도	[]
2	11	7	AH0002	57.411	57.511	되는	[]
2	11	8	AH0002	57.571	57.631	걸	[]
2	11	9	AH0002	57.692	58.233	좋잖아요.	[]
2	12	1	AH0002	58.429	58.509	드는	[10]
2	12	2	AH0002	58.549	58.57	거	[]
2	12	3	AH0002	58.65	58.71	줬	[]
2	12	4	AH0002	58.811	59.011	잖아요	[]
2	12	5	AH0002	59.453	59.513	그	[]
2	12	6	AH0002	59.534	59.674	담에	[]
2	12	7	AH0002	59.754	60.016	삼백	[]
2	12	8	AH0002	60.096	60.196	냥	[]
2	12	9	AH0002	60.297	60.477	주고	[]
2	12	10	AH0002	60.759	60.979	심지어	[]
2	12	11	AH0002	61.0	61.241	나중에	[]
2	12	12	AH0002	61.321	61.522	오백	[]
2	12	13	AH0002	61.602	61.682	냥	[]
2	12	14	AH0002	61.702	61.863	주고	[]
2	12	15	AH0002	61.943	62.265	천오백	[]
2	12	16	AH0002	62.365	62.526	냥을	[]
2	12	17	AH0002	62.566	63.048	줬습니다.	[]
2	13	1	AH0002	64.11	64.431	값으로	[]
2	13	2	AH0002	64.491	64.672	치면	[]
2	13	3	AH0002	64.772	64.913	천	[]
2	13	4	AH0002	64.973	65.073	냥	[]
2	13	5	AH0002	65.134	66.017	정도였잖아요	[11]
2	13	6	AH0002	66.037	66.277	그런데	[]
2	13	7	AH0002	66.358	66.478	왜	[]
2	13	8	AH0002	66.578	66.679	더	[]
2	13	9	AH0002	66.759	67.0	줬을	[]
2	13	10	AH0002	67.06	67.221	거예요	[]
2	13	11	AH0002	67.301	67.803	계속해서	[12]
2	14	1	AH0002	68.189	69.053	그	[]
2	14	2	AH0002	69.093	69.575	사람이	[]
2	14	3	AH0002	69.595	69.796	계속	[]
2	14	4	AH0002	69.896	70.198	궁금해	[]
2	14	5	AH0002	70.278	70.479	하니까	[]
2	14	6	AH0002	70.559	70.62	준	[]
2	14	7	AH0002	70.68	70.76	게	[]
2	14	8	AH0002	70.78	71.082	있지만	[]
2	14	9	AH0002	71.102	71.383	이게	[]
2	14	10	AH0002	71.483	71.704	되게	[]
2	14	11	AH0002	72.066	72.568	산술적으로	[]
2	14	12	AH0002	72.588	72.628	보면	[]
2	14	13	AH0002	72.669	72.849	이해가	[]
2	14	14	AH0002	72.87	73.432	안됩니다.	[13]
2	15	1	AH0002	74.019	74.039	맨	[]
2	15	2	AH0002	74.059	74.26	처음에	[]
2	15	3	AH0002	74.38	74.5	한	[]
2	15	4	AH0002	74.7	74.861	그리고	[]
2	15	5	AH0002	75.101	75.282	나중에	[]
2	15	6	AH0002	75.362	75.382	뭘	[]
2	15	7	AH0002	75.522	75.883	합니까	[]
2	15	8	AH0002	76.143	76.324	저는	[]
2	15	9	AH0002	76.404	76.925	백오십	[]
2	15	10	AH0002	76.945	76.965	냥	[]
2	15	11	AH0002	77.025	77.166	주고	[]
2	15	12	AH0002	77.206	77.226	산	[]
2	15	13	AH0002	77.406	77.927	겁니다	[]
2	15	14	AH0002	78.007	78.288	어떻게	[]
2	15	15	AH0002	78.348	78.649	천오백	[]
2	15	16	AH0002	78.709	78.789	냥	[]
2	15	17	AH0002	78.809	78.829	열	[]
2	15	18	AH0002	79.17	79.33	배를	[]
2	15	19	AH0002	79.39	79.47	한	[]
2	15	20	AH0002	79.53	79.791	달만에	[]
2	15	21	AH0002	79.891	80.312	안됩니다	[]
2	15	22	AH0002	80.392	80.773	안됩니다	[]
2	15	23	AH0002	80.893	81.054	라고	[]
2	15	24	AH0002	81.094	81.695	하잖아요.	[]
2	16	1	AH0002	82.071	82.171	그러면	[]
2	16	2	AH0002	82.272	82.532	보통	[]
