bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	21.759	22.126	CONTINUER	네.	[6]	[8]	[6]
2	AH0001	31.009	31.471	CONTINUER	네.	[8]	[11]	[13]
3	AH0001	36.888	37.348	CONTINUER	네.	[8]	[11]	[25]
4	AH0002	50.34	50.538	CONTINUER	네.	[11]	[16]	[3]
5	AH0001	56.232	56.765	CONTINUER	네.	[12]	[17]	[8]
6	AH0002	60.541	60.986	CONTINUER	네.	[13]	[18]	[3]
7	AH0001	82.85	83.406	CONTINUER	네네.	[14]	[22]	[10]
8	AH0001	88.225	88.93	CONTINUER	음.	[14]	[24]	[1]
9	AH0001	106.515	106.923	CONTINUER	아.	[18]	[29]	[5]
10	AH0002	120.888	121.178	CONTINUER	네.	[19]	[31]	[8]
11	AH0001	123.8	124.112	CONTINUER	예.	[20]	[33]	[2]
12	AH0001	128.987	129.435	CONTINUER	네.	[20]	[33]	[11]
13	AH0001	139.106	139.475	CONTINUER	네.	[22]	[35]	[9]
14	AH0001	147.356	147.897	CONTINUER	응.	[22]	[36]	[16]
15	AH0001	157.772	158.393	CONTINUER	네.	[22]	[37]	[15]
16	AH0001	171.156	171.589	CONTINUER	네.	[24]	[40]	[14]
17	AH0001	187.94	188.517	CONTINUER	어.	[24]	[42]	[17]
18	AH0001	192.132	192.589	CONTINUER	네.	[24]	[43]	[6]
19	AH0001	202.151	202.501	CONTINUER	네.	[24]	[44]	[17]
20	AH0001	206.373	206.839	CONTINUER	네.	[24]	[45]	[6]
21	AH0001	214.535	215.123	CONTINUER	응.	[24]	[46]	[15]
22	AH0001	237.436	237.831	CONTINUER	네.	[26]	[51]	[15]
23	AH0001	241.634	242.05	CONTINUER	네.	[26]	[52]	[8]
24	AH0001	248.722	249.216	CONTINUER	음.	[26]	[53]	[12]
25	AH0001	256.37	256.72	CONTINUER	네.	[26]	[54]	[1]
26	AH0001	262.195	262.653	CONTINUER	음.	[26]	[54]	[13]
27	AH0001	268.575	268.962	CONTINUER	네.	[26]	[55]	[10]
28	AH0001	272.157	272.496	CONTINUER	음.	[26]	[56]	[7]
29	AH0001	280.509	281.143	CONTINUER	아.	[26]	[57]	[15]
