bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	19.903	20.343	REQUEST_CONFIRMATION	진짜.	[4]	[5]	[8]
2	DG0001	21.153	21.493	CONTINUER	어.	[4]	[5]	[10]
3	DG0001	22.623	23.338	CONTINUER	어.	[4]	[6]	[5]
4	DG0001	24.863	25.483	CONTINUER	예.	[4]	[6]	[9]
5	DG0001	27.673	28.258	ASSESSMENT	어우야.	[4]	[6]	[15]
6	DG0002	32.553	33.643	CONTINUER	네. 네.	[5]	[7]	[9]
7	DG0002	40.269	40.629	CONTINUER	네.	[7]	[9]	[12]
8	DG0002	46.507	47.097	CONTINUER	네.	[7]	[10]	[12]
9	DG0001	62.277	63.822	UNDERSTANDING	아. 아.	[8]	[13]	[16]
10	DG0001	66.842	67.307	CONTINUER	으음.	[8]	[14]	[7]
11	DG0001	73.236	73.996	CONTINUER	예. 예. 예.	[8]	[14]	[17]
12	DG0001	76.106	76.801	CONTINUER	네.	[8]	[14]	[22]
13	DG0002	78.159	78.519	CONTINUER	네.	[9]	[15]	[4]
14	DG0001	98.576	98.936	CONTINUER	어.	[10]	[18]	[10]
15	DG0001	105.538	107.423	CONTINUER	음. 음음음.	[10]	[19]	[13]
16	DG0001	110.963	111.948	UNDERSTANDING	아.	[10]	[20]	[7]
17	DG0001	114.273	114.658	CONTINUER	네.	[10]	[21]	[5]
18	DG0001	118.821	119.817	CONTINUER	어.	[10]	[21]	[16]
19	DG0001	122.063	123.793	AFFIRMATIVE	어. 어. 그렇죠. 어.	[10]	[21]	[21]
20	DG0001	132.677	133.452	CONTINUER	어어.	[10]	[23]	[7]
21	DG0001	140.958	141.833	CONTINUER	음.	[12]	[25]	[6]
22	DG0001	143.391	143.806	CONTINUER	음.	[12]	[26]	[2]
23	DG0001	150.138	151.098	UNDERSTANDING	음. 음.	[12]	[27]	[3]
24	DG0001	152.923	153.667	CONTINUER	음. 음.	[12]	[27]	[8]
25	DG0001	162.602	163.077	CONTINUER	어.	[14]	[30]	[6]
26	DG0001	172.378	172.693	UNDERSTANDING	음.	[16]	[32]	[4]
27	DG0001	173.953	174.608	UNDERSTANDING	음음음.	[16]	[32]	[7]
28	DG0001	178.288	178.673	CONTINUER	네.	[16]	[32]	[14]
29	DG0001	182.218	183.123	UNDERSTANDING	아.	[16]	[32]	[21]
30	DG0001	196.325	196.728	CONTINUER	어.	[20]	[37]	[4]
31	DG0001	199.388	200.458	UNDERSTANDING	아아아.	[20]	[37]	[10]
32	DG0001	205.518	206.823	UNDERSTANDING	으음.	[20]	[37]	[20]
33	DG0001	211.482	212.737	UNDERSTANDING	아아.	[22]	[39]	[13]
34	DG0001	213.292	213.457	CONTINUER	예.	[22]	[39]	[15]
35	DG0001	222.675	223.505	CONTINUER	예예.	[22]	[40]	[20]
36	DG0001	235.55	236.272	CONTINUER	어.	[26]	[45]	[2]
37	DG0001	263.253	263.515	CONTINUER	어.	[28]	[50]	[1]
38	DG0001	264.393	264.628	CONTINUER	음.	[28]	[50]	[4]
39	DG0001	266.67	267.115	CONTINUER	음.	[28]	[50]	[8]
40	DG0001	270.76	271.113	AFFIRMATIVE	그래.	[28]	[50]	[14]
41	DG0001	271.813	272.313	CONTINUER	음.	[28]	[50]	[15]
42	DG0001	283.526	284.269	CONTINUER	음. 음.	[28]	[52]	[10]
43	DG0001	286.041	287.321	UNDERSTANDING	아. 어.	[28]	[52]	[16]
44	DG0001	288.949	289.218	CONTINUER	어.	[28]	[52]	[23]
45	DG0001	294.898	295.12	CONTINUER	예.	[30]	[54]	[8]
46	DG0001	301.893	302.85	CONTINUER	예. 예.	[30]	[55]	[3]
47	DG0001	304.393	304.74	CONTINUER	어.	[30]	[55]	[7]
48	DG0001	307.839	308.267	CONTINUER	어.	[30]	[56]	[6]
49	DG0001	311.569	313.814	CONTINUER	어. 어. 어. 예.	[30]	[56]	[17]
50	DG0001	319.486	319.848	CONTINUER	음.	[32]	[59]	[6]
51	DG0001	323.023	323.813	CONTINUER	음으음.	[32]	[59]	[14]
52	DG0001	326.756	326.926	CONTINUER	어.	[32]	[59]	[20]
53	DG0001	336.687	337.322	CONTINUER	어.	[34]	[63]	[4]
54	DG0001	338.112	338.492	CONTINUER	어.	[34]	[63]	[6]
55	DG0001	347.51	348.48	CONTINUER	어어어.	[38]	[67]	[4]
56	DG0002	351.446	351.761	CONTINUER	네.	[39]	[68]	[2]
57	DG0002	353.012	353.707	AFFIRMATIVE	오. 그렇죠.	[39]	[68]	[5]
58	DG0001	366.532	366.807	UNDERSTANDING	아.	[40]	[72]	[4]
59	DG0001	374.217	374.877	CONTINUER	어.	[40]	[75]	[1]
60	DG0001	385.692	386.222	CONTINUER	어	[42]	[77]	[15]
61	DG0001	388.272	389.052	CONTINUER	어어어.	[42]	[78]	[3]
62	DG0001	396.518	396.933	CONTINUER	어.	[44]	[81]	[3]
63	DG0001	401.408	402.068	CONTINUER	어.	[46]	[83]	[4]
64	DG0001	402.743	404.338	CONTINUER	네. 아아. 아.	[46]	[83]	[6]
65	DG0001	404.384	404.649	CONTINUER	예.	[46]	[83]	[6]
66	DG0001	405.779	405.874	CONTINUER	어.	[46]	[84]	[4]
67	DG0001	412.14	412.525	CONTINUER	음.	[46]	[85]	[5]
68	DG0001	418.523	418.893	UNDERSTANDING	아.	[46]	[85]	[24]
69	DG0001	421.773	422.608	UNDERSTANDING	아. 야.	[46]	[86]	[6]
70	DG0001	424.668	425.018	CONTINUER	으흠.	[46]	[86]	[14]
71	DG0001	431.313	431.448	CONTINUER	어.	[46]	[87]	[7]
72	DG0001	443.652	444.497	ASSESSMENT	아우.	[46]	[89]	[8]
73	DG0001	446.742	447.052	CONTINUER	음.	[46]	[89]	[14]
74	DG0001	463.886	464.766	UNDERSTANDING	음음 음음음.	[46]	[91]	[7]
75	DG0001	465.778	466.408	CONTINUER	음. 음.	[46]	[92]	[4]
76	DG0001	469.513	471.093	UNDERSTANDING	아. 아.	[46]	[92]	[13]
77	DG0001	474.208	474.383	CONTINUER	어.	[46]	[92]	[21]
78	DG0001	478.057	480.152	CONTINUER	음. 예예예.	[46]	[93]	[6]
79	DG0001	484.388	484.703	CONTINUER	예.	[46]	[94]	[3]
80	DG0001	485.423	486.243	CONTINUER	어. 어?	[46]	[94]	[4]
81	DG0001	500.371	500.711	CONTINUER	어.	[46]	[96]	[4]
82	DG0001	507.996	508.271	CONTINUER	어.	[46]	[96]	[17]
83	DG0001	515.726	516.256	UNDERSTANDING	아아.	[46]	[97]	[11]
84	DG0001	522.434	522.939	CONTINUER	어어.	[46]	[98]	[11]
85	DG0001	536.651	537.481	ASSESSMENT	이야!	[48]	[101]	[9]
86	DG0001	543.031	544.421	CONTINUER	응. 응응응.	[48]	[102]	[7]
87	DG0001	550.09	550.565	CONTINUER	어. 어.	[48]	[103]	[3]
88	DG0001	555.565	556.645	UNDERSTANDING	아.	[48]	[103]	[14]
89	DG0001	564.378	565.343	UNDERSTANDING	으음.	[50]	[105]	[4]
90	DG0001	569.858	571.088	UNDERSTANDING	으음. 음.	[50]	[105]	[18]
91	DG0001	573.218	573.498	CONTINUER	으흠.	[50]	[105]	[23]
92	DG0001	581.868	582.753	CONTINUER	어. 어.	[50]	[107]	[6]
93	DG0002	594.365	594.739	CONTINUER	응.	[53]	[111]	[4]
94	DG0001	605.902	606.092	CONTINUER	어.	[54]	[113]	[3]
95	DG0001	607.677	608.127	CONTINUER	예.	[54]	[113]	[6]
96	DG0001	613.437	613.707	CONTINUER	어.	[56]	[116]	[4]
