bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	32.16	32.44	CONTINUER	예.	[5]	[9]	[2]
2	DG0001	41.09	41.64	CONTINUER	예.	[6]	[11]	[13]
3	DG0002	45.621	46.056	CONTINUER	예.	[9]	[14]	[1]
4	DG0001	53.326	53.622	CONTINUER	예.	[10]	[16]	[4]
5	DG0002	69.14	69.436	CONTINUER	예.	[15]	[22]	[2]
6	DG0002	75.958	76.263	CONTINUER	예.	[15]	[23]	[15]
7	DG0001	93.063	93.353	CONTINUER	네.	[18]	[27]	[14]
8	DG0001	103.355	103.824	CONTINUER	예.	[20]	[29]	[13]
9	DG0001	129.205	129.62	CONTINUER	예.	[22]	[33]	[5]
10	DG0002	133.057	133.457	CONTINUER	예.	[23]	[34]	[7]
11	DG0002	136.425	136.87	AFFIRMATIVE	그렇습니다.	[23]	[35]	[4]
12	DG0001	143.578	143.973	CONTINUER	예.	[24]	[36]	[11]
13	DG0001	159.126	159.587	AFFIRMATIVE	그렇군요.	[24]	[38]	[9]
14	DG0001	186.056	186.431	CONTINUER	예.	[28]	[44]	[1]
15	DG0001	188.516	188.826	CONTINUER	예.	[28]	[44]	[3]
16	DG0001	195.196	195.491	CONTINUER	예.	[28]	[44]	[14]
17	DG0001	209.223	209.49	CONTINUER	네.	[30]	[47]	[17]
18	DG0001	217.19	217.51	CONTINUER	네.	[30]	[49]	[4]
19	DG0001	227.538	227.838	CONTINUER	네.	[30]	[50]	[10]
20	DG0001	238.598	239.024	CONTINUER	네.	[30]	[51]	[14]
21	DG0001	252.307	252.642	CONTINUER	네.	[30]	[53]	[8]
22	DG0001	267.496	267.876	CONTINUER	예.	[30]	[54]	[22]
23	DG0002	269.273	269.578	CONTINUER	예.	[31]	[55]	[1]
24	DG0002	273.664	273.946	CONTINUER	예.	[31]	[56]	[6]
25	DG0002	279.907	280.122	CONTINUER	예.	[31]	[57]	[9]
26	DG0002	285.14	285.523	CONTINUER	예.	[31]	[58]	[10]
27	DG0001	302.451	302.736	CONTINUER	네.	[32]	[61]	[10]
28	DG0001	312.123	312.468	CONTINUER	네.	[32]	[62]	[10]
29	DG0001	323.541	323.921	CONTINUER	네.	[32]	[63]	[6]
30	DG0001	340.894	341.344	CONTINUER	음. 네.	[32]	[65]	[14]
31	DG0001	361.941	362.381	CONTINUER	음. 네.	[32]	[67]	[19]
32	DG0002	367.295	367.621	CONTINUER	예.	[33]	[68]	[8]
33	DG0002	370.251	370.561	CONTINUER	예.	[33]	[69]	[7]
34	DG0002	375.901	376.296	CONTINUER	예.	[33]	[69]	[18]
35	DG0001	394.38	394.82	CONTINUER	네.	[34]	[72]	[19]
36	DG0001	409.304	409.919	CONTINUER	네.	[34]	[74]	[19]
37	DG0001	413.79	414.303	CONTINUER	네.	[34]	[75]	[8]
38	DG0001	432.664	433.254	CONTINUER	예.	[34]	[78]	[22]
39	DG0002	436.333	436.753	CONTINUER	예.	[35]	[79]	[5]
40	DG0002	438.438	438.803	CONTINUER	예.	[35]	[79]	[9]
41	DG0002	448.383	448.788	CONTINUER	예.	[35]	[80]	[19]
42	DG0001	472.928	473.38	CONTINUER	네.	[36]	[84]	[6]
43	DG0001	491.982	492.382	CONTINUER	네.	[36]	[86]	[15]
44	DG0001	508.967	509.472	CONTINUER	네.	[36]	[88]	[20]
45	DG0002	519.71	519.945	CONTINUER	예.	[37]	[89]	[21]
46	DG0002	522.0	522.425	CONTINUER	예.	[37]	[89]	[27]
47	DG0001	536.535	536.94	CONTINUER	예.	[38]	[91]	[18]
48	DG0001	546.904	547.289	CONTINUER	네.	[38]	[93]	[1]
49	DG0001	574.106	574.547	CONTINUER	네.	[40]	[96]	[24]
50	DG0001	603.562	604.082	CONTINUER	네.	[42]	[100]	[20]
51	DG0001	637.112	637.565	CONTINUER	네.	[42]	[105]	[25]
52	DG0001	646.51	646.97	CONTINUER	네.	[42]	[106]	[18]
53	DG0001	665.445	665.685	CONTINUER	네.	[42]	[110]	[1]
54	DG0001	677.873	678.298	CONTINUER	음. 네.	[42]	[111]	[13]
55	DG0001	690.554	691.114	CONTINUER	음. 네.	[42]	[113]	[11]
56	DG0001	694.394	694.769	CONTINUER	음. 네.	[42]	[113]	[17]
57	DG0002	699.881	700.141	CONTINUER	예.	[43]	[114]	[9]
58	DG0002	704.011	704.261	CONTINUER	응.	[43]	[114]	[16]
59	DG0001	728.403	728.723	CONTINUER	네.	[44]	[117]	[6]
60	DG0001	766.835	767.235	CONTINUER	네.	[44]	[123]	[1]
61	DG0002	779.356	779.64	CONTINUER	예.	[45]	[124]	[21]
62	DG0001	783.673	783.973	CONTINUER	네.	[46]	[127]	[1]
63	DG0001	793.413	793.843	CONTINUER	예.	[46]	[127]	[21]
64	DG0002	851.631	851.891	CONTINUER	예.	[47]	[140]	[4]
65	DG0002	852.991	853.381	CONTINUER	예.	[47]	[140]	[7]
66	DG0002	863.589	863.944	CONTINUER	예.	[49]	[142]	[13]
67	DG0002	864.457	864.757	AFFIRMATIVE	그죠.	[49]	[143]	[1]
68	DG0001	870.234	870.539	CONTINUER	네.	[50]	[144]	[5]
69	DG0001	881.429	881.955	CONTINUER	네.	[50]	[145]	[25]
70	DG0001	995.076	995.526	CONTINUER	네.	[50]	[158]	[12]
71	DG0002	1000.997	1001.327	CONTINUER	예.	[51]	[159]	[11]
72	DG0002	1008.442	1008.892	CONTINUER	예.	[51]	[159]	[26]
73	DG0001	1037.717	1038.072	CONTINUER	네.	[52]	[163]	[10]
74	DG0001	1048.348	1048.797	CONTINUER	네.	[52]	[164]	[6]
75	DG0002	1095.541	1096.091	AFFIRMATIVE	맞아요.	[59]	[174]	[10]
76	DG0001	1108.014	1108.774	CONTINUER	예.	[60]	[176]	[9]
77	DG0001	1118.879	1119.254	CONTINUER	네.	[60]	[177]	[20]
78	DG0001	1156.265	1156.681	CONTINUER	네.	[62]	[183]	[4]
79	DG0001	1172.499	1173.062	CONTINUER	네.	[64]	[186]	[14]
80	DG0002	1185.963	1186.278	CONTINUER	예.	[65]	[189]	[1]
81	DG0002	1190.066	1190.436	CONTINUER	예.	[65]	[190]	[5]
82	DG0002	1193.137	1193.532	CONTINUER	예.	[65]	[190]	[8]
83	DG0001	1201.156	1201.537	CONTINUER	예.	[66]	[192]	[13]
84	DG0002	1244.812	1245.212	CONTINUER	예.	[67]	[198]	[14]
85	DG0001	1259.29	1260.025	CONTINUER	네.	[68]	[200]	[5]
86	DG0002	1270.718	1271.218	CONTINUER	예.	[69]	[202]	[17]
87	DG0001	1276.917	1277.272	CONTINUER	네.	[70]	[204]	[7]
88	DG0001	1306.743	1307.158	CONTINUER	네.	[70]	[207]	[11]
89	DG0002	1327.593	1327.91	CONTINUER	예.	[73]	[212]	[4]
90	DG0001	1339.189	1339.484	CONTINUER	아하.	[74]	[214]	[8]
91	DG0001	1345.265	1345.796	CONTINUER	네.	[74]	[215]	[15]
92	DG0001	1355.541	1356.006	CONTINUER	네.	[74]	[216]	[21]
93	DG0001	1370.961	1371.441	CONTINUER	네.	[74]	[219]	[11]
94	DG0001	1390.081	1390.526	CONTINUER	네.	[76]	[221]	[27]
95	DG0001	1439.061	1439.496	CONTINUER	네.	[76]	[226]	[27]
96	DG0001	1449.359	1449.791	CONTINUER	네.	[76]	[227]	[23]
97	DG0001	1464.138	1464.423	CONTINUER	네.	[80]	[231]	[20]
98	DG0001	1468.693	1469.013	CONTINUER	네.	[80]	[231]	[30]
99	DG0001	1514.616	1515.026	CONTINUER	네.	[80]	[238]	[23]
100	DG0002	1522.252	1522.637	CONTINUER	예.	[81]	[240]	[5]
101	DG0001	1601.212	1601.692	CONTINUER	네.	[88]	[255]	[1]
102	DG0001	1614.314	1614.754	CONTINUER	네.	[90]	[257]	[8]
103	DG0001	1623.129	1623.504	CONTINUER	네.	[90]	[258]	[8]
104	DG0001	1646.935	1647.56	CONTINUER	네.	[92]	[260]	[28]
105	DG0001	1661.805	1662.536	CONTINUER	네.	[92]	[262]	[18]
106	DG0001	1676.159	1676.714	CONTINUER	네.	[92]	[264]	[8]
