uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.641	분야별	[]
1	1	2	DG0001	0.701	1.042	전문가와	[]
1	1	3	DG0001	1.102	1.462	함께하는	[]
1	1	4	DG0001	1.522	1.743	요즘	[]
1	1	5	DG0001	1.823	2.003	뜨는	[]
1	1	6	DG0001	2.103	2.524	정보가	[]
1	1	7	DG0001	2.644	2.985	이야기가	[]
1	1	8	DG0001	3.025	3.145	있는	[]
1	1	9	DG0001	3.225	3.445	시간	[]
1	1	10	DG0001	3.666	4.026	뜨더라	[]
1	1	11	DG0001	4.267	4.607	카더라	[]
1	1	12	DG0001	4.868	4.928	내	[]
1	1	13	DG0001	4.988	5.188	삶을	[]
1	1	14	DG0001	5.268	5.469	채우는	[]
1	1	15	DG0001	5.549	5.789	오늘의	[]
1	1	16	DG0001	5.849	6.11	토픽	[]
1	1	17	DG0001	6.19	6.47	뜨더라	[]
1	1	18	DG0001	6.59	7.011	카더라	[]
1	1	19	DG0001	7.131	7.472	매월	[]
1	1	20	DG0001	7.592	8.013	마지막	[]
1	2	1	DG0001	8.314	8.875	주에는	[]
1	2	2	DG0001	9.035	9.355	월간	[]
1	2	3	DG0001	9.455	10.196	@이름1을	[]
1	2	4	DG0001	10.276	10.677	만나보는	[]
1	2	5	DG0001	10.757	11.298	시간입니다	[]
1	2	6	DG0001	11.418	11.999	고퀄리티의	[]
1	2	7	DG0001	12.059	12.399	인문학	[]
1	2	8	DG0001	12.419	12.479	문학	[]
1	2	9	DG0001	12.559	12.78	읽기로	[]
1	2	10	DG0001	12.84	13.16	다가가	[]
1	2	11	DG0001	13.22	13.38	보는	[]
1	2	12	DG0001	13.461	13.761	뉴스	[]
1	3	1	DG0001	13.821	14.602	월간으로	[]
1	3	2	DG0001	14.662	15.303	만나는데요	[]
1	3	3	DG0001	15.664	15.944	오늘	[]
1	3	4	DG0001	16.145	16.565	함께하실	[]
1	3	5	DG0001	16.646	17.026	@이름1	[]
1	3	6	DG0001	17.106	17.507	소장님	[]
1	3	7	DG0001	17.707	18.148	인문결	[]
1	3	8	DG0001	18.208	18.529	연구소	[]
1	3	9	DG0001	18.609	18.889	소장님	[]
1	3	10	DG0001	18.989	19.29	소개합니다	[]
1	3	11	DG0001	19.33	20.091	안녕하세요.	[]
2	4	1	DG0002	20.092	20.257	네	[]
2	4	2	DG0002	20.278	20.876	안녕하세요.	[]
3	5	1	DG0001	20.876	21.099	오시는	[]
3	5	2	DG0001	21.159	21.24	길	[]
3	5	3	DG0001	21.301	21.483	많이	[]
3	5	4	DG0001	21.624	22.009	추우셨나	[]
3	5	5	DG0001	22.069	22.474	봐요.	[]
4	6	1	DG0002	22.474	22.576	오	[]
4	6	2	DG0002	22.677	22.738	오	[]
4	6	3	DG0002	22.84	23.084	깜짝	[]
4	6	4	DG0002	23.145	23.572	놀랬어요.	[]
5	7	1	DG0001	23.752	23.972	근데	[]
5	7	2	DG0001	24.072	24.293	워낙	[]
5	7	3	DG0001	24.353	24.613	우리	[]
5	7	4	DG0001	24.814	25.134	@이름1	[]
5	7	5	DG0001	25.154	25.555	소장님께서	[]
5	7	6	DG0001	25.615	25.875	얼굴이	[]
5	7	7	DG0001	26.256	26.336	하얀	[]
5	7	8	DG0001	26.436	27.057	편이신데	[]
5	7	9	DG0001	27.177	27.457	오늘은	[]
5	7	10	DG0001	27.517	27.718	완전히	[]
5	7	11	DG0001	27.778	29.0	새빨갛게	[]
5	7	12	DG0001	29.32	29.58	약간	[]
5	7	13	DG0001	29.841	30.362	얼어서	[]
5	7	14	DG0001	30.442	30.842	들어오셔	[]
5	7	15	DG0001	30.862	31.163	가지고	[]
6	8	1	DG0002	31.363	31.504	손이	[]
6	8	2	DG0002	31.585	32.291	시렵더라고요.	[]
7	9	1	DG0001	32.291	32.698	그러게요	[]
7	9	2	DG0001	33.085	33.105	예.	[]
8	10	1	DG0002	33.623	34.672	올해	[]
8	10	2	DG0002	34.752	35.014	들어서	[]
8	10	3	DG0002	35.135	35.418	처음인	[]
8	10	4	DG0002	35.478	35.619	것	[]
