uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	1.095	1.535	아우	[]
1	1	2	DG0001	1.655	1.916	@이름2	[]
1	1	3	DG0001	2.076	2.196	씨	[]
1	1	4	DG0001	2.216	2.496	진짜	[]
1	1	5	DG0001	2.556	4.157	속상하겠네요	[1]
1	1	6	DG0001	4.177	4.197	예	[]
1	1	7	DG0001	4.597	4.817	일단	[]
1	1	8	DG0001	4.977	5.338	친구라고	[]
1	1	9	DG0001	5.438	5.698	믿고	[]
1	1	10	DG0001	5.718	6.158	이렇게	[]
1	1	11	DG0001	6.278	7.799	했는데	[2]
1	1	12	DG0001	8.34	8.7	이것도	[]
1	1	13	DG0001	8.84	8.9	좀	[]
1	1	14	DG0001	8.98	9.18	그렇긴	[]
1	1	15	DG0001	9.22	9.68	하지만	[]
1	1	16	DG0001	9.86	10.241	아무튼	[]
1	1	17	DG0001	10.761	11.461	횡령에	[]
1	1	18	DG0001	11.522	11.722	어떤	[]
1	1	19	DG0001	11.802	12.422	정확한	[]
1	1	20	DG0001	12.782	13.203	의미부터	[]
1	1	21	DG0001	13.263	13.883	짚어볼까요?	[]
2	2	1	DG0002	14.397	14.878	횡령은	[]
2	2	2	DG0002	14.978	15.299	이제	[]
2	2	3	DG0002	15.319	15.76	형법에	[]
2	2	4	DG0002	15.82	16.141	규정이	[]
2	2	5	DG0002	16.181	16.843	되어있는	[]
2	2	6	DG0002	16.863	16.883	데	[]
2	2	7	DG0002	17.344	17.665	다른	[]
2	2	8	DG0002	17.765	18.366	사람에	[]
2	2	9	DG0002	18.547	19.008	재물을	[]
2	2	10	DG0002	19.168	19.81	보관하는	[]
2	2	11	DG0002	19.89	20.471	사람이	[3]
2	2	12	DG0002	20.993	21.153	그	[]
2	2	13	DG0002	21.233	21.775	재물을	[]
2	2	14	DG0002	22.095	22.356	자기	[]
2	2	15	DG0002	22.476	22.797	걸로	[]
2	2	16	DG0002	23.218	23.499	뚝딱	[]
2	2	17	DG0002	23.719	24.24	가져가거나	[]
2	3	1	DG0002	24.534	24.915	달라고	[]
