bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	13.471	13.651	CONTINUER	네.	[2]	[4]	[4]
2	AH0001	15.101	15.231	CONTINUER	예.	[2]	[4]	[5]
3	AH0001	16.201	16.341	CONTINUER	예.	[2]	[4]	[6]
4	AH0001	18.656	18.801	CONTINUER	네.	[2]	[4]	[9]
5	AH0001	23.993	24.773	CONTINUER	네.네.	[4]	[6]	[2]
6	AH0001	37.626	38.216	CONTINUER	아하.	[6]	[9]	[11]
7	AH0001	38.461	38.811	CONTINUER	네.	[6]	[9]	[12]
8	AH0001	45.759	45.954	CONTINUER	네.	[6]	[10]	[11]
9	AH0001	48.123	48.503	CONTINUER	네.	[6]	[10]	[14]
10	AH0001	65.519	65.729	CONTINUER	네.	[6]	[13]	[8]
11	AH0001	66.914	67.234	CONTINUER	예.	[6]	[13]	[10]
12	AH0001	83.562	83.977	CONTINUER	예.	[6]	[14]	[18]
13	AH0001	94.839	95.024	CONTINUER	네.	[6]	[16]	[3]
14	AH0001	104.077	104.262	CONTINUER	네.	[6]	[17]	[7]
15	AH0001	105.347	105.687	CONTINUER	어허.	[6]	[17]	[9]
16	AH0001	106.217	106.532	CONTINUER	예.	[6]	[17]	[10]
17	AH0002	118.191	118.641	AFFIRMATIVE	그렇죠.	[7]	[18]	[19]
18	AH0002	127.501	127.846	AFFIRMATIVE	맞습니다.	[7]	[20]	[5]
19	AH0001	130.353	130.793	CONTINUER	네.	[8]	[21]	[4]
20	AH0001	141.223	141.568	CONTINUER	예.	[10]	[24]	[1]
21	AH0001	144.293	144.593	CONTINUER	네.	[10]	[24]	[6]
22	AH0001	146.536	146.776	CONTINUER	네.	[10]	[25]	[4]
23	AH0001	155.608	156.338	CONTINUER	네.	[10]	[27]	[10]
24	AH0001	160.628	160.978	CONTINUER	아.	[10]	[28]	[8]
25	AH0001	162.288	162.728	AFFIRMATIVE	그렇죠.	[10]	[28]	[12]
26	AH0001	177.774	178.144	CONTINUER	네.	[10]	[31]	[10]
27	AH0001	187.269	187.584	CONTINUER	아하.	[10]	[33]	[2]
28	AH0001	194.224	194.659	CONTINUER	네.	[10]	[33]	[12]
29	AH0001	212.702	213.242	CONTINUER	예.	[10]	[37]	[4]
30	AH0001	220.112	220.632	CONTINUER	네.	[10]	[38]	[14]
