bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	23.807	24.147	CONTINUER	네.	[5]	[6]	[10]
2	AH0002	25.172	25.347	CONTINUER	어.	[5]	[6]	[12]
3	AH0002	33.146	33.301	CONTINUER	네.	[7]	[8]	[8]
4	AH0002	42.041	42.571	CONTINUER	네.	[9]	[10]	[9]
5	AH0002	44.911	45.286	CONTINUER	네.	[9]	[10]	[14]
6	AH0002	52.02	52.335	CONTINUER	네.	[11]	[13]	[4]
7	AH0002	60.124	60.554	CONTINUER	네.	[13]	[16]	[7]
8	AH0002	62.474	62.989	CONTINUER	음.	[13]	[16]	[13]
9	AH0002	67.944	68.149	CONTINUER	음.	[15]	[18]	[8]
10	AH0002	70.345	71.3	CONTINUER	음. 네.	[15]	[19]	[3]
11	AH0001	76.28	76.615	CONTINUER	네.	[18]	[22]	[1]
12	AH0001	84.836	85.286	CONTINUER	네.	[20]	[24]	[5]
13	AH0002	92.111	92.53	CONTINUER	네네.	[21]	[25]	[7]
14	AH0002	92.926	93.356	CONTINUER	음.	[21]	[25]	[10]
15	AH0002	96.46	96.99	CONTINUER	으음.	[21]	[25]	[18]
16	AH0001	106.517	107.907	AFFIRMATIVE	아. 맞죠. 네.	[24]	[29]	[6]
17	AH0001	108.857	109.282	CONTINUER	음.	[24]	[29]	[10]
18	AH0001	110.552	111.102	ASSESSMENT	캬.	[24]	[29]	[12]
19	AH0002	119.775	120.075	CONTINUER	네.	[27]	[33]	[7]
20	AH0002	128.719	128.954	CONTINUER	네.	[31]	[38]	[6]
21	AH0002	133.029	133.169	CONTINUER	네.	[31]	[39]	[12]
22	AH0002	135.878	136.263	CONTINUER	음.	[31]	[40]	[6]
23	AH0001	211.82	212.295	CONTINUER	네.	[52]	[71]	[3]
24	AH0002	216.05	216.455	CONTINUER	네.	[53]	[72]	[6]
25	AH0002	225.134	225.994	CONTINUER	음. 네.	[55]	[75]	[8]
26	AH0001	233.217	234.667	CONTINUER	네. 음.	[56]	[76]	[15]
27	AH0002	241.044	241.429	CONTINUER	음.	[57]	[77]	[9]
28	AH0002	242.494	242.929	AFFIRMATIVE	맞아요.	[57]	[77]	[10]
29	AH0001	248.514	248.784	CONTINUER	음.	[58]	[79]	[5]
30	AH0001	249.529	249.719	CONTINUER	네.	[58]	[79]	[7]
31	AH0001	251.659	252.539	AFFIRMATIVE	아. 그렇죠.	[58]	[79]	[13]
32	AH0001	254.284	255.054	ASSESSMENT	하.	[58]	[79]	[18]
33	AH0001	258.409	259.169	AFFIRMATIVE	맞습니다.	[58]	[80]	[4]
34	AH0001	259.819	260.382	CONTINUER	네.	[58]	[80]	[7]
35	AH0002	263.674	263.919	CONTINUER	음.	[59]	[81]	[5]
36	AH0001	284.499	285.724	CONTINUER	네. 음.	[62]	[86]	[11]
37	AH0001	287.614	289.599	ASSESSMENT	크. 어우.	[62]	[86]	[18]
38	AH0001	289.816	290.346	AFFIRMATIVE	맞아요.	[62]	[87]	[1]
39	AH0001	292.246	292.531	CONTINUER	으음.	[62]	[87]	[8]
40	AH0001	293.761	294.206	CONTINUER	네.	[62]	[87]	[10]
41	AH0001	295.826	297.891	AFFIRMATIVE	하 아우. 저. 맞어맞어.	[62]	[87]	[13]
42	AH0002	300.214	300.719	CONTINUER	네.	[63]	[88]	[1]
43	AH0002	306.957	307.262	CONTINUER	네.	[65]	[90]	[5]
44	AH0002	309.557	310.057	CONTINUER	네.	[65]	[90]	[10]
45	AH0002	318.397	318.872	AFFIRMATIVE	맞아요.	[67]	[93]	[12]
46	AH0001	321.71	322.045	CONTINUER	으음.	[68]	[94]	[5]
47	AH0001	325.555	326.985	UNDERSTANDING	크. 아.	[68]	[94]	[13]
48	AH0002	336.117	336.437	CONTINUER	음.	[69]	[96]	[10]
49	AH0002	337.272	338.102	CONTINUER	네.	[69]	[96]	[15]
50	AH0002	342.081	342.231	CONTINUER	네.	[69]	[97]	[13]
51	AH0002	364.736	365.041	CONTINUER	네.	[73]	[102]	[12]
52	AH0002	367.196	367.526	CONTINUER	네.	[73]	[102]	[20]
53	AH0002	375.154	375.454	CONTINUER	네.	[75]	[106]	[8]
54	AH0002	376.379	376.574	CONTINUER	아.	[75]	[106]	[10]
55	AH0002	378.286	378.819	CONTINUER	네네.	[75]	[107]	[3]
56	AH0002	380.597	381.017	ASSESSMENT	이야.	[75]	[107]	[8]
57	AH0001	387.059	388.074	AFFIRMATIVE	맞습니다.	[76]	[108]	[12]
58	AH0001	388.836	389.126	CONTINUER	음.	[76]	[109]	[3]
59	AH0002	393.97	394.65	CONTINUER	음.	[77]	[112]	[1]
60	AH0001	399.351	399.651	CONTINUER	네.	[78]	[113]	[7]
61	AH0001	403.658	404.793	UNDERSTANDING	아. 네.	[80]	[115]	[3]
62	AH0001	406.559	408.204	AFFIRMATIVE	크. 그쵸.	[80]	[115]	[11]
63	AH0001	410.034	410.379	CONTINUER	음.	[80]	[116]	[4]
