uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.595	6.446	감칠맛	[]
1	1	2	AH0001	6.526	6.927	가득한	[]
1	1	3	AH0001	7.007	7.268	고전	[]
1	1	4	AH0001	7.308	7.869	이야기가	[]
1	1	5	AH0001	8.09	8.39	귀와	[]
1	1	6	AH0001	8.49	8.831	마음을	[]
1	1	7	AH0001	8.931	9.332	사로잡는	[]
1	1	8	AH0001	9.412	9.733	시간	[]
1	1	9	AH0001	9.973	10.394	@이름205	[]
1	1	10	AH0001	10.414	10.875	박사의	[]
1	1	11	AH0001	10.955	11.656	은밀한	[]
1	1	12	AH0001	11.837	12.037	고전.	[]
1	2	1	AH0001	12.458	12.699	고전	[]
1	2	2	AH0001	12.899	13.561	문학자이자	[]
1	2	3	AH0001	13.701	14.022	구수한	[]
1	2	4	AH0001	14.082	14.603	이야기꾼	[]
1	2	5	AH0001	15.105	15.606	연세대학교	[]
1	2	6	AH0001	15.626	15.766	학부	[]
1	2	7	AH0001	15.827	16.147	대학에	[]
1	2	8	AH0001	16.228	16.548	@이름1	[]
1	2	9	AH0001	16.589	16.849	박사님	[]
1	2	10	AH0001	16.909	17.491	모셨습니다	[]
1	2	11	AH0001	17.511	18.092	안녕하세요.	[]
2	3	1	AH0002	18.353	18.939	안녕하세요.	[]
3	4	1	AH0001	19.679	19.959	예	[]
3	4	2	AH0001	20.06	20.2	저희가	[]
3	4	3	AH0001	20.24	20.56	앞에서	[]
3	4	4	AH0001	20.6	20.681	인제	[]
3	4	5	AH0001	20.741	20.981	미련	[]
3	4	6	AH0001	21.041	21.402	관련한	[]
3	4	7	AH0001	21.482	21.863	얘기	[]
3	4	8	AH0001	21.963	22.624	나누면서	[1]
3	4	9	AH0001	23.145	23.425	당첨자	[]
3	4	10	AH0001	23.665	24.086	분들	[]
3	4	11	AH0001	24.106	24.126	삼	[]
3	4	12	AH0001	24.286	24.567	부에서	[]
3	4	13	AH0001	24.587	25.128	말씀드린다고	[2]
3	4	14	AH0001	25.168	25.528	하셨는데	[]
3	5	1	AH0001	26.235	27.336	@전화번호1번	[]
3	5	2	AH0001	27.476	27.817	님	[]
3	5	3	AH0001	28.017	28.898	광천김	[]
3	5	4	AH0001	28.978	29.058	님	[]
3	5	5	AH0001	29.238	30.019	@전화번호2	[]
3	5	6	AH0001	30.119	30.72	@전화번호3	[]
3	5	7	AH0001	30.86	31.1	스마일	[]
3	5	8	AH0001	31.26	31.5	슈가	[]
3	5	9	AH0001	31.641	32.381	@전화번호4	[]
3	5	10	AH0001	32.541	33.142	@전화번호5	[]
3	5	11	AH0001	33.282	33.963	@전화번호6	[]
3	5	12	AH0001	34.343	34.864	간결하게	[]
3	5	13	AH0001	34.904	35.084	하쇼	[]
3	5	14	AH0001	35.164	35.565	님께	[]
3	5	15	AH0001	36.065	36.165	열	[]
3	5	16	AH0001	36.265	36.586	분이네요.	[]
3	5	17	AH0001	36.686	36.866	선물	[]
3	5	18	AH0001	36.926	37.426	보내드리도록	[]
3	5	19	AH0001	37.486	38.007	하겠습니다.	[]
3	6	1	AH0001	38.007	38.711	@전화번호7번	[]
3	6	2	AH0001	38.731	38.791	님	[]
3	6	3	AH0001	38.892	39.957	물론이구요.	[]
3	7	1	AH0001	40.492	40.593	우리	[]
3	7	2	AH0001	40.634	41.079	교수님은	[]
3	7	3	AH0001	41.564	41.645	뭐	[]
3	7	4	AH0001	41.767	41.868	미련	[]
4	8	1	AH0002	42.416	42.737	에	[]
4	8	2	AH0002	42.937	43.278	인간은	[]
4	8	3	AH0002	43.358	43.578	누구나	[]
4	8	4	AH0002	43.618	43.698	다	[]
4	8	5	AH0002	43.779	44.139	미련이	[]
4	8	6	AH0002	44.159	44.38	남그등요	[3]
4	8	7	AH0002	44.58	44.981	저도	[]
4	8	8	AH0002	45.001	45.021	뭐	[]
4	8	9	AH0002	45.141	45.442	미련이	[]
4	8	10	AH0002	45.442	45.722	맻	[]
4	8	11	AH0002	45.722	45.923	가지가	[]
4	8	12	AH0002	45.963	46.504	있습니다만	[4]
4	8	13	AH0002	47.205	47.486	중요한	[]
4	8	14	AH0002	47.586	47.706	건	[]
4	8	15	AH0002	47.826	48.087	그때	[]
4	8	16	AH0002	48.167	48.748	돌아가도	[]
4	8	17	AH0002	48.908	49.169	다시	[]
4	8	18	AH0002	49.249	49.59	그렇게	[]
4	8	19	AH0002	49.67	50.191	선택할	[]
4	8	20	AH0002	50.311	50.852	것이다라고	[]
4	8	21	AH0002	50.892	51.493	생각하니까	[]
4	8	22	AH0002	51.734	51.954	미련을	[]
4	8	23	AH0002	52.034	52.114	별로	[]
4	8	24	AH0002	52.154	52.235	안	[]
4	8	25	AH0002	52.275	52.956	갖습니다.	[5]
4	9	1	AH0002	53.284	53.625	인간은	[]
4	9	2	AH0002	53.665	53.785	결국	[]
4	9	3	AH0002	53.885	53.946	둘	[]
4	9	4	AH0002	54.046	54.226	중에	[]
4	9	5	AH0002	54.567	54.888	하나	[]
4	9	6	AH0002	55.83	55.99	근데	[]
4	9	7	AH0002	56.05	56.231	제가	[]
4	9	8	AH0002	56.251	56.351	인제	[]
4	9	9	AH0002	56.431	56.732	가끔	[]
4	9	10	AH0002	57.093	57.313	저도	[]
4	9	11	AH0002	57.333	57.634	어쩌다	[]
4	9	12	AH0002	57.734	57.855	보니	[]
4	9	13	AH0002	57.915	58.215	인제	[]
4	9	14	AH0002	58.235	58.456	애들이	[]
4	9	15	AH0002	58.516	58.616	다	[]
4	9	16	AH0002	58.676	58.857	대학	[]
