bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	17.789	18.029	CONTINUER	아.	[3]	[4]	[9]
2	AH0002	22.482	22.692	CONTINUER	예.	[5]	[6]	[3]
3	AH0002	27.069	27.274	CONTINUER	예.	[5]	[6]	[13]
4	AH0002	35.741	36.611	AFFIRMATIVE	예. 그렇습니다.	[5]	[8]	[1]
5	AH0002	48.415	48.71	CONTINUER	예.	[7]	[10]	[4]
6	AH0002	61.986	62.556	CONTINUER	어.	[11]	[16]	[3]
7	AH0001	69.147	69.377	CONTINUER	예.	[12]	[18]	[5]
8	AH0001	74.662	75.012	CONTINUER	응.	[12]	[18]	[12]
9	AH0001	78.922	79.292	CONTINUER	네.	[12]	[18]	[22]
10	AH0001	81.462	83.252	UNDERSTANDING	아. 네네네.	[12]	[19]	[7]
11	AH0001	85.327	86.282	CONTINUER	음.	[12]	[19]	[17]
12	AH0001	108.123	108.728	CONTINUER	네.	[14]	[23]	[6]
13	AH0001	113.038	113.683	CONTINUER	네.	[14]	[23]	[21]
14	AH0001	115.223	116.793	AFFIRMATIVE	에. 에.	[14]	[24]	[7]
15	AH0001	117.503	118.003	ASSESSMENT	하.	[14]	[24]	[8]
16	AH0001	122.347	122.737	CONTINUER	음.	[14]	[24]	[20]
17	AH0001	126.68	127.2	CONTINUER	응.	[14]	[25]	[15]
18	AH0001	133.469	134.594	CONTINUER	네. 네.	[14]	[26]	[20]
19	AH0001	145.446	146.766	AFFIRMATIVE	그쵸. 그쵸. 네.	[14]	[28]	[16]
20	AH0001	149.589	151.399	AFFIRMATIVE	네. 네네네네.	[14]	[29]	[8]
21	AH0001	155.211	157.081	AFFIRMATIVE	예. 예.	[16]	[31]	[4]
22	AH0001	162.321	162.771	CONTINUER	음.	[16]	[31]	[20]
23	AH0002	170.824	171.009	CONTINUER	예.	[17]	[33]	[5]
24	AH0002	176.067	176.827	AFFIRMATIVE	예. 예. 예.	[17]	[34]	[7]
25	AH0002	182.149	182.594	CONTINUER	음.	[17]	[35]	[7]
26	AH0001	208.307	208.675	AFFIRMATIVE	그쵸.	[18]	[39]	[15]
27	AH0002	211.651	212.411	CONTINUER	어. 네.	[]	[]	[]
28	AH0001	216.854	218.009	NEGATIVE_SURPRISE	하.	[20]	[43]	[6]
29	AH0001	219.995	220.31	CONTINUER	음.	[20]	[43]	[13]
30	AH0001	222.033	223.018	AFFIRMATIVE	그러니까요.	[20]	[44]	[3]
31	AH0001	228.576	229.404	AFFIRMATIVE	그러니까요.	[20]	[45]	[6]
32	AH0002	231.249	231.424	CONTINUER	예.	[21]	[46]	[4]
33	AH0002	235.999	236.109	CONTINUER	예.	[21]	[46]	[12]
34	AH0001	244.497	244.822	CONTINUER	네네.	[22]	[48]	[10]
35	AH0001	255.349	255.749	CONTINUER	음.	[22]	[50]	[12]
36	AH0001	261.614	261.919	CONTINUER	네.	[22]	[52]	[11]
37	AH0001	264.169	264.559	CONTINUER	음.	[22]	[53]	[4]
38	AH0002	267.168	267.658	AFFIRMATIVE	어. 그쵸.	[23]	[54]	[1]
39	AH0001	270.776	271.131	CONTINUER	음.	[24]	[56]	[9]
40	AH0001	278.936	279.176	CONTINUER	음.	[24]	[57]	[5]
41	AH0001	281.386	281.991	AFFIRMATIVE	맞습니다.	[24]	[57]	[9]
42	AH0001	284.163	284.448	CONTINUER	네.	[26]	[59]	[5]
43	AH0001	285.018	285.333	CONTINUER	네.	[26]	[59]	[7]
44	AH0001	287.573	288.068	AFFIRMATIVE	그쵸.	[26]	[59]	[13]
45	AH0001	290.843	291.153	CONTINUER	네.	[26]	[59]	[21]
