uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	1.183	우리들의	[]
1	1	2	AH0001	1.303	1.725	이야기가	[]
1	1	3	AH0001	1.765	2.025	있는	[]
1	1	4	AH0001	2.146	2.306	곳	[]
1	1	5	AH0001	2.807	3.028	내가	[]
1	1	6	AH0001	3.108	3.449	가장	[]
1	1	7	AH0001	3.569	4.151	나다워지는	[]
1	1	8	AH0001	4.251	4.552	시간	[]
1	1	9	AH0001	5.234	5.695	@이름203의	[]
1	1	10	AH0001	5.976	6.297	경청	[]
1	2	1	AH0001	8.095	9.919	생방송으로	[]
1	2	2	AH0001	10.079	10.64	진행되고	[]
1	2	3	AH0001	10.68	10.901	있는	[]
1	2	4	AH0001	10.981	11.302	경청	[]
1	2	5	AH0001	11.382	11.482	삼	[]
1	2	6	AH0001	11.622	11.763	부	[]
1	2	7	AH0001	11.823	13.065	시작됐습니다.오늘은	[]
1	2	8	AH0001	13.426	13.907	리메이크	[]
1	2	9	AH0001	14.167	14.588	신곡	[]
1	2	10	AH0001	14.749	15.009	그대만	[]
1	2	11	AH0001	15.069	15.49	있다면	[]
1	2	12	AH0001	15.51	15.65	으로	[]
1	2	13	AH0001	15.751	16.111	돌아온	[]
1	2	14	AH0001	16.232	16.452	가수	[]
1	2	15	AH0001	16.532	16.993	@이름9239씨	[]
1	2	16	AH0001	17.134	17.214	와	[]
1	2	17	AH0001	17.314	17.554	함께	[]
1	2	18	AH0001	17.574	17.715	하고	[]
1	2	19	AH0001	17.735	18.336	있습니다.	[]
1	3	1	AH0001	18.336	19.06	앞서	[]
1	3	2	AH0001	19.14	19.462	내드린	[]
1	3	3	AH0001	19.562	19.984	질문	[]
1	3	4	AH0001	20.165	20.387	@이름924	[]
1	3	5	AH0001	20.507	20.588	씨가	[]
1	3	6	AH0001	20.648	20.869	다시	[]
1	3	7	AH0001	20.929	21.171	한번	[]
1	3	8	AH0001	21.211	22.236	읽어주시겠어요?	[]
2	4	1	AH0002	22.372	22.553	네.	[]
2	4	2	AH0002	22.775	22.876	옛	[]
2	4	3	AH0002	23.077	23.399	추억을	[]
2	4	4	AH0002	23.5	23.923	떠올리게	[]
2	4	5	AH0002	23.963	24.145	하는	[]
2	4	6	AH0002	24.245	24.608	노래와	[]
2	4	7	AH0002	24.769	24.93	사연	[]
3	5	1	AH0001	25.833	26.093	네.	[]
3	5	2	AH0001	26.454	27.316	청취자분들의	[1]
3	5	3	AH0001	27.396	27.757	문자를	[]
3	5	4	AH0001	27.777	28.117	한번	[]
3	5	5	AH0001	28.197	28.718	살펴보도록	[]
3	5	6	AH0001	28.799	29.46	하겠습니다.	[2]
3	5	7	AH0001	29.82	30.061	여기	[]
3	5	8	AH0001	30.161	30.682	@이름1	[]
3	5	9	AH0001	30.702	31.163	님께서	[]
3	5	10	AH0001	31.564	32.005	고등학교	[]
3	5	11	AH0001	32.105	32.826	졸업하자마자	[]
3	5	12	AH0001	32.926	33.427	친구들과	[]
3	5	13	AH0001	33.467	33.688	함께	[]
3	5	14	AH0001	33.788	34.409	들었던	[]
3	5	15	AH0001	34.429	34.449	어	[]
3	6	1	AH0001	35.64	36.1	라오스	[]
3	6	2	AH0001	36.16	36.781	여행에서	[]
3	6	3	AH0001	37.121	37.621	비포장	[]
3	6	4	AH0001	37.741	38.202	도로를	[]
3	6	5	AH0001	38.302	38.962	덜컹거리며	[]
3	6	6	AH0001	39.022	39.262	달리는	[]
3	6	7	AH0001	39.362	39.642	뻐쓰	[]
3	6	8	AH0001	39.682	40.023	안에	[]
3	6	9	AH0001	40.183	40.563	친구와	[]
3	6	10	AH0001	40.643	40.923	같이	[]
3	6	11	AH0001	40.963	41.263	이어폰을	[]
3	6	12	AH0001	41.343	41.864	나눠끼고	[]
3	6	13	AH0001	41.964	42.304	들었던	[]
3	6	14	AH0001	42.424	42.784	김굥	[]
3	6	15	AH0001	43.024	43.905	@이름394의	[]
3	6	16	AH0001	44.105	44.585	출발이	[]
3	6	17	AH0001	44.706	45.046	생각이	[]
3	6	18	AH0001	45.106	45.406	나요	[]
3	6	19	AH0001	45.506	45.706	라고	[]
3	6	20	AH0001	45.746	47.167	해주셨어요.	[]
3	7	1	AH0001	47.275	47.575	오	[]
3	7	2	AH0001	47.736	47.856	되게	[]
3	7	3	AH0001	47.936	48.697	디테일하게	[]
3	7	4	AH0001	49.438	49.598	또	[]
3	7	5	AH0001	49.718	50.439	덜컹거리는	[]
3	7	6	AH0001	50.539	50.879	뻐쓰	[]
3	7	7	AH0001	50.939	51.28	안에서	[]
3	7	8	AH0001	51.36	51.62	뭔가	[]
3	7	9	AH0001	51.72	51.881	되게	[]
3	7	10	AH0001	52.021	52.341	뭔가	[]
3	7	11	AH0001	52.682	53.302	영화스럽게	[]
3	7	12	AH0001	53.423	53.683	표현을	[]
3	7	13	AH0001	53.703	54.604	해주셨네요.	[3]
3	8	1	AH0001	55.038	55.361	네.또	[]
4	9	1	AH0002	55.875	56.035	그리고	[]
4	9	2	AH0002	56.116	56.718	나무늘보	[]
4	9	3	AH0002	56.798	56.998	님	[]
4	9	4	AH0002	57.239	57.781	@이름856	[]
4	9	5	AH0002	57.861	58.523	키싱유를	[]
4	9	6	AH0002	58.583	58.984	들으면	[]
4	9	7	AH0002	59.225	59.666	유난히	[]
4	9	8	AH0002	59.767	60.449	막대사탕을	[]
4	9	9	AH0002	60.549	60.97	좋아했던	[]
4	9	10	AH0002	61.111	61.191	그	[]
4	9	11	AH0002	61.251	61.432	애가	[]
4	9	12	AH0002	61.492	62.254	생각나요	[]
4	9	13	AH0002	62.294	62.395	라고	[]
4	9	14	AH0002	62.415	62.535	보내주셨어요	[]
5	10	1	AH0001	62.537	63.039	아	[]
5	10	2	AH0001	63.079	63.259	그	[]
5	10	3	AH0001	63.299	63.66	애가	[]
