uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.928	함께	[]
1	1	2	AH0001	0.968	1.498	만나보죠.	[]
1	2	1	AH0001	1.498	1.966	김	[]
1	2	2	AH0001	2.027	2.15	감독님	[]
1	2	3	AH0001	2.312	2.475	어서	[]
1	2	4	AH0001	2.516	2.801	오십시오.	[]
2	3	1	AH0002	2.801	3.165	네	[]
2	3	2	AH0002	3.287	3.813	안녕하세요.	[]
3	4	1	AH0001	3.812	4.213	네.	[]
3	4	2	AH0001	4.293	4.454	제가	[]
3	4	3	AH0001	4.534	4.634	좀	[]
3	4	4	AH0001	4.955	5.136	약간	[]
3	4	5	AH0001	5.236	5.737	속물이라	[]
3	4	6	AH0001	5.757	6.359	그런지	[]
3	4	7	AH0001	6.78	7.141	그	[]
3	4	8	AH0001	7.582	7.763	미국	[]
3	4	9	AH0001	7.843	8.605	영화아카데미	[]
3	4	10	AH0001	8.805	9.026	다섯	[]
3	4	11	AH0001	9.126	9.246	명	[]
3	4	12	AH0001	9.267	9.567	회원	[]
3	4	13	AH0001	9.688	9.748	중에	[]
3	4	14	AH0001	9.888	9.988	한	[]
3	4	15	AH0001	10.109	10.69	분	[1]
3	4	16	AH0001	10.771	10.951	이런	[]
3	4	17	AH0001	11.031	11.091	게	[]
3	4	18	AH0001	11.152	11.312	저는	[]
3	4	19	AH0001	11.372	11.432	막	[]
3	4	20	AH0001	11.533	12.455	꽂히더라고요.	[]
3	5	1	AH0001	12.72	13.422	우선	[]
3	5	2	AH0001	13.543	13.763	영화	[]
3	5	3	AH0001	13.784	14.105	아카데미	[]
3	5	4	AH0001	14.165	14.686	회원이라는	[]
3	5	5	AH0001	14.707	14.727	게	[]
3	5	6	AH0001	14.807	15.449	뭐죠?	[]
4	6	1	AH0002	15.979	16.119	어	[]
4	6	2	AH0002	16.299	16.439	뭐	[]
4	6	3	AH0002	17.26	17.32	뭐	[]
4	6	4	AH0002	17.44	18.24	특별한	[]
4	6	5	AH0002	18.26	18.28	것	[]
4	6	6	AH0002	18.44	18.841	보다도	[]
4	6	7	AH0002	18.861	19.481	그냥	[]
4	6	8	AH0002	19.501	20.642	아카데미	[]
4	6	9	AH0002	20.662	20.682	어	[]
4	6	10	AH0002	20.802	20.982	상	[]
4	6	11	AH0002	21.002	21.042	어	[]
4	6	12	AH0002	21.942	22.242	후보로	[]
4	6	13	AH0002	22.262	22.543	올라오는	[]
4	6	14	AH0002	22.663	23.183	작들	[]
4	6	15	AH0002	23.363	24.644	어	[]
4	6	16	AH0002	24.824	25.184	작들에	[]
4	6	17	AH0002	25.264	25.624	대해서	[2]
4	6	18	AH0002	26.165	26.305	어	[]
4	6	19	AH0002	26.745	27.225	투표권을	[]
4	6	20	AH0002	27.505	28.106	인제	[]
4	6	21	AH0002	28.146	28.366	행사할	[]
4	6	22	AH0002	28.446	28.486	수	[]
4	6	23	AH0002	28.526	28.846	있다는요.	[]
5	7	1	AH0001	28.986	30.049	아	[3]
5	7	2	AH0001	30.731	31.353	아카데미상	[]
5	7	3	AH0001	31.534	31.935	투표권	[4]
5	7	4	AH0001	32.035	32.377	가진	[]
5	7	5	AH0001	32.497	32.858	회원들	[]
6	8	1	AH0002	33.179	33.663	그렇죠.	[]
7	9	1	AH0001	33.686	33.806	우리	[]
7	9	2	AH0001	33.886	33.986	김	[]
7	9	3	AH0001	34.046	34.447	감독님	[]
7	9	4	AH0001	34.527	34.767	말고	[]
7	9	5	AH0001	34.968	35.188	다른	[]
7	9	6	AH0001	35.308	35.448	네	[]
7	9	7	AH0001	35.548	35.668	분이	[]
7	9	8	AH0001	35.769	36.429	누구누구인지	[5]
7	9	9	AH0001	37.21	37.611	감독이	[]
7	9	10	AH0001	37.711	38.031	두	[]
7	9	11	AH0001	38.051	38.071	분	[]
7	9	12	AH0001	38.292	38.792	배우가	[]
7	9	13	AH0001	38.812	38.992	두	[]
7	9	14	AH0001	39.012	39.032	분	[]
7	9	15	AH0001	39.233	39.313	네	[]
7	9	16	AH0001	39.373	39.453	분	[]
7	9	17	AH0001	39.893	40.154	다	[]
7	9	18	AH0001	40.895	41.455	대한민국에서	[]
7	9	19	AH0001	41.495	41.515	그	[]
7	9	20	AH0001	41.576	41.756	사람	[]
7	9	21	AH0001	41.836	42.056	모르면	[]
7	9	22	AH0001	42.156	42.537	간첩이다.	[]
7	9	23	AH0001	42.597	42.737	할	[]
7	9	24	AH0001	42.857	43.157	정도로	[]
7	9	25	AH0001	43.177	43.678	유명하신	[]
7	9	26	AH0001	43.738	44.079	분들인데	[]
8	10	1	AH0002	38.621	38.986	배우가.	[]
8	10	2	AH0002	39.23	39.25	네.	[]
9	11	1	AH0001	45.18	45.722	그만큼	[]
9	11	2	AH0001	45.942	46.163	미국	[]
9	11	3	AH0001	46.283	46.705	내에서	[]
9	11	4	AH0001	46.805	47.507	활동이	[]
9	11	5	AH0001	48.049	48.21	미국	[]
9	11	6	AH0001	48.29	49.293	아카데미에서도	[]
9	11	7	AH0001	49.875	50.176	확실히	[]
9	11	8	AH0001	50.236	50.738	인정받고	[]
9	11	9	AH0001	50.758	50.938	있다	[]
9	11	10	AH0001	50.998	51.099	이거	[]
9	11	11	AH0001	51.139	51.52	아닐까요?	[]
10	12	1	AH0002	52.145	52.545	아	[]
10	12	2	AH0002	53.206	54.406	애니메이션이라고	[]
10	12	3	AH0002	54.466	54.646	하는	[]
10	12	4	AH0002	54.786	54.966	분야	[]
10	12	5	AH0002	55.026	55.867	자체가	[8]
10	12	6	AH0002	56.787	56.967	미국	[]
10	12	7	AH0002	56.987	57.368	내에서는	[]
10	12	8	AH0002	57.468	57.768	사실	[]
10	12	9	AH0002	57.788	58.148	이렇게	[]
10	12	10	AH0002	58.688	58.968	일반	[]
10	12	11	AH0002	59.028	59.309	영화	[]
10	12	12	AH0002	59.509	59.589	뭐	[]
10	12	13	AH0002	60.109	60.349	아까	[]
10	12	14	AH0002	60.589	60.889	조금	[]
10	12	15	AH0002	60.969	61.25	전에	[]
10	12	16	AH0002	61.27	61.29	그	[]
10	12	17	AH0002	61.89	62.15	어떤	[]
10	12	18	AH0002	62.23	62.73	애니메이션을	[]
10	12	19	AH0002	63.011	63.051	어떤	[]
10	12	20	AH0002	63.311	63.651	영화의	[]
10	12	21	AH0002	63.771	65.092	장르라고	[9]
10	12	22	AH0002	65.112	65.372	말씀을	[]
10	12	23	AH0002	65.392	65.732	하셨는데	[]
10	13	1	AH0002	66.158	66.519	사실	[]
10	13	2	AH0002	66.579	67.1	애니메이션	[]
10	13	3	AH0002	67.28	67.521	하는	[]
10	13	4	AH0002	67.581	68.022	사람들이	[]
10	13	5	AH0002	68.042	68.062	그	[]
10	13	6	AH0002	69.344	69.505	말을	[]
10	13	7	AH0002	69.565	69.705	참	[]
10	13	8	AH0002	69.765	70.266	싫어합니다.	[]
11	14	1	AH0001	70.264	70.507	그래요?	[]
12	15	1	AH0002	70.754	70.775	네	[]
13	16	1	AH0001	71.046	71.289	장르가	[]
13	16	2	AH0001	71.309	71.855	아닌가요?	[]
14	17	1	AH0002	71.855	72.6	애니메이션중에	[]
