uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.021	대신	[]
1	1	2	AH0001	1.742	2.043	회식	[]
1	1	3	AH0001	2.063	2.083	때	[]
1	1	4	AH0001	2.143	2.403	일부러	[]
1	1	5	AH0001	2.483	2.623	물을	[]
1	1	6	AH0001	2.764	3.004	살짝	[]
1	1	7	AH0001	3.104	3.645	쏟는다거나	[]
1	1	8	AH0001	4.567	4.807	노래방	[]
1	1	9	AH0001	4.847	4.987	가서	[]
1	1	10	AH0001	5.047	5.248	실수인	[]
1	1	11	AH0001	5.368	5.408	척	[]
1	1	12	AH0001	5.468	5.669	하면서	[]
1	1	13	AH0001	5.709	5.809	노래	[]
1	1	14	AH0001	5.889	6.149	중간에	[]
1	1	15	AH0001	6.47	6.71	취소	[]
1	1	16	AH0001	6.75	6.991	버튼을	[]
1	1	17	AH0001	7.071	7.251	누르는	[]
1	1	18	AH0001	7.371	7.672	복수를	[1]
1	1	19	AH0001	8.293	8.453	하고	[]
1	1	20	AH0001	8.473	8.994	있습니다.	[]
1	2	1	AH0001	8.995	9.5	제가	[]
1	2	2	AH0001	9.52	9.722	워낙에	[]
1	2	3	AH0001	9.782	10.085	소심한	[]
1	2	4	AH0001	10.166	11.094	사람이어서요.	[]
2	3	1	AH0002	11.093	12.703	아	[]
2	3	2	AH0002	12.764	12.925	저도	[]
2	3	3	AH0002	12.985	13.146	회사	[]
2	3	4	AH0002	13.166	13.307	다닐	[]
2	3	5	AH0002	13.388	13.448	때	[]
2	3	6	AH0002	13.488	13.609	이런	[]
2	3	7	AH0002	13.67	13.811	경우가	[]
2	3	8	AH0002	13.871	14.012	되게	[]
2	3	9	AH0002	14.072	14.173	많이	[]
2	3	10	AH0002	14.233	14.656	봤어요.	[]
3	4	1	AH0001	14.657	15.981	소심한	[]
3	4	2	AH0001	16.062	16.363	복수요	[]
3	4	3	AH0001	16.403	16.824	아니면	[]
3	4	4	AH0001	16.844	16.864	그	[]
3	4	5	AH0001	17.687	18.008	에	[]
3	4	6	AH0001	18.028	18.048	이	[]
3	4	7	AH0001	18.67	18.75	뭐	[]
