uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	2.185	안녕하십니까	[]
1	1	2	DG0001	2.466	2.867	자율과	[]
1	1	3	DG0001	2.947	3.549	경쟁이라는	[]
1	1	4	DG0001	3.689	3.99	방향을	[]
1	1	5	DG0001	4.05	4.391	가지고	[]
1	1	6	DG0001	4.912	4.972	우리	[]
1	1	7	DG0001	5.012	5.313	정부가	[]
1	1	8	DG0001	5.433	5.634	교육	[]
1	1	9	DG0001	5.714	6.356	정책을	[]
1	1	10	DG0001	6.496	6.757	추진한	[]
1	1	11	DG0001	6.897	7.017	지	[]
1	1	12	DG0001	7.559	7.879	벌써	[]
1	1	13	DG0001	8.08	8.2	이	[]
1	1	14	DG0001	8.24	8.521	년여의	[]
1	1	15	DG0001	8.601	8.842	시간이	[]
1	1	16	DG0001	8.862	9.724	흘렀습니다.	[]
1	2	1	DG0001	9.724	10.544	그동안	[]
1	2	2	DG0001	10.624	10.765	우리	[]
1	2	3	DG0001	10.825	10.945	교육	[]
1	2	4	DG0001	11.025	11.425	현장은	[]
1	2	5	DG0001	11.465	11.805	어떻게	[]
1	2	6	DG0001	11.865	12.445	바뀌었고	[]
1	2	7	DG0001	12.926	13.006	또	[]
1	2	8	DG0001	13.066	13.306	어떤	[]
1	2	9	DG0001	13.366	13.646	성과가	[]
1	2	10	DG0001	13.686	14.166	있었는지	[]
1	2	11	DG0001	14.787	15.067	그리고	[]
1	2	12	DG0001	15.167	15.367	남은	[]
1	2	13	DG0001	15.407	15.687	과제들은	[]
1	2	14	DG0001	15.727	15.927	어떤	[]
1	2	15	DG0001	15.947	16.187	것들이	[]
1	2	16	DG0001	16.227	16.627	있는지	[]
1	2	17	DG0001	17.208	17.528	이비에스	[]
1	2	18	DG0001	17.588	17.688	교육	[]
1	2	19	DG0001	17.748	18.008	초대석	[]
1	2	20	DG0001	18.528	18.788	오늘은	[]
1	2	21	DG0001	18.889	19.789	교육과학기술부의	[]
1	2	22	DG0001	19.889	20.109	차관을	[]
1	2	23	DG0001	20.149	20.449	모시고	[]
1	2	24	DG0001	20.649	20.83	말씀	[]
1	2	25	DG0001	20.91	21.17	나눠보도록	[]
1	2	26	DG0001	21.25	21.83	하겠습니다.	[]
1	3	1	DG0001	21.831	22.358	차관님	[]
1	3	2	DG0001	22.399	23.027	안녕하십니까?	[]
1	4	1	DG0001	23.028	23.789	정부에	[]
1	4	2	DG0001	23.87	24.29	들어가신	[]
1	4	3	DG0001	24.37	24.511	지도	[]
1	4	4	DG0001	24.591	24.891	벌써	[]
1	4	5	DG0001	24.932	25.072	이	[]
1	4	6	DG0001	25.172	25.252	년여의	[]
1	4	7	DG0001	25.332	25.593	시간이	[]
1	4	8	DG0001	25.673	26.174	지났고	[]
1	4	9	DG0001	26.354	26.695	처음에는	[]
1	4	10	DG0001	26.775	27.236	청와대에	[]
1	4	11	DG0001	27.316	27.536	이제	[]
1	4	12	DG0001	27.637	28.037	계시다가	[]
1	4	13	DG0001	28.378	28.739	교육부로	[]
1	4	14	DG0001	28.799	28.939	옮기지	[]
1	4	15	DG0001	28.959	29.48	않으셨습니까?	[]
2	5	1	DG0002	29.48	29.583	네네.	[]
3	6	1	DG0001	30.221	30.281	특히	[]
3	6	2	DG0001	30.341	30.643	업무가	[]
3	6	3	DG0001	30.703	30.964	많이	[]
3	6	4	DG0001	31.084	31.787	다르죠?	[]
4	7	1	DG0002	31.787	32.45	예	[]
4	7	2	DG0002	32.53	32.932	아무래도	[]
4	7	3	DG0002	32.952	33.233	이제	[]
4	7	4	DG0002	33.434	33.836	부처는	[]
4	7	5	DG0002	34.017	34.217	직접	[]
4	7	6	DG0002	34.278	34.499	이제	[]
4	7	7	DG0002	34.519	34.74	현장을	[]
4	7	8	DG0002	34.82	35.182	챙기는	[]
4	7	9	DG0002	35.202	35.563	업무를	[]
4	7	10	DG0002	35.704	36.447	하니까요.	[]
4	8	1	DG0002	36.447	37.008	어	[]
4	8	2	DG0002	37.148	37.529	청와대나	[]
4	8	3	DG0002	37.629	37.99	국회	[]
4	8	4	DG0002	38.01	38.11	같은	[]
4	8	5	DG0002	38.23	38.611	경우에는	[]
4	8	6	DG0002	38.631	39.633	어떻게	[]
4	8	7	DG0002	39.733	40.034	비유하면	[]
4	8	8	DG0002	40.094	40.194	좀	[]
4	8	9	DG0002	40.274	40.595	훈수를	[]
4	8	10	DG0002	40.695	41.015	둔다	[]
4	8	11	DG0002	41.256	41.577	할까요	[]
