bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	32.317	32.777	CONTINUER	음.	[7]	[11]	[9]
2	AH0002	36.492	36.998	CONTINUER	네.	[7]	[12]	[7]
3	AH0002	42.092	42.469	CONTINUER	네.	[9]	[16]	[6]
4	AH0001	45.765	45.975	CONTINUER	네.	[10]	[18]	[4]
5	AH0002	51.556	52.18	AFFIRMATIVE	맞습니다.	[11]	[20]	[7]
6	AH0002	59.392	59.786	CONTINUER	예.	[11]	[21]	[13]
7	AH0002	61.757	62.273	CONTINUER	네네.	[11]	[22]	[4]
8	AH0002	69.474	69.679	CONTINUER	네.	[11]	[25]	[4]
9	AH0002	70.584	70.869	CONTINUER	네.	[11]	[25]	[7]
10	AH0002	71.946	72.638	AFFIRMATIVE	그렇죠.	[11]	[25]	[9]
11	AH0002	75.001	75.359	CONTINUER	네.	[11]	[26]	[6]
12	AH0001	81.903	82.179	CONTINUER	네.	[12]	[29]	[6]
13	AH0001	88.956	89.276	CONTINUER	네.	[14]	[32]	[8]
14	AH0001	94.373	95.146	CONTINUER	음. 네.	[16]	[35]	[4]
15	AH0001	99.129	101.499	UNDERSTANDING	아. 네.	[18]	[37]	[7]
16	AH0001	112.966	113.376	CONTINUER	음.	[20]	[42]	[5]
17	AH0001	114.799	115.274	CONTINUER	아. 네.	[20]	[42]	[8]
18	AH0001	116.226	117.816	AFFIRMATIVE	아. 맞아요. 음.	[20]	[43]	[1]
19	AH0001	121.317	122.577	UNDERSTANDING	음.	[20]	[44]	[8]
20	AH0001	124.377	124.642	CONTINUER	네.	[20]	[44]	[12]
21	AH0001	127.217	127.922	ASSESSMENT	오.	[20]	[44]	[19]
22	AH0001	130.647	130.882	CONTINUER	네.	[20]	[45]	[5]
23	AH0002	144.082	144.212	CONTINUER	어.	[23]	[52]	[2]
24	AH0002	146.417	147.501	AFFIRMATIVE	그렇죠. 네.	[23]	[52]	[7]
25	AH0002	153.066	153.246	CONTINUER	네.	[23]	[54]	[8]
26	AH0002	164.102	165.117	AFFIRMATIVE	맞습니다.	[27]	[59]	[8]
27	AH0002	166.872	167.467	AFFIRMATIVE	그렇죠.	[27]	[60]	[3]
28	AH0001	180.337	180.992	CONTINUER	어 네.	[30]	[64]	[8]
29	AH0001	193.237	193.637	CONTINUER	음.	[32]	[68]	[7]
30	AH0001	194.672	195.072	CONTINUER	네.	[32]	[68]	[9]
31	AH0001	206.942	207.332	CONTINUER	네.	[34]	[70]	[7]
32	AH0001	217.145	217.85	UNDERSTANDING	음.	[34]	[72]	[13]
33	AH0001	223.697	223.882	CONTINUER	네.	[36]	[74]	[8]
34	AH0001	228.272	229.617	UNDERSTANDING	음. 네.	[36]	[74]	[17]
35	AH0001	230.919	231.718	ASSESSMENT	오.	[36]	[74]	[22]
36	AH0001	239.907	240.177	CONTINUER	으흠.	[38]	[77]	[5]
37	AH0001	242.587	243.012	ASSESSMENT	아오.	[38]	[77]	[8]
38	AH0001	245.747	246.177	ASSESSMENT	오.	[38]	[77]	[15]
39	AH0001	255.708	256.008	CONTINUER	어.	[40]	[80]	[6]
40	AH0001	258.378	258.873	CONTINUER	네.	[40]	[80]	[10]
41	AH0001	260.793	261.458	UNDERSTANDING	아.	[40]	[80]	[15]
42	AH0001	262.598	262.908	CONTINUER	네.	[40]	[80]	[17]
43	AH0001	264.163	264.708	CONTINUER	아 네.	[40]	[80]	[21]
44	AH0001	267.399	267.704	CONTINUER	음.	[40]	[81]	[7]
45	AH0001	274.269	274.504	CONTINUER	으흠.	[40]	[81]	[21]
46	AH0002	277.661	278.001	CONTINUER	예.	[41]	[83]	[1]
47	AH0002	280.361	280.781	AFFIRMATIVE	그렇죠.	[41]	[83]	[7]
48	AH0001	287.7	288.255	CONTINUER	음.	[42]	[85]	[6]
49	AH0001	289.436	289.611	CONTINUER	네.	[42]	[86]	[2]
