uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.555	1.119	@이름557와	[]
1	1	2	AH0001	1.219	1.541	@이름672	[]
1	1	3	AH0001	1.561	1.581	이	[]
1	1	4	AH0001	1.622	2.024	함께한	[]
1	1	5	AH0001	2.547	2.99	조조할인.	[]
1	2	1	AH0001	5.229	5.35	건강	[]
1	2	2	AH0001	5.693	5.895	이즈	[]
1	2	3	AH0001	6.258	6.661	에브리띵.	[]
2	3	1	AH0002	7.29	7.772	건강이	[]
2	3	2	AH0002	7.952	8.715	만사다.	[]
2	4	1	AH0002	8.84	8.941	삼삼오오	[]
2	4	2	AH0002	8.961	9.183	건강만사.	[]
3	5	1	AH0001	11.986	13.05	건강만사	[]
3	5	2	AH0001	13.21	13.631	삼삼오오	[]
3	5	3	AH0001	13.732	14.133	주치의	[]
3	5	4	AH0001	14.234	14.555	한의사	[]
3	5	5	AH0001	14.615	14.956	@이름456	[]
3	5	6	AH0001	14.976	15.357	원장님과	[]
3	5	7	AH0001	15.417	16.18	함께합니다.	[]
3	6	1	AH0001	16.18	16.734	안녕하세요.	[]
4	7	1	AH0002	16.91	16.991	네.	[]
4	7	2	AH0002	17.032	17.459	안녕하십니까.	[]
4	8	1	AH0002	17.662	17.844	비가	[]
4	8	2	AH0002	17.904	18.066	와요.	[]
5	9	1	AH0001	18.333	18.536	비가	[]
5	9	2	AH0001	18.577	18.922	오니까요	[]
5	9	3	AH0001	19.308	19.328	네.	[]
5	10	1	AH0001	19.67	20.012	오늘	[]
5	10	2	AH0001	20.112	20.192	비	[]
5	10	3	AH0001	20.273	20.474	맞지	[]
5	10	4	AH0001	20.534	20.735	말라	[]
5	10	5	AH0001	20.795	21.016	그러는데	[]
5	10	6	AH0001	21.077	21.459	선생님도	[]
5	10	7	AH0001	21.559	21.76	오늘	[]
5	10	8	AH0001	21.84	22.021	비	[]
5	10	9	AH0001	22.041	22.262	피하는	[]
5	10	10	AH0001	22.343	22.825	편이세요?	[]
6	11	1	AH0002	22.836	23.257	그	[]
6	11	2	AH0002	23.418	23.619	제가	[]
6	11	3	AH0002	23.719	23.98	원래	[]
6	11	4	AH0002	24.04	24.2	어릴	[]
6	11	5	AH0002	24.321	24.562	때부터	[]
6	11	6	AH0002	24.642	24.863	비만	[]
6	11	7	AH0002	24.903	25.083	오면	[]
6	11	8	AH0002	25.184	25.625	뛰어나가서	[]
6	11	9	AH0002	25.705	25.866	비를	[]
6	11	10	AH0002	25.906	26.548	맞았어요.	[]
7	12	1	AH0001	26.548	26.762	왜요?	[]
8	13	1	AH0002	26.869	27.109	혹시나	[]
8	13	2	AH0002	27.25	27.751	콩나물처럼	[]
8	13	3	AH0002	27.831	27.971	키가	[]
8	13	4	AH0002	28.031	28.131	좀	[]
8	13	5	AH0002	28.191	28.492	클까	[]
8	13	6	AH0002	28.552	28.793	싶어서	[]
8	13	7	AH0002	28.933	28.953	예.	[]
8	14	1	AH0002	29.784	30.305	요즘도	[]
8	14	2	AH0002	30.385	30.726	인제	[]
8	14	3	AH0002	30.786	31.186	아침에	[]
8	14	4	AH0002	31.246	31.507	일어날	[]
8	14	5	AH0002	31.607	31.908	때마다	[]
8	14	6	AH0002	31.968	32.629	말이죠.	[]
8	14	7	AH0002	32.709	32.729	예.	[]
8	15	1	AH0002	32.73	33.06	뒷목을	[]
8	15	2	AH0002	33.08	33.101	왜	[]
8	15	3	AH0002	33.162	33.492	잡을까.	[]
9	16	1	AH0001	33.492	34.021	너무	[]
9	16	2	AH0001	34.103	34.367	웃겨가지고.	[]
10	17	1	AH0002	34.509	34.57	아	[]
10	17	2	AH0002	34.853	34.975	저를	[]
10	17	3	AH0002	35.076	35.542	비웃으시고	[]
10	17	4	AH0002	35.582	36.23	말이죠.	[]
11	18	1	AH0001	36.759	37.662	결국은	[]
11	18	2	AH0001	37.742	38.164	결국은	[]
11	18	3	AH0001	38.184	38.204	그	[]
11	18	4	AH0001	38.385	38.525	그	[]
11	18	5	AH0001	38.826	39.007	비를	[]
11	18	6	AH0001	39.067	39.428	맞고도	[]
11	18	7	AH0001	39.448	39.468	안	[]
11	18	8	AH0001	39.749	40.472	크셨네요.	[]
12	19	1	AH0002	40.473	40.836	그니까	[]
12	19	2	AH0002	40.876	41.36	말이죠.	[]
12	20	1	AH0002	41.36	41.741	어	[]
12	20	2	AH0002	41.841	42.041	혹시	[]
12	20	3	AH0002	42.082	42.202	그것	[]
12	20	4	AH0002	42.282	42.422	때문에	[]
12	20	5	AH0002	42.462	42.502	안	[]
12	20	6	AH0002	42.583	42.663	큰	[]
12	20	7	AH0002	42.723	42.803	건	[]
12	20	8	AH0002	42.843	43.184	아닐까.	[]
13	21	1	AH0001	43.755	44.143	아이고.	[1]
14	22	1	AH0002	44.468	45.152	급격한	[]
14	22	2	AH0002	45.192	45.533	산업화로	[]
14	22	3	AH0002	45.554	45.775	인해서	[]
14	22	4	AH0002	45.835	46.036	그것도	[]
14	22	5	AH0002	46.096	46.498	상당히	[]
14	22	6	AH0002	46.539	46.679	좀	[]
14	22	7	AH0002	46.72	46.74	안	[]
14	22	8	AH0002	46.88	47.262	좋았었거든요	[]
14	22	9	AH0002	47.403	47.544	지금	[]
14	22	10	AH0002	47.624	48.107	생각해보면.	[]
14	23	1	AH0002	48.543	48.91	그때는	[]
14	23	2	AH0002	48.971	49.787	몰랐습니다.	[]
14	24	1	AH0002	49.945	50.426	아	[2]
14	24	2	AH0002	50.626	50.927	하물며	[]
14	24	3	AH0002	50.947	51.067	이제	[]
14	24	4	AH0002	51.167	51.588	처마에서	[]
14	24	5	AH0002	51.688	52.049	떨어지는	[]
14	24	6	AH0002	52.149	52.47	물이	[]
14	24	7	AH0002	52.65	52.931	그	[]
14	24	8	AH0002	53.131	53.392	마당	[]
14	24	9	AH0002	53.492	53.792	앞에	[]
14	24	10	AH0002	53.872	54.033	그	[]
14	24	11	AH0002	54.133	54.373	홈을	[]
14	24	12	AH0002	54.474	55.055	파잖아요.	[3]
