bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	16.146	16.381	CONTINUER	네.	[2]	[3]	[3]
2	AH0001	22.114	22.484	CONTINUER	흐흠.	[2]	[4]	[7]
3	AH0001	23.889	24.194	CONTINUER	네.	[2]	[4]	[10]
4	AH0001	26.152	26.604	CONTINUER	네.	[2]	[4]	[16]
5	AH0001	42.492	43.666	CONTINUER	예. 네.	[4]	[8]	[4]
6	AH0001	46.784	47.349	CONTINUER	네.	[4]	[9]	[8]
7	AH0001	76.137	77.819	REQUEST_CONFIRMATION	아. 그렇습니까? 네.	[6]	[14]	[6]
8	AH0001	93.873	94.341	CONTINUER	네.	[6]	[17]	[15]
9	AH0001	98.051	98.401	CONTINUER	네.	[6]	[18]	[8]
10	AH0001	99.362	99.68	CONTINUER	아.	[6]	[18]	[9]
11	AH0001	115.344	116.119	ASSESSMENT	아하.	[10]	[23]	[8]
12	AH0001	117.079	118.204	CONTINUER	예. 네.	[10]	[23]	[13]
13	AH0001	126.157	126.666	CONTINUER	네.	[10]	[24]	[13]
14	AH0001	141.712	141.927	CONTINUER	네.	[12]	[27]	[12]
15	AH0001	148.756	149.066	CONTINUER	네.	[12]	[29]	[1]
16	AH0001	152.253	152.688	CONTINUER	흐흠.	[12]	[29]	[7]
17	AH0001	157.83	158.199	CONTINUER	예.	[12]	[30]	[8]
18	AH0001	163.033	163.473	CONTINUER	네.	[12]	[31]	[10]
19	AH0001	174.979	175.345	CONTINUER	네.	[12]	[33]	[12]
20	AH0001	179.57	179.895	CONTINUER	으흠.	[12]	[34]	[7]
21	AH0001	182.423	182.898	CONTINUER	예.	[12]	[35]	[3]
22	AH0001	185.888	186.253	CONTINUER	네.	[12]	[35]	[8]
23	AH0001	189.089	189.574	CONTINUER	네.	[12]	[36]	[5]
24	AH0001	191.958	193.108	ASSESSMENT	허. 예.	[12]	[37]	[7]
25	AH0002	196.664	196.914	CONTINUER	네.	[13]	[38]	[5]
26	AH0002	204.906	205.246	CONTINUER	네.	[13]	[40]	[6]
27	AH0002	210.613	211.078	AFFIRMATIVE	네. 그렇슴.	[13]	[41]	[8]
28	AH0002	212.897	213.162	CONTINUER	네.	[13]	[42]	[4]
29	AH0002	217.598	217.873	CONTINUER	네.	[13]	[43]	[8]
30	AH0002	220.375	220.67	CONTINUER	네.	[13]	[44]	[3]
31	AH0002	222.07	222.656	AFFIRMATIVE	그렇습니다.	[13]	[45]	[4]
32	AH0002	232.498	233.018	AFFIRMATIVE	그렇습니다.	[13]	[48]	[1]
33	AH0002	234.143	234.308	CONTINUER	네.	[13]	[48]	[4]
34	AH0001	239.313	239.927	ASSESSMENT	아하.	[14]	[49]	[4]
35	AH0002	242.534	242.764	CONTINUER	네.	[15]	[50]	[5]
36	AH0002	245.34	245.47	CONTINUER	네.	[15]	[51]	[4]
37	AH0002	247.49	247.655	CONTINUER	네.	[15]	[51]	[8]
38	AH0002	249.716	250.352	AFFIRMATIVE	그렇죠.	[15]	[51]	[11]
39	AH0002	250.972	251.973	AFFIRMATIVE	맞습니다.	[15]	[52]	[1]
40	AH0002	258.608	259.963	AFFIRMATIVE	그렇습니다. 네.	[15]	[53]	[10]
41	AH0001	268.933	269.287	CONTINUER	네.	[16]	[55]	[8]
42	AH0001	273.251	273.583	CONTINUER	예.	[16]	[55]	[14]
43	AH0001	277.257	277.713	CONTINUER	네.	[16]	[56]	[8]
44	AH0002	283.505	283.735	CONTINUER	네.	[17]	[59]	[7]
45	AH0002	287.113	287.253	CONTINUER	네.	[17]	[60]	[5]
46	AH0002	288.127	288.333	CONTINUER	네.	[17]	[60]	[7]
47	AH0002	290.502	291.755	CONTINUER	네. 네.	[17]	[61]	[5]
48	AH0002	294.261	294.654	CONTINUER	네.	[17]	[62]	[7]
49	AH0002	304.414	304.744	CONTINUER	네.	[17]	[63]	[15]
50	AH0002	310.0	311.359	AFFIRMATIVE	그렇습니다.	[17]	[64]	[10]
51	AH0001	318.148	318.419	CONTINUER	네.	[20]	[68]	[3]
52	AH0001	327.802	328.012	CONTINUER	네.	[20]	[70]	[2]
53	AH0001	330.017	330.232	CONTINUER	예.	[20]	[70]	[6]
54	AH0001	331.747	331.907	CONTINUER	네.	[20]	[70]	[8]
55	AH0001	354.76	354.96	CONTINUER	네.	[22]	[74]	[11]
56	AH0001	359.063	359.303	CONTINUER	으음.	[22]	[75]	[7]
57	AH0001	361.489	361.884	ASSESSMENT	아하.	[22]	[75]	[10]
58	AH0001	365.089	365.254	CONTINUER	네.	[22]	[76]	[7]
59	AH0001	366.333	366.553	CONTINUER	네.	[22]	[76]	[10]
60	AH0002	372.615	373.25	AFFIRMATIVE	그렇습니다.	[23]	[78]	[8]
61	AH0002	374.454	375.388	AFFIRMATIVE	네. 그렇습니다.	[23]	[78]	[12]
62	AH0001	402.849	403.609	CONTINUER	으흠.	[24]	[82]	[22]
63	AH0001	405.485	405.852	CONTINUER	네.	[24]	[82]	[27]
64	AH0001	408.617	408.952	CONTINUER	으음.	[24]	[83]	[5]
65	AH0002	429.473	429.808	CONTINUER	네.	[25]	[86]	[9]
