bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	12.252	12.487	CONTINUER	네.	[3]	[4]	[6]
2	AH0002	16.642	17.042	CONTINUER	음.	[3]	[4]	[17]
3	AH0002	29.517	29.952	CONTINUER	네.	[7]	[10]	[2]
4	AH0002	30.732	31.147	CONTINUER	으음.	[7]	[10]	[6]
5	AH0002	32.044	32.776	AFFIRMATIVE	그죠.	[7]	[10]	[9]
6	AH0002	34.581	35.351	CONTINUER	음. 음. 음.	[7]	[11]	[4]
7	AH0002	40.217	40.557	CONTINUER	음.	[7]	[12]	[12]
8	AH0002	42.842	43.122	CONTINUER	음.	[9]	[14]	[1]
9	AH0002	45.017	45.752	CONTINUER	음음.	[9]	[14]	[4]
10	AH0001	48.474	49.659	AFFIRMATIVE	아. 그쵸. 네. 맞아요.	[10]	[15]	[3]
11	AH0001	50.873	51.503	CONTINUER	음.	[10]	[16]	[3]
12	AH0002	55.611	56.821	AFFIRMATIVE	음음. 음음.	[11]	[17]	[9]
13	AH0001	62.127	62.703	REQUEST_CONFIRMATION	아. 정말요?	[12]	[19]	[6]
14	AH0002	67.884	68.389	CONTINUER	으음.	[13]	[21]	[10]
15	AH0002	69.078	69.453	CONTINUER	음.	[13]	[22]	[2]
16	AH0001	70.728	71.178	CONTINUER	예예.	[14]	[23]	[3]
17	AH0002	71.95	72.11	CONTINUER	음.	[15]	[24]	[1]
18	AH0002	74.71	75.2	CONTINUER	음음.	[15]	[24]	[9]
19	AH0002	75.93	76.19	CONTINUER	음.	[15]	[24]	[12]
20	AH0002	82.703	83.033	CONTINUER	예.	[17]	[26]	[4]
21	AH0001	85.14	85.615	UNDERSTANDING	어.	[18]	[27]	[5]
22	AH0002	92.66	92.97	CONTINUER	네.	[21]	[31]	[8]
23	AH0002	96.225	96.65	CONTINUER	음.	[21]	[31]	[18]
24	AH0002	98.78	99.13	CONTINUER	네네.	[21]	[31]	[23]
25	AH0002	100.48	100.59	CONTINUER	네.	[21]	[31]	[29]
26	AH0001	102.707	103.257	ASSESSMENT	아.	[22]	[32]	[4]
27	AH0002	107.418	108.768	AFFIRMATIVE	어. 그렇죠. 맞아요.	[23]	[33]	[9]
28	AH0001	108.777	109.48	AFFIRMATIVE	맞습니다.	[]	[]	[]
29	AH0002	116.56	117.125	CONTINUER	음.	[25]	[35]	[9]
30	AH0002	117.625	117.955	CONTINUER	네네.	[25]	[35]	[11]
31	AH0002	120.266	120.521	CONTINUER	네.	[25]	[36]	[6]
32	AH0001	120.777	121.73	AFFIRMATIVE	그렇습니다.	[]	[]	[]
33	AH0001	123.995	124.195	CONTINUER	음.	[26]	[37]	[4]
34	AH0002	132.755	133.145	AFFIRMATIVE	맞아요.	[27]	[39]	[3]
35	AH0001	135.723	136.093	CONTINUER	음.	[28]	[41]	[2]
36	AH0001	141.365	141.695	CONTINUER	네.	[28]	[41]	[9]
37	AH0002	146.065	146.42	CONTINUER	네.	[29]	[43]	[8]
38	AH0002	149.179	149.449	CONTINUER	음.	[31]	[45]	[2]
39	AH0001	151.071	151.516	ASSESSMENT	헤!	[32]	[46]	[2]
40	AH0001	153.672	154.312	ASSESSMENT	어우.	[32]	[47]	[7]
41	AH0001	157.759	158.239	AFFIRMATIVE	아, 그렇죠.	[32]	[47]	[15]
42	AH0001	160.437	160.692	CONTINUER	음.	[32]	[48]	[5]
43	AH0001	162.722	163.282	AFFIRMATIVE	맞습니다.	[32]	[48]	[9]
44	AH0001	166.995	167.365	CONTINUER	네.	[34]	[50]	[1]
45	AH0001	169.227	170.037	AFFIRMATIVE	아우, 그렇죠. 네.	[34]	[51]	[4]
46	AH0001	171.378	171.733	CONTINUER	으흠.	[34]	[52]	[4]
47	AH0001	176.008	177.038	ASSESSMENT	허.	[34]	[52]	[12]
48	AH0002	179.425	180.015	CONTINUER	음음.	[35]	[53]	[6]
49	AH0002	180.49	180.685	CONTINUER	네.	[35]	[53]	[7]
50	AH0002	181.895	182.295	AFFIRMATIVE	그렇죠.	[35]	[53]	[10]
51	AH0002	183.967	184.112	CONTINUER	음.	[35]	[54]	[4]
52	AH0002	185.952	186.372	CONTINUER	으흠.	[35]	[54]	[8]
53	AH0002	188.175	188.755	AFFIRMATIVE	맞아요.	[35]	[54]	[14]
54	AH0002	190.155	190.465	CONTINUER	음.	[35]	[55]	[4]
55	AH0001	193.479	193.779	CONTINUER	음.	[36]	[56]	[3]
56	AH0001	195.449	195.824	ASSESSMENT	아.	[36]	[56]	[6]
57	AH0001	197.949	198.149	CONTINUER	네.	[36]	[56]	[11]
58	AH0001	202.794	203.294	ASSESSMENT	음.	[36]	[56]	[17]
59	AH0001	205.07	205.48	CONTINUER	어.	[36]	[57]	[1]
60	AH0001	207.84	208.175	CONTINUER	네.	[36]	[57]	[5]
61	AH0001	209.44	210.52	ASSESSMENT	크.	[36]	[57]	[8]
62	AH0002	215.369	215.604	CONTINUER	음.	[37]	[58]	[9]
63	AH0002	218.019	218.299	CONTINUER	네.	[37]	[58]	[14]
64	AH0002	219.707	219.892	CONTINUER	네.	[37]	[59]	[1]
65	AH0002	221.187	221.362	CONTINUER	음.	[37]	[59]	[3]
66	AH0002	223.105	223.325	CONTINUER	음.	[37]	[60]	[1]
67	AH0002	227.14	227.62	CONTINUER	예.	[37]	[60]	[13]
68	AH0002	229.41	229.77	CONTINUER	으음.	[37]	[60]	[18]
69	AH0002	230.8	231.265	CONTINUER	아.	[37]	[60]	[21]
70	AH0001	233.788	234.413	CONTINUER	네.	[38]	[61]	[1]
71	AH0001	245.23	245.6	CONTINUER	네.	[40]	[64]	[3]
72	AH0002	254.832	255.472	CONTINUER	음음.	[41]	[65]	[5]
73	AH0002	257.902	258.617	CONTINUER	예에.	[41]	[65]	[8]
74	AH0001	258.807	259.047	CONTINUER	네.	[42]	[66]	[1]
75	AH0002	262.358	262.528	CONTINUER	음.	[43]	[67]	[2]
76	AH0002	263.618	263.908	CONTINUER	네.	[43]	[67]	[6]
77	AH0002	267.533	267.848	CONTINUER	네에.	[43]	[68]	[8]
78	AH0001	275.528	276.073	CONTINUER	음. 네.	[44]	[70]	[9]
79	AH0001	278.841	279.051	CONTINUER	네.	[44]	[71]	[4]
80	AH0001	280.921	281.336	CONTINUER	크.	[44]	[71]	[8]
81	AH0001	282.116	282.421	CONTINUER	네.	[44]	[71]	[13]
82	AH0002	288.562	288.887	CONTINUER	음.	[45]	[73]	[8]
83	AH0002	290.142	290.637	CONTINUER	으흠.	[45]	[73]	[12]
84	AH0001	292.28	292.885	ASSESSMENT	하.	[46]	[74]	[2]
85	AH0001	294.5	295.225	AFFIRMATIVE	맞습니다.	[46]	[74]	[5]
86	AH0001	298.12	298.39	ASSESSMENT	허.	[46]	[74]	[11]
87	AH0002	300.757	300.942	CONTINUER	네.	[47]	[75]	[3]
88	AH0002	301.797	302.097	CONTINUER	음.	[47]	[75]	[5]
89	AH0002	302.822	302.992	CONTINUER	음.	[47]	[75]	[8]
90	AH0002	304.407	305.887	AFFIRMATIVE	맞아요. 네네.	[47]	[75]	[11]
91	AH0001	307.987	308.392	CONTINUER	음.	[48]	[76]	[5]
92	AH0001	311.103	311.288	CONTINUER	음.	[48]	[77]	[2]
93	AH0001	313.443	313.818	CONTINUER	아.	[48]	[77]	[6]
94	AH0001	315.803	316.023	ASSESSMENT	허.	[48]	[77]	[14]
95	AH0001	316.713	317.308	AFFIRMATIVE	맞습니다.	[48]	[77]	[16]
96	AH0002	318.916	319.171	CONTINUER	음.	[49]	[78]	[4]
97	AH0002	329.561	329.831	CONTINUER	네.	[51]	[82]	[2]
98	AH0001	333.419	333.969	CONTINUER	음.	[52]	[83]	[6]
99	AH0001	334.038	334.368	CONTINUER	네.	[52]	[84]	[1]
100	AH0001	338.123	338.783	AFFIRMATIVE	예. 맞습니다.	[52]	[84]	[6]
101	AH0001	340.716	341.076	CONTINUER	음.	[52]	[85]	[5]
102	AH0001	348.197	348.432	CONTINUER	음.	[54]	[87]	[5]
103	AH0001	349.839	350.329	ASSESSMENT	허!	[54]	[87]	[8]
104	AH0001	351.824	352.809	AFFIRMATIVE	그렇죠.	[54]	[88]	[4]
105	AH0001	354.493	354.908	REQUEST_CONFIRMATION	아. 정말요?	[54]	[89]	[3]
106	AH0002	359.683	359.888	CONTINUER	네.	[55]	[91]	[6]
107	AH0002	361.037	361.287	CONTINUER	음.	[55]	[91]	[8]
108	AH0002	362.052	362.452	CONTINUER	네네.	[55]	[91]	[12]
109	AH0001	363.828	364.033	CONTINUER	네.	[56]	[92]	[2]
110	AH0001	365.028	365.223	CONTINUER	음.	[56]	[92]	[3]
111	AH0002	374.692	375.062	CONTINUER	예.	[59]	[96]	[1]
112	AH0001	377.989	378.314	CONTINUER	네.	[60]	[97]	[4]
113	AH0001	381.291	382.156	ASSESSMENT	크.	[60]	[98]	[7]
114	AH0002	389.895	390.04	CONTINUER	네.	[61]	[101]	[12]
115	AH0002	391.6	391.9	CONTINUER	네.	[61]	[101]	[16]
116	AH0002	396.466	396.58	CONTINUER	음.	[63]	[103]	[4]
117	AH0002	397.981	398.421	CONTINUER	예.	[63]	[103]	[8]
118	AH0001	400.382	400.652	CONTINUER	음.	[64]	[104]	[3]
119	AH0001	401.257	401.702	CONTINUER	아.	[64]	[104]	[6]
120	AH0002	402.889	403.039	CONTINUER	음.	[]	[]	[]
121	AH0002	403.464	403.714	CONTINUER	네.	[65]	[106]	[3]
122	AH0002	404.484	405.509	AFFIRMATIVE	음. 음. 음.	[65]	[106]	[5]
123	AH0001	417.77	418.195	CONTINUER	네.	[68]	[111]	[5]
124	AH0001	425.257	425.762	AFFIRMATIVE	맞습니다.	[68]	[113]	[10]
125	AH0001	429.232	430.422	ASSESSMENT	크. 네.	[68]	[113]	[19]
126	AH0002	434.158	434.493	CONTINUER	음.	[69]	[114]	[8]
127	AH0002	436.049	436.319	CONTINUER	음.	[69]	[114]	[12]
128	AH0002	438.813	439.868	AFFIRMATIVE	으음. 음.	[71]	[117]	[3]
129	AH0002	442.048	442.333	CONTINUER	음.	[71]	[117]	[12]
130	AH0001	445.819	446.204	ASSESSMENT	크.	[72]	[118]	[6]
131	AH0002	455.733	455.923	CONTINUER	음.	[75]	[121]	[9]
132	AH0002	457.753	458.323	UNDERSTANDING	음.	[75]	[121]	[17]
133	AH0001	459.311	459.816	CONTINUER	네.	[76]	[122]	[1]
134	AH0001	462.031	462.296	ASSESSMENT	하.	[76]	[122]	[7]
135	AH0002	464.952	465.482	CONTINUER	으음.	[77]	[124]	[9]
136	AH0002	471.663	471.998	CONTINUER	음.	[79]	[127]	[7]
137	AH0001	473.139	473.284	CONTINUER	음.	[]	[]	[]
138	AH0001	474.054	474.464	CONTINUER	음음.	[80]	[128]	[2]
139	AH0001	474.864	475.199	CONTINUER	네.	[80]	[128]	[4]
140	AH0001	475.674	476.054	CONTINUER	네.	[80]	[128]	[7]
141	AH0002	476.384	476.769	CONTINUER	으흠.	[]	[]	[]
142	AH0001	481.849	482.164	CONTINUER	네.	[82]	[130]	[8]
143	AH0001	484.764	484.999	CONTINUER	음.	[82]	[130]	[14]
144	AH0001	486.691	487.221	UNDERSTANDING	아!	[82]	[130]	[19]
145	AH0001	490.009	490.274	CONTINUER	네.	[82]	[131]	[6]
146	AH0001	492.091	492.696	UNDERSTANDING	음!	[82]	[131]	[12]
147	AH0002	495.305	495.535	CONTINUER	음.	[83]	[133]	[4]
148	AH0002	503.85	504.005	CONTINUER	네.	[83]	[134]	[5]
149	AH0001	511.256	511.541	CONTINUER	으음.	[84]	[135]	[10]
150	AH0001	514.416	514.686	ASSESSMENT	어.	[84]	[135]	[17]
151	AH0001	515.833	516.133	CONTINUER	네.	[84]	[135]	[20]
152	AH0002	519.56	519.785	CONTINUER	네.	[85]	[137]	[7]
