uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.881	정부	[]
1	1	2	AH0001	0.961	1.141	지원	[]
1	1	3	AH0001	1.241	1.682	체계를	[]
1	1	4	AH0001	2.403	2.604	생애	[]
1	1	5	AH0001	2.684	3.004	주기별로	[]
1	1	6	AH0001	3.024	3.305	이렇게	[]
1	1	7	AH0001	3.605	4.046	초등학교	[]
1	1	8	AH0001	4.186	4.387	때는	[]
1	1	9	AH0001	4.487	4.587	뭘	[]
1	1	10	AH0001	4.627	4.867	해도	[]
1	1	11	AH0001	4.887	5.228	해주고	[1]
1	1	12	AH0001	5.909	6.109	또	[]
1	1	13	AH0001	6.65	6.791	대학	[]
1	1	14	AH0001	6.911	7.231	들어가면	[]
1	1	15	AH0001	7.332	7.512	뭘	[]
1	1	16	AH0001	7.532	7.712	해주고	[]
1	1	17	AH0001	7.732	7.832	이렇게	[]
1	1	18	AH0001	7.953	8.073	쭉	[]
1	1	19	AH0001	8.113	8.373	해서	[]
1	1	20	AH0001	8.854	9.095	지금	[]
1	1	21	AH0001	9.155	9.195	이제	[]
1	2	1	AH0001	10.239	10.48	우리가	[]
1	2	2	AH0001	10.561	10.842	국가	[]
1	2	3	AH0001	10.862	11.365	과학자라는	[]
1	2	4	AH0001	11.446	11.727	제도	[]
1	2	5	AH0001	11.888	12.572	들어보셨습니까	[]
2	3	1	AH0002	12.572	12.818	네	[]
2	3	2	AH0002	12.921	13.105	들어봤	[]
3	4	1	AH0001	13.104	13.505	이제	[]
3	4	2	AH0001	13.966	14.186	정말	[]
3	4	3	AH0001	14.246	14.948	노벨상	[]
3	4	4	AH0001	14.988	15.008	어	[]
3	4	5	AH0001	15.95	16.03	에	[]
3	4	6	AH0001	16.11	16.531	근접하는	[]
3	4	7	AH0001	16.611	17.212	분들이거든요?	[]
3	4	8	AH0001	17.453	17.573	그런	[]
3	4	9	AH0001	17.673	18.114	분들은	[]
3	4	10	AH0001	18.655	19.036	저희가	[]
3	4	11	AH0001	19.497	19.617	한	[]
3	4	12	AH0001	19.657	19.717	오	[]
3	4	13	AH0001	19.797	20.118	년간	[]
3	4	14	AH0001	20.198	20.519	해서	[]
3	4	15	AH0001	21.06	21.34	어	[]
3	4	16	AH0001	21.36	21.721	굉장히	[]
3	4	17	AH0001	21.781	22.082	많은	[]
3	4	18	AH0001	22.222	22.863	지원금을	[]
3	4	19	AH0001	22.963	23.204	그냥	[]
3	4	20	AH0001	23.725	23.905	어	[]
3	4	21	AH0001	24.286	24.767	지원해드리고	[]
3	4	22	AH0001	24.787	25.368	있습니다.	[]
3	5	1	AH0001	25.368	25.89	지금	[]
3	5	2	AH0001	25.91	26.031	한	[]
3	5	3	AH0001	26.111	26.272	여덟	[]
3	5	4	AH0001	26.413	26.453	분	[]
3	5	5	AH0001	26.533	26.714	정도	[]
