bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	13.675	13.93	CONTINUER	네.	[3]	[4]	[5]
2	AH0002	17.25	17.586	CONTINUER	네네.	[3]	[4]	[10]
3	AH0001	48.526	48.776	CONTINUER	예.	[6]	[10]	[6]
4	AH0001	53.335	53.78	CONTINUER	네.	[6]	[10]	[17]
5	AH0002	65.168	65.603	CONTINUER	네네.	[9]	[14]	[6]
6	AH0002	70.282	71.219	REQUEST_CONFIRMATION	아. 그런가요?	[9]	[15]	[9]
7	AH0001	128.925	129.32	CONTINUER	네.	[14]	[29]	[12]
8	AH0002	137.525	137.7	CONTINUER	예.	[15]	[31]	[3]
9	AH0001	162.47	163.38	UNDERSTANDING	아. 예예.	[18]	[37]	[9]
10	AH0001	168.785	169.22	CONTINUER	네.	[18]	[38]	[10]
11	AH0001	183.057	183.142	CONTINUER	예.	[20]	[42]	[1]
12	AH0001	184.282	184.477	CONTINUER	네.	[20]	[42]	[2]
13	AH0001	189.052	189.747	UNDERSTANDING	아.	[20]	[42]	[9]
14	AH0002	203.741	203.966	CONTINUER	네.	[23]	[46]	[6]
15	AH0001	231.382	232.187	UNDERSTANDING	네.	[24]	[50]	[14]
16	AH0002	253.658	253.903	CONTINUER	네.	[25]	[54]	[11]
17	AH0002	254.934	255.719	AFFIRMATIVE	네. 맞습니다.	[25]	[55]	[2]
18	AH0002	259.874	260.179	AFFIRMATIVE	그쵸.	[25]	[55]	[9]
19	AH0001	271.165	271.52	CONTINUER	네.	[26]	[57]	[12]
20	AH0001	277.546	278.026	CONTINUER	아어.	[26]	[58]	[9]
21	AH0001	280.807	281.166	CONTINUER	네.	[26]	[58]	[16]
22	AH0001	286.644	287.17	CONTINUER	음.	[26]	[59]	[7]
23	AH0001	292.263	292.923	CONTINUER	네.	[26]	[60]	[7]
24	AH0002	312.575	312.93	CONTINUER	아. 네.	[27]	[64]	[5]
25	AH0002	314.255	314.41	CONTINUER	네.	[27]	[64]	[9]
26	AH0002	322.743	323.033	CONTINUER	어. 네.	[27]	[66]	[8]
27	AH0001	339.597	339.902	CONTINUER	예.	[28]	[70]	[7]
28	AH0001	358.596	359.066	CONTINUER	네.	[28]	[73]	[10]
29	AH0001	371.058	371.513	CONTINUER	예.	[28]	[75]	[9]
30	AH0001	373.749	374.059	CONTINUER	음.	[28]	[76]	[5]
31	AH0001	416.469	416.824	CONTINUER	예.	[28]	[80]	[12]
32	AH0001	430.395	430.876	CONTINUER	예.	[30]	[83]	[16]
33	AH0001	434.377	434.916	CONTINUER	음.	[30]	[84]	[10]
34	AH0001	437.652	437.902	CONTINUER	예.	[30]	[85]	[5]
35	AH0001	443.279	443.579	CONTINUER	예.	[30]	[86]	[12]
36	AH0001	451.795	452.399	NEGATIVE_SURPRISE	아.	[30]	[87]	[19]
37	AH0002	464.032	464.162	CONTINUER	네.	[31]	[89]	[4]
38	AH0001	476.47	476.869	CONTINUER	예.	[32]	[90]	[19]
39	AH0001	482.88	483.305	CONTINUER	예.	[32]	[91]	[15]
40	AH0001	497.658	498.009	CONTINUER	예.	[34]	[94]	[11]
41	AH0001	503.016	503.902	UNDERSTANDING	음.	[34]	[95]	[9]
42	AH0001	507.976	508.236	CONTINUER	예.	[34]	[96]	[8]
43	AH0001	554.302	554.651	CONTINUER	네.	[36]	[102]	[10]
44	AH0001	573.752	574.117	CONTINUER	네.	[36]	[104]	[14]
45	AH0001	584.371	584.916	CONTINUER	네.	[36]	[106]	[13]
46	AH0001	593.844	594.214	CONTINUER	예.	[36]	[107]	[18]
47	AH0001	616.249	616.679	CONTINUER	예.	[36]	[110]	[16]
48	AH0001	670.212	670.742	CONTINUER	예.	[38]	[118]	[1]
49	AH0001	677.368	677.813	CONTINUER	네.	[38]	[119]	[9]
50	AH0001	692.641	692.936	CONTINUER	예.	[38]	[122]	[9]
51	AH0001	702.248	702.733	CONTINUER	예.	[38]	[125]	[1]
52	AH0002	722.783	723.003	CONTINUER	응.	[39]	[127]	[3]
53	AH0001	743.883	744.268	CONTINUER	아. 예.	[40]	[130]	[12]
54	AH0001	747.333	747.663	CONTINUER	네.	[40]	[131]	[5]
55	AH0001	758.909	759.424	CONTINUER	예.	[40]	[133]	[7]
56	AH0001	765.499	766.039	CONTINUER	네.	[40]	[134]	[13]
57	AH0001	788.877	789.427	CONTINUER	예.	[40]	[138]	[6]
58	AH0001	829.206	829.461	CONTINUER	네.	[42]	[145]	[12]
59	AH0002	848.734	848.849	CONTINUER	네.	[45]	[150]	[4]
