bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	15.039	15.239	CONTINUER	네.	[2]	[3]	[14]
2	AH0001	19.365	19.67	CONTINUER	네.	[4]	[5]	[2]
3	AH0001	22.185	23.505	CONTINUER	아. 네네네네.	[4]	[5]	[9]
4	AH0001	30.417	30.922	CONTINUER	아.	[4]	[7]	[1]
5	AH0001	51.036	51.976	CONTINUER	어.	[4]	[9]	[8]
6	AH0001	54.309	55.479	CONTINUER	에. 에에에.	[4]	[9]	[14]
7	AH0001	62.703	63.258	CONTINUER	음.	[4]	[12]	[10]
8	AH0001	64.123	64.238	CONTINUER	음.	[4]	[12]	[13]
9	AH0001	66.714	67.284	CONTINUER	음.	[4]	[13]	[8]
10	AH0001	72.91	73.355	CONTINUER	아.	[4]	[14]	[7]
11	AH0001	74.185	74.38	CONTINUER	음.	[4]	[14]	[9]
12	AH0001	86.04	87.069	CONTINUER	음.	[4]	[16]	[18]
13	AH0001	88.289	88.721	CONTINUER	네.	[4]	[17]	[3]
14	AH0002	96.718	96.908	CONTINUER	네.	[5]	[20]	[5]
15	AH0001	98.669	99.249	CONTINUER	음.	[6]	[21]	[3]
16	AH0001	100.084	100.409	CONTINUER	음.	[6]	[21]	[6]
17	AH0001	105.156	105.511	CONTINUER	네.	[6]	[22]	[1]
18	AH0001	108.006	108.706	CONTINUER	음.	[6]	[22]	[6]
19	AH0001	127.613	127.818	CONTINUER	네.	[10]	[29]	[4]
20	AH0001	129.673	130.513	CONTINUER	아.	[10]	[29]	[7]
21	AH0001	140.276	140.526	CONTINUER	네.	[10]	[30]	[20]
22	AH0001	285.583	285.883	CONTINUER	음.	[12]	[47]	[1]
23	AH0001	298.453	298.753	CONTINUER	음.	[12]	[48]	[11]
24	AH0001	306.457	306.877	CONTINUER	아.	[12]	[49]	[12]
25	AH0001	310.977	311.402	CONTINUER	예.	[12]	[49]	[20]
26	AH0001	318.417	318.747	CONTINUER	음.	[12]	[50]	[1]
27	AH0001	341.681	342.346	CONTINUER	어.	[14]	[52]	[23]
28	AH0001	346.151	346.466	CONTINUER	네.	[14]	[53]	[9]
29	AH0001	357.061	357.616	CONTINUER	음.	[14]	[55]	[1]
30	AH0001	363.431	363.821	CONTINUER	음.	[14]	[56]	[5]
31	AH0001	370.841	371.361	CONTINUER	음.	[14]	[57]	[11]
32	AH0001	380.283	380.598	CONTINUER	음.	[14]	[58]	[9]
33	AH0001	381.458	381.708	CONTINUER	네.	[14]	[58]	[12]
34	AH0001	393.13	393.75	CONTINUER	음.	[14]	[60]	[5]
35	AH0001	395.41	395.655	CONTINUER	음.	[14]	[60]	[7]
36	AH0001	401.285	401.57	CONTINUER	네.	[14]	[60]	[14]
37	AH0001	403.595	403.865	CONTINUER	음.	[14]	[60]	[20]
38	AH0001	407.8	408.125	CONTINUER	네.	[14]	[60]	[28]
39	AH0001	409.795	410.185	CONTINUER	어.	[14]	[61]	[1]
40	AH0001	412.501	412.866	CONTINUER	어.	[14]	[62]	[1]
41	AH0001	419.611	419.821	CONTINUER	음.	[14]	[63]	[1]
42	AH0001	420.762	420.942	CONTINUER	네.	[14]	[64]	[1]
43	AH0001	428.787	429.287	CONTINUER	어.	[14]	[64]	[14]
44	AH0001	434.554	436.174	CONTINUER	음음음. 음음음.	[14]	[65]	[9]
45	AH0001	445.174	445.389	CONTINUER	네.	[14]	[66]	[19]
46	AH0001	455.355	455.685	CONTINUER	음.	[14]	[67]	[18]
47	AH0001	465.786	466.131	CONTINUER	음.	[14]	[68]	[22]
48	AH0001	481.153	481.328	CONTINUER	음.	[14]	[70]	[10]
49	AH0001	489.433	489.863	CONTINUER	음.	[14]	[70]	[26]
50	AH0001	494.89	495.875	CONTINUER	음.	[14]	[71]	[13]
51	AH0001	506.942	508.242	CONTINUER	음.	[14]	[72]	[21]
52	AH0001	523.617	524.402	CONTINUER	어.	[14]	[74]	[12]
53	AH0001	528.202	529.397	CONTINUER	예. 예.	[14]	[74]	[25]
54	AH0001	530.797	531.467	CONTINUER	예.	[14]	[74]	[30]
55	AH0001	557.148	557.428	CONTINUER	네.	[16]	[79]	[1]
56	AH0001	563.651	563.916	CONTINUER	네.	[18]	[82]	[1]
57	AH0001	570.822	571.067	CONTINUER	네.	[18]	[84]	[2]
58	AH0001	590.069	590.554	ASSESSMENT	이야.	[20]	[90]	[1]
59	AH0001	599.469	599.809	CONTINUER	에.	[22]	[92]	[4]
60	AH0001	601.384	601.794	CONTINUER	음.	[22]	[92]	[9]
61	AH0001	602.866	603.176	CONTINUER	네.	[22]	[93]	[1]
62	AH0001	725.202	725.852	CONTINUER	아.	[26]	[112]	[4]
63	AH0001	731.733	731.948	CONTINUER	네.	[26]	[113]	[11]
64	AH0001	739.115	739.245	CONTINUER	옙.	[28]	[116]	[9]
65	AH0001	789.723	790.163	CONTINUER	어.	[30]	[125]	[5]
66	AH0001	791.708	792.078	CONTINUER	음.	[30]	[125]	[9]
67	AH0001	794.427	795.163	CONTINUER	어.	[30]	[125]	[12]
68	AH0001	797.298	797.838	CONTINUER	네네.	[30]	[125]	[17]
69	AH0001	806.932	808.042	CONTINUER	음. 음.	[30]	[127]	[17]
70	AH0001	814.432	815.237	CONTINUER	네.	[30]	[127]	[32]
71	AH0001	819.518	819.683	CONTINUER	응.	[30]	[129]	[3]
72	AH0002	863.923	864.028	CONTINUER	네.	[31]	[138]	[1]
