bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	65.037	65.372	CONTINUER	네.	[8]	[15]	[20]
2	AH0001	70.323	70.574	CONTINUER	네.	[8]	[16]	[9]
3	AH0002	88.656	89.001	CONTINUER	네네.	[11]	[21]	[13]
4	AH0001	104.36	104.559	CONTINUER	예.	[12]	[24]	[9]
5	AH0001	120.166	120.396	CONTINUER	네.	[12]	[27]	[9]
6	AH0001	140.057	140.237	CONTINUER	네.	[12]	[32]	[1]
7	AH0001	147.727	148.078	CONTINUER	네.	[12]	[32]	[16]
8	AH0002	159.391	159.656	CONTINUER	네.	[13]	[35]	[7]
9	AH0002	167.21	167.789	AFFIRMATIVE	그렇습니다.	[13]	[37]	[5]
10	AH0002	175.533	176.194	UNDERSTANDING	음. 네.	[13]	[38]	[11]
11	AH0002	190.307	190.532	CONTINUER	네.	[13]	[40]	[2]
12	AH0002	199.348	199.878	CONTINUER	네. 네.	[13]	[41]	[11]
13	AH0001	202.067	202.251	CONTINUER	예.	[14]	[42]	[3]
14	AH0001	231.66	231.96	CONTINUER	네.	[14]	[46]	[13]
15	AH0001	242.065	242.429	CONTINUER	음.	[14]	[49]	[7]
16	AH0001	251.832	252.093	CONTINUER	네.	[14]	[51]	[6]
17	AH0001	254.513	254.803	CONTINUER	네.	[14]	[52]	[4]
18	AH0002	264.36	264.67	CONTINUER	네.	[15]	[53]	[13]
19	AH0002	276.605	276.839	CONTINUER	네.	[17]	[57]	[12]
20	AH0002	280.752	280.951	CONTINUER	네.	[17]	[58]	[5]
21	AH0002	286.604	287.114	AFFIRMATIVE	그렇죠.	[17]	[59]	[12]
22	AH0002	288.906	289.055	CONTINUER	네.	[17]	[60]	[8]
23	AH0002	304.58	304.795	CONTINUER	음.	[17]	[63]	[12]
24	AH0001	309.165	309.44	CONTINUER	예.	[18]	[65]	[3]
25	AH0001	314.604	314.884	CONTINUER	네.	[18]	[67]	[7]
26	AH0001	326.661	326.996	CONTINUER	예.	[18]	[70]	[12]
27	AH0001	335.452	335.877	CONTINUER	음.	[18]	[74]	[4]
28	AH0001	344.915	345.205	CONTINUER	네.	[20]	[78]	[4]
29	AH0001	352.263	352.598	CONTINUER	네.	[20]	[80]	[11]
30	AH0001	360.553	360.782	CONTINUER	네.	[20]	[82]	[7]
31	AH0002	376.225	376.62	CONTINUER	네네.	[23]	[89]	[7]
32	AH0002	380.407	380.701	CONTINUER	네.	[23]	[90]	[9]
