bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	60.872	61.812	CONTINUER	음. 네.	[18]	[19]	[13]
2	AH0001	64.332	64.677	CONTINUER	음.	[18]	[19]	[26]
3	AH0001	66.442	66.892	ASSESSMENT	아우.	[18]	[19]	[28]
4	AH0002	75.49	75.855	CONTINUER	네네.	[19]	[22]	[1]
5	AH0001	81.746	81.941	CONTINUER	네.	[20]	[25]	[4]
6	AH0001	84.236	84.431	CONTINUER	응.	[20]	[25]	[11]
7	AH0002	93.908	94.263	AFFIRMATIVE	그렇죠.	[21]	[27]	[2]
8	AH0002	108.454	108.784	CONTINUER	네네.	[27]	[33]	[6]
9	AH0002	110.258	110.663	AFFIRMATIVE	그렇습니다.	[27]	[33]	[9]
10	AH0002	112.237	112.696	CONTINUER	으흠.	[27]	[33]	[12]
11	AH0002	119.426	119.631	CONTINUER	음.	[27]	[34]	[19]
12	AH0002	129.324	129.939	CONTINUER	음음음.	[31]	[38]	[3]
13	AH0002	134.104	134.384	CONTINUER	네네.	[33]	[41]	[1]
14	AH0002	136.557	137.274	CONTINUER	네네네네.	[33]	[42]	[5]
15	AH0002	138.959	139.244	CONTINUER	네.	[33]	[43]	[4]
16	AH0002	140.908	142.123	CONTINUER	네예.	[33]	[43]	[7]
17	AH0002	145.605	146.37	UNDERSTANDING	어.	[35]	[45]	[7]
18	AH0002	147.555	148.205	AFFIRMATIVE	맞아요. 맞아요.	[35]	[45]	[13]
19	AH0002	152.588	153.078	CONTINUER	음음음.	[37]	[48]	[2]
20	AH0002	159.052	159.342	CONTINUER	예.	[39]	[50]	[8]
21	AH0002	169.845	170.13	CONTINUER	네.	[45]	[56]	[2]
22	AH0002	174.364	174.829	CONTINUER	네네네.	[47]	[59]	[4]
23	AH0002	176.044	176.414	ASSESSMENT	이야.	[47]	[59]	[9]
24	AH0002	178.264	179.429	CONTINUER	음.	[47]	[59]	[12]
25	AH0002	187.679	187.949	CONTINUER	응.	[53]	[65]	[5]
26	AH0002	190.473	190.983	CONTINUER	네네네.	[53]	[66]	[5]
27	AH0002	192.264	193.324	ASSESSMENT	어. 오.	[53]	[66]	[13]
28	AH0002	194.74	195.3	ASSESSMENT	어.	[53]	[66]	[21]
29	AH0002	197.285	197.725	ASSESSMENT	어유.	[53]	[67]	[5]
