uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.55	1.452	어디론가	[]
1	1	2	AH0001	1.573	2.094	훌쩍	[]
1	1	3	AH0001	2.274	2.555	떠나고	[]
1	1	4	AH0001	2.615	2.836	싶은	[]
1	1	5	AH0001	2.936	3.317	토요일	[]
1	1	6	AH0001	3.477	3.979	오후	[]
1	1	7	AH0001	4.279	4.58	이런	[]
1	1	8	AH0001	4.72	5.061	여행은	[]
1	1	9	AH0001	5.121	5.803	어떠실까요	[]
1	1	10	AH0001	6.284	6.766	이야기가	[]
1	1	11	AH0001	6.806	7.106	있는	[]
1	1	12	AH0001	7.387	8.149	역사여행.	[]
1	2	1	AH0001	9.312	9.813	토요일에	[]
1	2	2	AH0001	9.853	10.515	함께하는	[]
1	2	3	AH0001	10.735	11.177	이야기가	[]
1	2	4	AH0001	11.217	11.397	있는	[]
1	2	5	AH0001	11.457	12.199	역사여행	[]
1	2	6	AH0001	12.319	12.861	역사학자	[]
1	2	7	AH0001	12.961	13.422	@이름1	[]
1	2	8	AH0001	13.482	13.963	교수님과	[]
1	2	9	AH0001	14.004	14.625	함께합니다	[]
1	2	10	AH0001	14.745	15.427	안녕하세요.	[]
2	3	1	AH0002	15.472	15.593	예	[]
2	3	2	AH0002	15.613	16.096	안녕하십니까.	[]
3	4	1	AH0001	16.74	16.88	자	[]
3	4	2	AH0001	16.98	17.201	오늘	[]
3	4	3	AH0001	17.261	17.622	여행도	[]
3	4	4	AH0001	17.682	18.523	떠나보겠습니다	[]
3	4	5	AH0001	18.583	18.824	어디로	[]
3	4	6	AH0001	18.864	19.625	갈까요.	[]
4	5	1	AH0002	20.048	20.088	예	[]
4	5	2	AH0002	20.148	20.268	우리	[]
4	5	3	AH0002	20.348	20.669	지난	[]
4	5	4	AH0002	20.849	21.21	시간에	[]
4	5	5	AH0002	21.39	21.791	다산	[]
4	5	6	AH0002	21.991	22.432	정약용	[]
4	5	7	AH0002	22.512	22.853	선생	[]
4	5	8	AH0002	22.873	22.953	그	[]
