uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.62	1.041	홈페이지	[]
1	1	2	AH0001	1.081	1.442	당첨자	[]
1	1	3	AH0001	1.462	1.883	게시판에	[]
1	1	4	AH0001	2.164	2.385	주소와	[]
1	1	5	AH0001	2.425	2.826	연락처	[]
1	1	6	AH0001	3.067	3.568	답글로	[]
1	1	7	AH0001	3.688	5.433	남겨주세요.	[]
1	2	1	AH0001	5.433	6.014	네	[]
1	2	2	AH0001	6.234	6.314	글	[]
1	2	3	AH0001	6.415	6.535	쓰는	[]
1	2	4	AH0001	6.615	7.276	상담가시죠	[]
1	2	5	AH0001	7.516	7.857	@이름7	[]
1	2	6	AH0001	7.877	7.897	씨	[]
1	2	7	AH0001	7.917	8.338	오셨습니다	[]
1	2	8	AH0001	8.418	8.558	안녕하세요.	[]
2	3	1	AH0002	8.599	8.701	네	[]
2	3	2	AH0002	8.721	9.599	안녕하세요.	[]
3	4	1	AH0001	9.972	10.473	아	[]
3	4	2	AH0001	10.774	10.834	이제	[]
3	4	3	AH0001	10.954	11.215	정말	[]
3	4	4	AH0001	11.295	11.556	우리가	[]
3	4	5	AH0001	11.576	11.596	올	[]
3	4	6	AH0001	11.957	12.117	한	[]
3	4	7	AH0001	12.318	12.639	해를	[]
3	4	8	AH0001	12.739	12.999	마무리	[]
3	4	9	AH0001	13.02	13.32	하고	[]
3	4	10	AH0001	14.283	14.443	올	[]
3	4	11	AH0001	14.503	14.583	한	[]
3	4	12	AH0001	14.603	14.724	해의	[]
3	4	13	AH0001	14.824	15.065	마지막	[1]
3	4	14	AH0001	15.867	16.468	시간입니다.	[]
4	5	1	AH0002	13.828	14.199	그렇습니다.	[]
4	6	1	AH0002	16.478	17.166	마지막입니다.	[]
5	7	1	AH0001	17.166	17.606	네	[]
5	7	2	AH0001	17.967	18.567	슬프지만	[]
5	7	3	AH0001	18.728	18.808	또	[]
5	7	4	AH0001	19.268	19.709	기쁘네요.	[]
5	7	5	AH0001	19.809	20.329	우리가	[]
5	7	6	AH0001	20.79	20.89	올	[]
5	7	7	AH0001	20.95	21.41	한	[]
5	7	8	AH0001	21.551	21.831	해	[2]
5	7	9	AH0001	21.891	21.951	올	[]
5	7	10	AH0001	22.011	22.331	하반기를	[]
5	7	11	AH0001	22.371	22.652	함께	[]
5	7	12	AH0001	22.672	22.912	했다는	[]
5	7	13	AH0001	23.012	23.092	것	[]
5	7	14	AH0001	23.332	23.533	그리고	[]
5	7	15	AH0001	23.593	23.813	내년도	[]
5	7	16	AH0001	23.853	24.053	함께	[]
5	7	17	AH0001	24.093	24.113	할	[]
5	7	18	AH0001	24.213	24.253	수	[]
5	7	19	AH0001	24.273	24.474	있다는	[]
5	7	20	AH0001	24.534	24.554	것	[]
6	8	1	AH0002	25.512	25.895	그렇군요.	[]
7	9	1	AH0001	26.157	26.257	네	[]
7	9	2	AH0001	26.277	26.618	아유	[]
7	9	3	AH0001	26.899	27.48	인생라디오는	[]
7	9	4	AH0001	27.541	29.345	내년에도	[]
7	9	5	AH0001	29.425	30.087	계속됩니다	[]
7	9	6	AH0001	30.147	30.388	심통도	[]
7	9	7	AH0001	30.568	31.19	계속됩니다.	[]
7	10	1	AH0001	31.26	31.32	아	[]
7	10	2	AH0001	31.34	31.662	@이름7에게	[]
7	10	3	AH0001	31.822	32.043	십이	[]
7	10	4	AH0001	32.063	32.083	월	[]
7	10	5	AH0001	32.184	32.565	어떤	[]
7	10	6	AH0001	32.806	33.368	달이셨나요?	[]
8	11	1	AH0002	33.901	34.302	저는	[]
8	11	2	AH0002	34.463	34.804	매년	[]
8	11	3	AH0002	34.965	35.707	십이	[]
8	11	4	AH0002	35.727	35.768	월이	[]
8	11	5	AH0002	36.249	36.61	파랑새	[]
8	11	6	AH0002	36.631	36.831	같은	[]
8	11	7	AH0002	36.871	37.092	달이다	[]
8	11	8	AH0002	37.634	37.815	이렇게	[]
8	11	9	AH0002	37.855	37.875	좀	[]
8	11	10	AH0002	37.975	38.076	표현을	[]
8	11	11	AH0002	38.116	38.256	하고	[]
8	11	12	AH0002	38.316	38.758	싶어요.	[]
9	12	1	AH0001	38.759	38.94	왜요?	[]
9	12	2	AH0001	39.121	39.664	파랑새가	[]
9	12	3	AH0001	40.247	40.75	그	[]
9	12	4	AH0001	41.112	41.293	소설	[]
10	13	1	AH0002	41.635	42.139	동화	[]
10	13	2	AH0002	42.3	42.683	파랑새	[]
10	13	3	AH0002	42.803	43.589	얘기하는	[]
10	13	4	AH0002	43.629	43.69	거	[]
10	13	5	AH0002	43.73	44.536	맞구요.	[]
10	14	1	AH0002	44.854	44.974	그	[]
10	14	2	AH0002	45.034	45.114	왜	[]
10	14	3	AH0002	45.455	45.635	동화	[]
10	14	4	AH0002	45.675	45.995	파랑새	[]
10	14	5	AH0002	46.055	46.316	보면	[]
10	14	6	AH0002	46.336	46.356	막	[3]
10	14	7	AH0002	47.237	47.577	파랑새를	[]
10	14	8	AH0002	47.637	47.757	찾아	[]
10	14	9	AH0002	47.817	48.298	다니다가	[4]
10	14	10	AH0002	48.378	48.678	집에	[]
10	14	11	AH0002	48.759	48.779	딱	[]
10	14	12	AH0002	48.819	49.059	왔는데	[]
10	14	13	AH0002	49.119	49.459	파랑새가	[]
10	14	14	AH0002	49.499	49.96	있잖아요.	[]
11	15	1	AH0001	49.97	50.07	우리	[]
11	15	2	AH0001	50.111	50.291	지갑	[]
