uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.121	오늘은	[]
1	1	2	AH0001	1.322	1.662	@이름1	[]
1	1	3	AH0001	1.762	2.404	영화평론가와	[]
1	1	4	AH0001	2.444	2.885	함께	[]
1	1	5	AH0001	3.826	4.408	무비살롱	[]
1	1	6	AH0001	4.568	5.109	함께하고	[]
1	1	7	AH0001	5.149	5.69	있습니다.	[]
1	2	1	AH0001	5.69	6.192	자	[]
1	2	2	AH0001	6.352	6.814	속깊은	[]
1	2	3	AH0001	6.874	7.115	영화	[]
1	2	4	AH0001	7.236	7.256	한	[]
1	2	5	AH0001	7.416	7.517	편	[]
1	2	6	AH0001	7.617	7.898	소개해	[]
1	2	7	AH0001	7.918	8.039	주셔야	[]
1	2	8	AH0001	8.059	8.079	될	[]
1	2	9	AH0001	8.119	8.44	텐데요.	[]
1	2	10	AH0001	8.741	8.942	오늘	[]
1	2	11	AH0001	9.062	9.444	소개해주실	[]
1	2	12	AH0001	9.564	9.665	첫	[]
1	2	13	AH0001	9.765	10.006	번째	[]
1	2	14	AH0001	10.066	10.126	영화.	[]
1	2	15	AH0001	10.307	10.508	어떤	[]
1	2	16	AH0001	10.548	10.668	영화	[]
1	2	17	AH0001	10.729	11.09	입니까?	[]
2	3	1	AH0002	11.26	11.44	네	[]
2	3	2	AH0002	11.521	11.922	@이름1의	[]
2	3	3	AH0002	11.982	12.403	무비살롱	[]
2	3	4	AH0002	12.463	12.563	첫	[]
2	3	5	AH0002	12.664	13.325	시간이라서	[]
2	3	6	AH0002	13.847	14.067	시작	[]
2	3	7	AH0002	14.348	14.589	혹은	[]
2	3	8	AH0002	14.609	14.629	뭐	[]
2	3	9	AH0002	14.829	14.99	새	[]
2	3	10	AH0002	15.01	15.792	출발과	[1]
2	3	11	AH0002	16.033	16.394	관련이	[]
2	3	12	AH0002	16.434	16.634	있는	[]
2	3	13	AH0002	16.694	17.035	영화를	[]
2	3	14	AH0002	17.115	17.176	두	[]
2	3	15	AH0002	17.276	17.416	편	[]
