uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.0	2.283	분야별	[]
1	1	2	SL0001	2.343	2.684	전문가와	[]
1	1	3	SL0001	2.724	3.084	함께하는	[]
1	1	4	SL0001	3.144	3.345	요즘	[]
1	1	5	SL0001	3.425	3.605	뜨는	[]
1	1	6	SL0001	3.685	4.046	정보와	[]
1	1	7	SL0001	4.166	4.506	이야기가	[]
1	1	8	SL0001	4.626	4.687	있는	[]
1	1	9	SL0001	4.747	4.927	시간	[]
1	1	10	SL0001	5.187	5.548	뜨더라	[]
1	1	11	SL0001	5.788	6.008	가더라	[]
1	2	1	SL0001	6.47	7.772	내	[]
1	2	2	SL0001	8.613	8.913	삶을	[]
1	2	3	SL0001	9.013	9.214	채우는	[]
1	2	4	SL0001	9.254	9.494	오늘의	[]
1	2	5	SL0001	9.534	9.594	토픽	[]
1	2	6	SL0001	9.634	10.175	뜨더라	[]
1	2	7	SL0001	10.275	10.615	카더라	[]
1	2	8	SL0001	10.695	10.956	화요일	[]
1	2	9	SL0001	10.996	11.196	아침은	[]
1	2	10	SL0001	11.356	11.537	나우	[]
1	2	11	SL0001	11.737	11.997	오늘의	[]
1	2	12	SL0001	12.077	12.298	세상	[]
1	2	13	SL0001	12.358	12.698	확실한	[]
1	2	14	SL0001	12.778	13.179	트랜드를	[]
1	2	15	SL0001	13.219	13.519	만나보고	[]
1	2	16	SL0001	13.639	14.14	있습니다	[]
1	2	17	SL0001	14.2	14.52	오늘도	[]
1	2	18	SL0001	14.581	15.061	@이름1	[]
1	2	19	SL0001	15.141	15.482	박사와	[]
1	2	20	SL0001	15.502	15.842	함께합니다	[]
1	2	21	SL0001	15.942	16.483	안녕하세요?	[]
1	3	1	SL0001	17.264	17.324	어	[]
1	3	2	SL0001	17.766	18.148	설날	[]
1	3	3	SL0001	18.208	18.63	연휴가	[]
1	3	4	SL0001	18.65	18.75	이제	[]
1	3	5	SL0001	18.811	19.032	며칠	[]
1	3	6	SL0001	19.052	19.313	앞으로	[]
1	3	7	SL0001	19.373	19.875	다가왔습니다.	[1]
1	3	8	SL0001	20.257	20.538	뭐	[]
1	3	9	SL0001	20.759	21.141	하세요	[]
1	3	10	SL0001	21.322	21.402	안	[]
1	3	11	SL0001	21.462	21.784	박사님은?	[]
2	4	1	SL0002	21.866	21.967	어	[]
2	4	2	SL0002	22.129	22.251	저는	[]
2	4	3	SL0002	22.372	22.595	고향	[]
2	4	4	SL0002	22.615	23.0	가야죠.	[]
3	5	1	SL0001	23.0	23.102	어	[]
3	5	2	SL0001	23.305	23.447	고향	[]
3	5	3	SL0001	23.508	24.26	어디시죠?	[]
4	6	1	SL0002	24.26	25.05	제천입니다.	[]
5	7	1	SL0001	25.048	25.268	아	[]
5	7	2	SL0001	25.389	25.869	제천	[]
5	7	3	SL0001	26.03	26.25	충북	[]
5	7	4	SL0001	26.33	26.45	제천	[]
5	7	5	SL0001	26.57	26.891	좋죠.	[2]
5	7	6	SL0001	27.432	27.652	좋죠.	[]
5	8	1	SL0001	28.588	28.908	명절	[]
5	8	2	SL0001	29.008	29.529	되면은	[]
5	8	3	SL0001	29.649	29.809	진짜	[]
5	8	4	SL0001	29.909	30.649	오랜만에	[]
5	8	5	SL0001	30.769	31.25	가족들과	[]
5	8	6	SL0001	31.33	31.73	친지들이	[]
5	8	7	SL0001	31.79	31.93	모여서	[]
5	8	8	SL0001	31.99	32.37	행복한	[]
5	8	9	SL0001	32.411	32.711	연휴를	[]
5	8	10	SL0001	32.791	32.971	보낼	[]
5	8	11	SL0001	33.111	33.171	수도	[]
5	8	12	SL0001	33.211	33.691	있지만	[]
5	8	13	SL0001	34.112	34.472	사실은	[]
5	8	14	SL0001	34.572	35.312	굉장히	[]
5	8	15	SL0001	35.332	35.352	또	[]
5	8	16	SL0001	35.813	36.073	너무	[]
5	8	17	SL0001	36.173	36.813	가까운	[]
5	8	18	SL0001	36.994	37.014	그	[]
5	8	19	SL0001	37.154	37.514	가족의	[]
5	8	20	SL0001	37.634	38.154	기대치에	[]
5	8	21	SL0001	38.274	38.374	못	[]
5	8	22	SL0001	38.475	38.875	미쳐서	[]
5	9	1	SL0001	39.215	39.92	힘들어하시는	[]
5	9	2	SL0001	39.981	40.263	분들도	[]
5	9	3	SL0001	40.303	41.129	많드라고요.	[]
6	10	1	SL0002	41.236	41.417	맞아요.	[]
6	10	2	SL0002	41.617	41.818	그서	[]
6	10	3	SL0002	41.898	42.299	명절이	[]
6	10	4	SL0002	42.379	42.66	되면	[]
6	10	5	SL0002	42.761	43.001	도리어	[]
6	10	6	SL0002	43.061	43.523	스트레스를	[]
6	10	7	SL0002	43.563	43.683	받는	[]
