bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	1.695	1.92	CONTINUER	네.	[3]	[3]	[1]
2	AH0002	14.263	14.468	CONTINUER	네.	[5]	[5]	[6]
3	AH0001	19.511	19.886	CONTINUER	어.	[6]	[7]	[7]
4	AH0001	37.462	37.872	AFFIRMATIVE	그니깐.	[12]	[13]	[8]
5	AH0002	40.091	40.276	CONTINUER	네.	[13]	[14]	[4]
6	AH0002	42.265	42.66	CONTINUER	네. 네.	[13]	[14]	[9]
7	AH0001	50.111	50.301	CONTINUER	음.	[14]	[16]	[5]
8	AH0001	53.406	53.841	CONTINUER	아.	[14]	[16]	[10]
9	AH0002	62.456	62.746	CONTINUER	네.	[15]	[18]	[2]
10	AH0001	65.53	65.765	AFFIRMATIVE	그쵸.	[16]	[19]	[1]
11	AH0001	68.461	68.861	CONTINUER	어.	[16]	[20]	[1]
12	AH0001	73.626	74.136	CONTINUER	음.	[16]	[20]	[11]
13	AH0001	78.346	78.721	CONTINUER	네.	[16]	[20]	[25]
14	AH0001	78.83	79.17	CONTINUER	네.	[16]	[21]	[1]
15	AH0001	85.362	85.742	CONTINUER	응.	[18]	[23]	[1]
16	AH0001	90.782	91.022	CONTINUER	음.	[18]	[23]	[9]
17	AH0001	95.985	96.765	CONTINUER	네. 네.	[18]	[24]	[8]
18	AH0001	99.12	99.63	AFFIRMATIVE	그르니까.	[18]	[24]	[13]
19	AH0001	105.455	105.81	CONTINUER	응.	[18]	[25]	[6]
20	AH0002	120.185	120.5	CONTINUER	네.	[19]	[27]	[3]
21	AH0002	135.089	136.114	CONTINUER	네. 네. 네.	[21]	[30]	[2]
22	AH0002	137.519	137.949	AFFIRMATIVE	그렇죠.	[21]	[30]	[7]
23	AH0001	149.363	149.663	CONTINUER	응.	[22]	[33]	[1]
24	AH0001	157.773	158.198	AFFIRMATIVE	그렇죠.	[22]	[33]	[14]
25	AH0001	163.934	164.449	CONTINUER	응.	[22]	[34]	[9]
26	AH0001	188.124	188.309	CONTINUER	응.	[24]	[40]	[7]
27	AH0001	191.254	191.694	CONTINUER	응.	[24]	[40]	[16]
28	AH0001	207.31	208.175	CONTINUER	응. 응.	[26]	[43]	[1]
29	AH0001	219.667	220.107	CONTINUER	어.	[26]	[44]	[7]
30	AH0002	226.388	226.643	CONTINUER	네.	[27]	[45]	[7]
31	AH0001	237.172	237.652	AFFIRMATIVE	그렇죠.	[28]	[46]	[15]
32	AH0001	238.832	239.237	CONTINUER	네.	[28]	[46]	[18]
33	AH0002	250.052	250.327	CONTINUER	네.	[29]	[48]	[7]
34	AH0002	251.692	252.045	CONTINUER	네.	[29]	[48]	[10]
35	AH0001	255.665	255.97	CONTINUER	음.	[30]	[50]	[1]
36	AH0001	266.955	267.2	CONTINUER	예.	[30]	[50]	[21]
37	AH0001	274.654	275.009	CONTINUER	응.	[30]	[51]	[13]
38	AH0001	281.539	281.894	CONTINUER	네.	[30]	[52]	[12]
39	AH0001	284.724	285.029	CONTINUER	예.	[30]	[52]	[18]
40	AH0002	292.681	292.856	CONTINUER	네.	[33]	[55]	[4]
41	AH0001	303.469	303.694	CONTINUER	응.	[34]	[56]	[18]
42	AH0001	309.321	309.586	CONTINUER	응.	[34]	[57]	[2]
43	AH0001	318.989	319.479	CONTINUER	네. 네.	[34]	[58]	[1]
44	AH0001	326.084	326.384	CONTINUER	응.	[34]	[58]	[10]
