bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0002	24.855	25.035	CONTINUER	네.	[3]	[4]	[7]
2	SL0001	48.339	48.679	CONTINUER	음.	[6]	[7]	[4]
3	SL0001	51.316	51.716	REQUEST_CONFIRMATION	그래요?	[6]	[7]	[13]
4	SL0002	56.79	56.999	CONTINUER	네.	[7]	[9]	[2]
5	SL0002	65.717	65.972	CONTINUER	네.	[9]	[12]	[11]
6	SL0001	76.577	76.972	CONTINUER	음.	[12]	[16]	[13]
7	SL0001	79.557	79.857	CONTINUER	음.	[12]	[16]	[23]
8	SL0002	84.203	84.778	CONTINUER	아.	[13]	[17]	[1]
9	SL0002	86.962	87.345	CONTINUER	네.	[13]	[17]	[5]
10	SL0002	90.799	91.18	CONTINUER	네.	[13]	[18]	[5]
11	SL0002	92.775	93.03	CONTINUER	네.	[13]	[19]	[5]
12	SL0002	97.135	97.325	CONTINUER	음.	[13]	[19]	[14]
13	SL0002	107.481	107.972	CONTINUER	아.	[13]	[20]	[6]
14	SL0002	117.144	117.614	CONTINUER	예예.	[15]	[23]	[5]
15	SL0001	129.197	129.562	CONTINUER	으흠.	[16]	[24]	[12]
16	SL0002	132.143	132.582	CONTINUER	네.	[17]	[25]	[3]
17	SL0001	136.284	137.469	UNDERSTANDING	아.	[18]	[27]	[3]
18	SL0002	146.244	146.58	CONTINUER	예.	[19]	[28]	[15]
19	SL0002	151.275	151.465	CONTINUER	네.	[19]	[29]	[10]
20	SL0002	161.921	162.246	CONTINUER	네.	[19]	[30]	[13]
21	SL0001	186.956	187.756	CONTINUER	네네네.	[22]	[35]	[3]
22	SL0001	190.585	191.48	UNDERSTANDING	음.	[22]	[36]	[8]
23	SL0001	195.515	196.375	UNDERSTANDING	아.	[22]	[36]	[18]
24	SL0002	206.699	207.014	CONTINUER	네.	[25]	[39]	[12]
25	SL0002	209.511	210.891	UNDERSTANDING	하. 네.	[25]	[40]	[8]
26	SL0002	224.554	224.749	CONTINUER	응.	[25]	[42]	[5]
27	SL0001	244.053	244.428	CONTINUER	음.	[28]	[45]	[11]
28	SL0002	263.437	263.666	CONTINUER	네.	[31]	[49]	[7]
29	SL0002	270.231	270.427	CONTINUER	네.	[31]	[50]	[14]
30	SL0002	273.158	273.381	CONTINUER	네.	[31]	[51]	[3]
