uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.372	어서	[]
1	1	2	AH0001	0.434	0.62	오십시오.	[]
2	2	1	AH0002	0.62	0.682	네	[]
2	2	2	AH0002	0.826	1.342	안녕하세요.	[]
3	3	1	AH0001	1.342	1.363	네.	[]
3	4	1	AH0001	1.818	1.858	빅	[]
3	4	2	AH0001	2.161	2.543	데이터	[]
3	4	3	AH0001	2.785	3.027	빅이	[]
3	4	4	AH0001	3.168	3.531	크다는	[]
3	4	5	AH0001	3.612	4.075	뜻이잖아요.	[]
4	5	1	AH0002	4.075	4.368	그렇죠.	[]
5	6	1	AH0001	4.619	4.721	그	[]
5	6	2	AH0001	4.924	5.351	데이터가	[]
5	6	3	AH0001	5.494	5.799	크다.	[]
6	7	1	AH0002	5.799	6.243	네	[]
6	7	2	AH0002	6.364	6.829	맞습니다.	[]
7	8	1	AH0001	6.829	7.776	어	[]
7	8	2	AH0001	7.977	8.078	그게	[]
7	8	3	AH0001	8.159	8.461	뭐예요	[]
7	8	4	AH0001	8.602	8.642	빅	[]
7	8	5	AH0001	8.763	9.045	데이터	[]
7	8	6	AH0001	9.085	9.146	가	[]
7	8	7	AH0001	9.166	9.488	그러니까	[]
8	9	1	AH0002	9.488	9.588	이제	[]
8	9	2	AH0002	9.669	9.95	재밌는	[]
8	9	3	AH0002	10.01	10.07	게	[]
8	9	4	AH0002	10.15	10.672	정의로는	[]
8	9	5	AH0002	10.913	11.013	투	[]
8	9	6	AH0002	11.153	11.234	빅	[]
8	9	7	AH0002	11.414	11.515	투	[]
8	9	8	AH0002	11.615	12.518	핸들이에요.	[]
8	10	1	AH0002	12.612	12.652	까	[]
8	10	2	AH0002	12.753	13.134	다루기엔	[]
8	10	3	AH0002	13.254	13.475	너무나	[]
8	10	4	AH0002	13.576	13.636	큰	[]
8	10	5	AH0002	13.716	14.078	데이타를	[1]
8	10	6	AH0002	14.118	14.519	말하는데	[2]
8	11	1	AH0002	15.314	16.397	예전보다도	[]
8	11	2	AH0002	16.477	17.099	데이터가	[]
8	11	3	AH0002	17.24	17.982	폭증하면서	[]
8	11	4	AH0002	18.443	18.764	산처럼	[]
8	11	5	AH0002	18.864	19.045	쌓여	[]
8	11	6	AH0002	19.085	19.245	있는	[]
8	11	7	AH0002	19.286	19.366	걸	[]
8	11	8	AH0002	19.446	19.606	보고	[3]
8	12	1	AH0002	20.256	20.537	이	[]
8	12	2	AH0002	20.617	20.858	속에	[]
8	12	3	AH0002	20.959	21.199	뭔가	[]
8	12	4	AH0002	21.28	21.36	좀	[]
8	12	5	AH0002	21.42	21.721	멋진	[]
8	12	6	AH0002	21.782	21.842	게	[]
8	12	7	AH0002	21.862	22.002	있지	[]
8	12	8	AH0002	22.022	22.424	않을까	[]
